COL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
37001;Head of State;Alfonso López Pumarejo;36;SD;Weary Stiffneck;High;M37001;x
37002;Head of Government;Alfonso López Pumarejo;36;SD;Silent Workhorse;High;M37001;x
37003;Foreign Minister;Ernesto Gonzalez Piedrahita;36;SD;Ideological Crusader;Medium;M37003;x
37004;Minister of Armament;Benito Hernandez;36;SD;Corrupt Kleptocrat;Medium;M37004;x
37005;Minister of Security;Jorge Roa Martinez;36;SD;Compassionate Gentleman;Medium;M37005;x
37006;Head of Military Intelligence;Fernando Londono y Londono;36;SD;Industrial Specialist;Medium;M37006;x
37007;Chief of Staff;Jorge Mercado Sanchez;36;SD;School of Defence;Medium;M37007;x
37008;Chief of Army;Eduardo Poirier Escobar;36;SD;Elastic Defence Doctrine;Medium;M37008;x
37009;Chief of Navy;Luis Acevedo;36;SD;Decisive Naval Battle Doctrine;Medium;M37009;x
37010;Chief of Air Force;German Olano;36;SD;Air Superiority Doctrine;Medium;M37010;x
37032;Head of State;Eduardo Santos Montejo;38;SL;Autocratic Charmer;High;M37032;x
37033;Head of State;Alberto Lleras Camargo;42;SL;Insignificant Layman;High;M37033;x
37034;Head of State;Gabriel Turbay Ayala;46;SL;Benevolent Gentleman;High;M37034;x
37035;Head of State;Joaquin Fernandez;38;SC;Popular Figurehead;High;M37035;x
37036;Head of State;Carlos Arango Vélez;42;SC;Stern Imperialist;High;M37036;x
37037;Head of State;Jorge Eliecer Gaitan;45;SC;Popular Figurehead;High;M37037;x
37038;Head of State;Mariano Ospina Pérez;46;ML;Barking Buffoon;High;M37038;x
37039;Head of State;Julio Valdez;38;FA;Resigned Generalissimo;High;M37011;x
37040;Head of State;Gustavo Rojas Pinilla;45;PA;Resigned Generalissimo;High;M37040;x
37041;Head of State;Querista Sellor;38;LE;Pig-headed Isolationist;High;M37021;x
37042;Head of State;Jorge Eliecer Gaitan;46;LWR;Popular Figurehead;High;M37037;x
37044;Head of Government;Carlos Lozano y Lozano;38;SD;Smiling Oilman;High;M37044;x
37045;Head of Government;Darío Echandía;43;SD;Happy Amateur;High;M37045;x
37046;Head of Government;Eduardo Santos Montejo;38;SL;Flamboyant Tough Guy;High;M37032;x
37047;Head of Government;Alberto Lleras Camargo;42;SL;Political Protege;High;M37033;x
37048;Head of Government;Gabriel Turbay Ayala;46;SL;Ambitious Union Boss;High;M37034;x
37049;Head of Government;Joaquin Fernandez;38;SC;Corporate Suit;High;M37035;x
37050;Head of Government;Carlos Arango Vélez;42;SC;Silent Workhorse;High;M37036;x
37051;Head of Government;Jorge Eliecer Gaitan;45;SC;Naive Optimist;High;M37037;x
37052;Head of Government;Mariano Ospina Pérez;46;SC;Happy Amateur;High;M37038;x
37053;Head of Government;Julio Valdez;38;FA;Old General;High;M37011;x
37054;Head of Government;Ruben Piedrahita Arango;45;PA;Old General;High;M37017;x
37055;Head of Government;Querista Sellor;38;LE;Backroom Backstabber;High;M37021;x
37056;Head of Government;Jorge Eliecer Gaitan;46;LWR;Naive Optimist;High;M37037;x
37057;Foreign Minister;Jorge Soto del Corral;36;SD;The Cloak N Dagger Schemer;Medium;M37057;x
37058;Foreign Minister;Gabriel Turbay Ayala;37;SD;Iron Fisted Brute;Medium;M37034;x
37059;Foreign Minister;Carlos Lozano y Lozano;42;SD;Great Compromiser;High;M37044;x
37060;Foreign Minister;Alberto Lleras Camargo;44;SD;Biased Intellectual;Medium;M37033;x
37061;Foreign Minister;Luis López de Mesa;38;SL;Ideological Crusader;Medium;M37061;x
37062;Foreign Minister;Enrique Olaya Herrera;40;SL;Apologetic Clerk;Medium;M37062;x
37063;Foreign Minister;Fernando Londono y Londono;43;SL;General Staffer;Medium;M37006;x
37064;Foreign Minister;Eduardo Zuleta Castillo;46;SL;Great Compromiser;Medium;M37064;x
37065;Foreign Minister;Antonio José Restrepo;38;SC;General Staffer;Medium;M37065;x
37066;Foreign Minister;Roberto Urdaneta Arbeláez;42;SC;Apologetic Clerk;High;M37066;x
37067;Foreign Minister;Laureano Gómez Castro;44;SC;The Cloak N Dagger Schemer;High;M37067;x
37068;Foreign Minister;Francisco Umana Bernal;46;SC;Biased Intellectual;High;M37068;x
37069;Foreign Minister;Melitón Rodriguez Roldan;38;FA;Biased Intellectual;Medium;M37013;x
37070;Foreign Minister;Eduardo Porier Escobar;39;PA;General Staffer;Medium;M37008;x
37071;Foreign Minister;Baldomero Sanin Caño;45;PA;Iron Fisted Brute;Medium;M37071;x
37073;Minister of Armament;Gregorio Obregon;37;SD;Tank Proponent;Medium;M37073;x
37074;Minister of Armament;Alain Adair Arriaga;42;SD;Resource Industrialist;High;M37074;x
37075;Minister of Armament;Alfonso Lopéz Pumarejo;37;SD;Infantry Proponent;Medium;M37001;x
37076;Minister of Armament;Francisco Barberi Zamorano;44;SD;laissez-faire capitalist;Medium;M37076;x
37077;Minister of Armament;Humberto Chica Pinzon;38;SL;Theoretical Scientist;Medium;M37077;x
37078;Minister of Armament;Camilo Daza Alvarez;40;SL;Air Superiority Proponent;Medium;M37078;x
37079;Minister of Armament;Alejandro Galvis;42;SL;Corrupt Kleptocrat;Medium;M37079;x
37080;Minister of Armament;Plinio Mendoza;45;SL;Corrupt Kleptocrat;Medium;M37080;x
37081;Minister of Armament;Mauricio Soto Gomez;46;SL;Submarine Proponent;Medium;M37081;x
37082;Minister of Armament;Alberto Nariño Cheyne;38;SC;Air to Sea Proponent;Medium;M37082;x
37083;Minister of Armament;William Martinéz Pérez;39;SC;Tank Proponent;Medium;M37083;x
37084;Minister of Armament;Joaquin Fernandez;42;SC;Resource Industrialist;Medium;M37035;x
37085;Minister of Armament;Mariano Ospina Pérez;44;SC;Military Entrepreneur;Medium;M37038;x
37086;Minister of Armament;Carlos Arango Vélez;43;SC;Battle Fleet Proponent;High;M37036;x
37087;Minister of Armament;Camilo Ospina Bernal;46;SC;Resource Industrialist;High;M37087;x
37088;Minister of Armament;Antonio Acevedo Escobar;38;FA;Corrupt Kleptocrat;Medium;M37014;x
37089;Minister of Armament;Julio Valdez;47;PA;Theoretical Scientist;Medium;M37011;x
37090;Minister of Armament;Jorge Roa Martinez;38;LWR;Infantry Proponent;Medium;M37005;x
37091;Minister of Armament;Gabriel Quintanilla Morales;46;LWR;Battle Fleet Proponent;Medium;M37029;x
37092;Minister of Armament;Carlos Lozano y Lozano;47;LWR;laissez-faire capitalist;High;M37044;x
37093;Minister of Security;Rafael Giraldo Vargas;42;SD;Crooked Kleptocrat;Medium;M37093;x
37094;Minister of Security;Raphael Hollmann;43;SD;Compassionate Gentleman;Medium;M37094;x
37095;Minister of Security;Alberto Lleras Camargo;39;SD;Silent Lawyer;High;M37033;x
37096;Minister of Security;Francesco José Urrutia;38;SL;Man of the People;Medium;M37096;x
37098;Minister of Security;Benito Hernandez;42;SL;Back Stabber;Medium;M37004;x
37099;Minister of Security;Enrique Gomez Hurtado;45;SL;Crime Fighter;Medium;M37099;x
37100;Minister of Security;Eduardo Zuleta Castillo;46;SL;Crooked Kleptocrat;High;M37064;x
37101;Minister of Security;Caesare Bernal Gustaves;38;SC;Crooked Kleptocrat;Medium;M37101;x
37102;Minister of Security;José Ellis Quinsado;42;SC;Back Stabber;Medium;M37016;x
37103;Minister of Security;Ulpiano Rengifo Cárdenas;45;SC;Efficient Sociopath;Medium;M37103;x
37104;Minister of Security;Francesco José Urrutia;47;SC;Man of the People;Medium;M37096;x
37105;Minister of Security;Melitón Rodriguez Roldan;38;FA;Efficient Sociopath;Low;M37013;x
37106;Minister of Security;Gustavo Rojas Pinilla;45;PA;Prince of Terror;Medium;M37040;x
37107;Minister of Security;M.E. Rojas de Moreno;47;PA;Man of the People;Medium;M37107;x
37108;Minister of Security;Leon de Greiff;38;LWR;Man of the People;Very Low;M37025;x
37109;Minister of Security;Jorge Lopez Suyo;41;LWR;Prince of Terror;Low;M37109;x
37110;Minister of Security;Darío Echandía;46;LWR;Compassionate Gentleman;Medium;M37045;x
37111;Head of Military Intelligence;Jorge Lopez Suyo;42;SD;Political Specialist;Low;M37109;x
37112;Head of Military Intelligence;Manuel Arizan Lopez;44;SD;Technical Specialist;Low;M37112;x
37113;Head of Military Intelligence;Eduardo Santos Montejo;38;SL;Technical Specialist;Medium;M37032;x
37114;Head of Military Intelligence;Mauricio Soto Gomez;42;SL;Naval Intelligence Specialist;Medium;M37081;x
37116;Head of Military Intelligence;Enrico Díaz Carias;46;SL;Political Specialist;Low;M37116;x
37117;Head of Military Intelligence;Eduardo Porier Escobar;38;SC;Logistics Specialist;Medium;M37008;x
37118;Head of Military Intelligence;Antonio Acevedo Escobar;42;SC;Dismal Enigma;Medium;M37014;x
37119;Head of Military Intelligence;Guillermo Padilla Manrique;45;SC;Dismal Enigma;Medium;M37119;x
37120;Head of Military Intelligence;José Ellis Quinsado;38;FA;Logistics Specialist;Medium;M37016;x
37121;Head of Military Intelligence;Melitón Rodriguez Roldan;46;PA;Political Specialist;Low;M37013;x
37122;Head of Military Intelligence;Enrico Díaz Carias;47;PA;Dismal Enigma;Low;M37116;x
37123;Head of Military Intelligence;Querista Sellor;38;ST;Dismal Enigma;Medium;M37021;x
37124;Head of Military Intelligence;Leon de Greiff;46;LWR;Technical Specialist;Very Low;M37025;x
37126;Chief of Staff;Luis Acevedo;42;SD;School of Mass Combat;Medium;M37009;x
37127;Chief of Staff;José Guisa y Escalar;43;SD;School of Defence;Medium;M37127;x
37128;Chief of Staff;Camilo Daza Alvarez;38;SL;School of Psychology;Medium;M37078;x
37130;Chief of Staff;Eduardo Porier Escobar;38;SC;School of Fire Support;High;M37008;x
37131;Chief of Staff;Salvador Tiaga Gonzalez;42;SC;School of Psychology;High;M37131;x
37132;Chief of Staff;Ruben Piedrahita Arango;38;PA;School of Manoeuvre;Medium;M37017;x
37133;Chief of Staff;Gustavo Rojas Pinilla;46;PA;School of Psychology;Medium;M37133;x
37134;Chief of Staff;Luis Bernardo Andrade;38;ST;School of Psychology;Medium;M37027;x
37135;Chief of Staff;Jorge Lopez Suyo;46;LWR;School of Manoeuvre;Low;M37109;x
37136;Chief of Army;Luis Acevedo;38;SD;Armoured Spearhead Doctrine;Medium;M37009;x
37137;Chief of Army;Gustavo Rojas Pinilla;44;SD;Static Defence Doctrine;Medium;M37133;x
37138;Chief of Army;Manuel Quinones;38;SL;Static Defence Doctrine;Medium;M37138;x
37139;Chief of Army;José Guisa y Escalar;42;SL;Elastic Defence Doctrine;Medium;M37127;x
37140;Chief of Army;Ruben Piedrahita Arango;38;SC;Decisive Battle Doctrine;Medium;M37017;x
37141;Chief of Army;Guillermo Padilla Manrique;46;SC;Guns and Butter Doctrine;Medium;M37119;x
37143;Chief of Army;Querista Sellor;38;ST;Guns and Butter Doctrine;Medium;M37021;x
37145;Chief of Navy;Mario Espinoza Gacitua;38;SL;Decisive Naval Battle Doctrine;Medium;M37019;x
37146;Chief of Navy;Mauricio Soto Gomez;45;SL;Open Seas Doctrine;Medium;M37081;x
37147;Chief of Navy;Salvador Tiaga Gonzalez;38;SC;Base Control Doctrine;High;M37131;x
37149;Chief of Navy;Gabriel Quintanilla Morales;38;LWR;Power Projection Doctrine;Medium;M37029;x
37150;Chief of Air Force;Luis Acevedo;42;SD;Naval Aviation Doctrine;Medium;M37009;x
37151;Chief of Air Force;Salvador Tiaga Gonzalez;43;SD;Vertical Envelopment Doctrine;High;M37131;x
37152;Chief of Air Force;Manuel Quinones;38;SL;Carpet Bombing Doctrine;Medium;M37138;x
37153;Chief of Air Force;Camilo Daza Alvarez;42;SL;Air Superiority Doctrine;Medium;M37078;x
37154;Chief of Air Force;Arturo Lema Pasada;45;SL;Vertical Envelopment Doctrine;Medium;M37154;x
37156;Chief of Air Force;Felix Mercado;38;SC;Army Aviation Doctrine;Medium;M37156;x
37157;Chief of Air Force;Enrico Díaz Carias;42;SC;Naval Aviation Doctrine;Low;M37116;x
37158;Chief of Air Force;Luis Rodriguez;38;PA;Carpet Bombing Doctrine;Medium;M37020;x
37159;Chief of Air Force;German Olano;45;PA;Air Superiority Doctrine;Medium;M37010;x
37160;Chief of Air Force;Luis Bernardo Andrade;38;ST;Naval Aviation Doctrine;Medium;M37027;x
37161;Chief of Air Force;Raphael Hollmann;46;LWR;Vertical Envelopment Doctrine;Medium;M37094;x
37166;Head of State;Alfonso López Pumarejo;42;SD;Weary Stiffneck;High;M37001;x
37167;Head of State;Gustavo Rojas Pinilla;45;SD;Resigned Generalissimo;High;M37040;x
37168;Head of State;Laureano Gómez Castro;50;SC;Barking Buffoon;High;M37067;x
37169;Chief of Army;Gabriel Paris Gordillo;52;SD;Elastic Defence Doctrine;Medium;M37169;x
