CRO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
30001;Head of State;Tomislav II;36;FA;Powerhungry Demagogue;High;M30001;x
30002;Head of Government;Ante Pavelic;36;FA;Ambitious Union Boss;High;M30002;x
30003;Foreign Minister;Milan Budak;36;NS;Iron Fisted Brute;Very High;M30003;x
30004;Minister of Armament;Vilko Begic;36;FA;Tank Proponent;Medium;M30004;x
30005;Minister of Security;Mladen Lorkovic;36;FA;Crooked Kleptocrat;High;M30005;x
30006;Head of Military Intelligence;Adalbert Rogulja;36;NS;Dismal Enigma;Medium;M30006;x
30007;Chief of Staff;Slavko Kvaternik;36;NS;School of Manoeuvre;Medium;M30007;x
30008;Chief of Army;Vilko Begic;36;NS;Armoured Spearhead Doctrine;High;M30004;x
30009;Chief of Navy;Djuro Jakcin;36;NS;Base Control Doctrine;Medium;M30009;x
30010;Chief of Air Force;Vladimir Kren;36;NS;Air Superiority Doctrine;Medium;M30010;x
30021;Head of State;Tomislav II;38;NS;Powerhungry Demagogue;High;M30001;x
30022;Head of State;Alojzije Stepinac;45;PA;Weary Stiffneck;High;M30022;x
30023;Head of State;Vladko Macek;38;SC;Insignificant Layman;High;M30011;x
30024;Head of Government;Ante Pavelic;38;NS;Ambitious Union Boss;High;M30002;x
30025;Head of Government;Vladimir Laxa;45;PA;Old General;High;M30017;x
30026;Head of Government;Ivan Subasic;38;SD;Backroom Backstabber;High;M30012;x
30028;Foreign Minister;Mladen Lorkovic;44;NS;General Staffer;High;M30005;x
30029;Foreign Minister;Alojzije Stepinac;45;PA;Biased Intellectual;Medium;M30022;x
30030;Foreign Minister;Ivan Saric;46;PA;The Cloak N Dagger Schemer;High;M30030;x
30031;Foreign Minister;Vladko Macek;38;SD;Biased Intellectual;Medium;M30011;x
30033;Minister of Armament;Dido Kvaternik;38;NS;Infantry Proponent;Medium;M30033;x
30035;Minister of Armament;Ivan Subasic;38;SD;Theoretical Scientist;Medium;M30012;x
30036;Minister of Security;Viktor Vida;38;NS;Man of the People;High;M30015;x
30037;Minister of Security;Eugen Kvaternik;40;NS;Prince of Terror;High;M30037;x
30038;Minister of Security;Andrija Artukovic;41;NS;Efficient Sociopath;High;M30038;x
30039;Minister of Security;Krunoslav Draganovic;43;NS;Back Stabber;High;M30039;x
30040;Minister of Security;Vilko Pecnikar;45;PA;Crooked Kleptocrat;Medium;M30040;x
30041;Minister of Security;Vilko Begic;38;SD;Silent Lawyer;Medium;M30004;x
30044;Head of Military Intelligence;Mladen Lorkovic;45;PA;Logistics Specialist;High;M30005;x
30045;Head of Military Intelligence;Vilko Pecnikar;38;SC;Dismal Enigma;Medium;M30040;x
30047;Chief of Staff;Vladimir Laxa;41;NS;School of Defence;Medium;M30017;x
30048;Chief of Staff;Fedor Dragojlov;43;NS;School of Mass Combat;High;M30048;x
30049;Chief of Staff;Ante Pavelic;44;NS;School of Psychology;Very High;M30002;x
30053;Chief of Army;Slavko Kvaternik;41;NS;Guns and Butter Doctrine;Medium;M30007;x
30054;Chief of Army;Slavko Stancer;42;NS;Static Defence Doctrine;Medium;M30054;x
30055;Chief of Army;Friedrich Navratil;43;NS;Decisive Battle Doctrine;High;M30020;x
30056;Chief of Army;Vladimir Laxa;44;NS;Elastic Defence Doctrine;Medium;M30017;x
30061;Chief of Navy;Edgar Angeli;43;NS;Open Seas Doctrine;Medium;M30019;x
30062;Chief of Navy;Nikola Steinfl;44;NS;Decisive Naval Battle Doctrine;Low;M30062;x
30066;Chief of Air Force;Adalbert Rogulja;43;NS;Army Aviation Doctrine;Medium;M30006;x
30068;Chief of Air Force;Friedrich Navratil;45;PA;Vertical Envelopment Doctrine;High;M30020;x
