CSA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
573001;Head of State;Earl Kemps Long;36;SC;Popular Figurehead;High;M573001;x
573002;Head of Government;Richard Webster Leche;36;SC;Naive Optimist;High;M573002;x
573003;Foreign Minister;Ransome Judd Williams;36;SC;Apologetic Clerk;High;M573003;x
573004;Minister of Armament;Spessard Lindsay Holland;36;SC;Air Superiority Proponent;Medium;M573004;x
573005;Minister of Security;Paul Burney Johnson Sr.;36;SC;Silent Lawyer;Medium;M573005;x
573006;Head of Military Intelligence;Robert G. Cherry;36;SC;Industrial Specialist;Medium;M573006;x
573007;Chief of Staff;William S. Graves;36;SC;School of Mass Combat;Medium;M573007;x
573008;Chief of Army;Henry Jouett;36;SC;Elastic Defence Doctrine;Medium;M573008;x
573009;Chief of Navy;Edward I. Bourne;36;SC;Indirect Approach Doctrine;Medium;M573009;x
573010;Chief of Air Force;Kenneth Walker;36;SC;Army Aviation Doctrine;Medium;M573010;x
573011;Foreign Minister;Sam Houston Jones;41;SC;The Cloak N Dagger Schemer;High;M573011;x
573012;Foreign Minister;Clyde Roark Hoey;42;SC;Biased Intellectual;High;M573012;x
573013;Foreign Minister;Eugene Talmadge;42;SC;Iron Fisted Brute;High;M573013;x
573014;Foreign Minister;John C.B. Ehringhaus;43;SC;General Staffer;High;M573014;x
573015;Foreign Minister;James Houston Davies;45;SC;Ideological Crusader;High;M573015;x
573016;Foreign Minister;Chauncey Sparks;45;SC;Great Compromiser;High;M573016;x
573017;Minister of Armament;Harry Hill McAllister;37;SC;Infantry Proponent;Medium;M573017;x
573018;Minister of Armament;David Bibb Graves;37;SC;laissez-faire capitalist;Medium;M573018;x
573019;Minister of Armament;Carl Bailey;38;SC;Strategic Air Proponent;Medium;M573019;x
573020;Minister of Armament;Junius M. Futtrell;39;SC;Resource Industrialist;Medium;M573020;x
573021;Minister of Armament;Colgate W. Darden Jr.;40;SC;Administrative Genius;Medium;M573021;x
573022;Minister of Armament;Burnett Rhett Maybank;40;SC;Air to Ground Proponent;Medium;M573022;x
573023;Minister of Armament;Frederick Preston Cone;41;SC;Air to Sea Proponent;Medium;M573023;x
573024;Minister of Armament;Jim Nance McCord;42;SC;Military Entrepreneur;Medium;M573024;x
573025;Minister of Armament;Olin DeWitt Johnston;43;SC;Tank Proponent;Medium;M573025;x
573026;Minister of Armament;Albert B. Chandler;45;SC;Battle Fleet Proponent;Medium;M573026;x
573027;Minister of Armament;David Sholtz;46;SC;Submarine Proponent;Medium;M573027;x
573028;Minister of Security;Frank Murray Dixon;38;SC;Back Stabber;Medium;M573028;x
573029;Minister of Security;James H. Price;39;SC;Prince of Terror;Medium;M573029;x
573030;Minister of Security;Prentice Cooper;41;SC;Crime Fighter;Medium;M573030;x
573031;Minister of Security;Millard Fillmore Caldwell Jr.;43;SC;Man of the People;Medium;M573031;x
573032;Minister of Security;Lloyd Crow Stark;43;SC;Efficient Sociopath;Medium;M573032;x
573033;Minister of Security;Joseph Melville Broughton;44;SC;Compassionate Gentleman;Medium;M573033;x
573034;Minister of Security;Forrester C. Donnell;45;SC;Crooked Kleptocrat;Medium;M573034;x
573035;Head of Military Intelligence;Eurith Dickinson Rivers;38;SC;Political Specialist;Medium;M573035;x
573036;Head of Military Intelligence;Guy Brasfield Park;40;SC;Dismal Enigma;Medium;M573036;x
573037;Head of Military Intelligence;Gordon Weaver Browning;42;SC;Logistics Specialist;Medium;M573037;x
573038;Head of Military Intelligence;Benjamin Travis Laney;44;SC;Naval Intelligence Specialist;Medium;M573038;x
573039;Head of Military Intelligence;Homer M. Adkins;45;SC;Technical Specialist;Medium;M573039;x
573040;Chief of Staff;Dennis J. Murphree;38;SC;School of Psychology;Medium;M573040;x
573041;Chief of Staff;Roscoe Murray;40;SC;School of Fire Support;Medium;M573041;x
573042;Chief of Staff;William W. Austin;44;SC;School of Manoeuvre;Medium;M573042;x
573043;Chief of Army;John Polin;40;SC;Decisive Battle Doctrine;Medium;M573043;x
573044;Chief of Army;Fielding Lewis Wright;41;SC;Guns and Butter Doctrine;Medium;M573044;x
573045;Chief of Army;John J. Williams;43;SC;Armoured Spearhead Doctrine;Medium;M573045;x
573046;Chief of Navy;Harold Eisert;40;SC;Open Seas Doctrine;Medium;M573046;x
573047;Chief of Navy;Simeon Slavens Willis;41;SC;Base Control Doctrine;Medium;M573047;x
573048;Chief of Navy;Richard Powers;42;SC;Power Projection Doctrine;Medium;M573048;x
573049;Chief of Air Force;Philip Ardery;40;SC;Carpet Bombing Doctrine;Medium;M573049;x
573050;Chief of Air Force;Thomas Lowry Bailey;41;SC;Vertical Envelopment Doctrine;Medium;M573050;x
573051;Chief of Air Force;John Faulkenberry;43;SC;Air Superiority Doctrine;Medium;M573051;x
