CSX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
503001;Head of State;Yan Xishan;36;PA;Ruthless Powermonger;High;L50348;x
503002;Head of Government;Yan Xishan;36;PA;Smiling Oilman;High;L50348;x
503003;Foreign Minister;Wang Zuanxu;36;PA;Iron Fisted Brute;High;L50323;x
503004;Minister of Armament;Fu Zuoyi;36;PA;Air to Ground Proponent;Medium;L50085;x
503005;Minister of Security;Qu Yangke;36;PA;Prince of Terror;Medium;M503005;x
503006;Head of Military Intelligence;Shang Zhen;36;PA;Naval Intelligence Specialist;Medium;M503006;x
503007;Chief of Staff;Yan Xishan;36;PA;School of Defence;Medium;L50348;x
503008;Chief of Army;Yan Xishan;36;PA;Armoured Spearhead Doctrine;Medium;L50348;x
503009;Chief of Navy;Dmitrij Krolcheff;36;PA;Base Control Doctrine;Medium;M503009;x
503010;Chief of Air Force;Yan Xishan;36;PA;Carpet Bombing Doctrine;Medium;L50348;x
