CUB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
33001;Head of State;José Barnet y Vinageras;36;ML;Insignificant Layman;High;M33001;x
33002;Head of Government;Miguel Gómez y Arias;36;ML;Naive Optimist;High;M33002;x
33003;Foreign Minister;José Barnet y Vinageras;36;ML;Iron Fisted Brute;Medium;M33001;x
33004;Minister of Armament;Carlos Prio;36;ML;Administrative Genius;Low;M33004;x
33005;Minister of Security;Sergio Carbo;36;ML;Compassionate Gentleman;Medium;M33005;x
33006;Head of Military Intelligence;Manuel Ferrara;36;ML;Dismal Enigma;Medium;M33006;x
33007;Chief of Staff;Julio Sanguily;36;ML;School of Defence;Medium;M33007;x
33008;Chief of Army;Salvador Castaneda Castro;36;ML;Elastic Defence Doctrine;Medium;M33008;x
33009;Chief of Navy;Rodrigo A. Fuentes;36;ML;Open Seas Doctrine;Medium;M33009;x
33010;Chief of Air Force;Domingo R. del Toro;36;ML;Army Aviation Doctrine;High;M33010;x
33031;Head of State;Miguel Gómez y Arias;36;ML;Benevolent Gentleman;High;M33002;x
33032;Head of State;Gerardo Machado;40;ML;Die-hard Reformer;High;M33032;x
33033;Head of State;Federico Laredo Brú;36;SD;Insignificant Layman;High;M33014;x
33034;Head of State;Fulgencio Batista;40;SC;Resigned Generalissimo;High;M33034;x
33035;Head of State;Ramón Grau San Martín;44;PA;Popular Figurehead;High;M33011;x
33036;Head of State;Juan Martines-Villera;36;LWR;Powerhungry Demagogue;High;M33021;x
33037;Head of State;Carlos Prio;44;LWR;Popular Figurehead;High;M33004;x
33038;Head of Government;Gerardo Machado;36;ML;Silent Workhorse;High;M33032;x
33039;Head of Government;Eduardo Chibas;40;ML;Political Protege;High;M33013;x
33040;Head of Government;Eugenio Molinet Castro;44;ML;Corporate Suit;High;M33040;x
33041;Head of Government;Fulgencio Batista;36;SD;Old General;High;M33034;x
33042;Head of Government;Carlos Mendieta;40;SC;Flamboyant Tough Guy;High;M33042;x
33043;Head of Government;Fulgencio Batista;44;PA;Old General;High;M33034;x
33044;Head of Government;Antonio G. Holmes;36;LWR;Naive Optimist;High;M33022;x
33045;Head of Government;José Irrisari;41;LWR;Political Protege;High;M33023;x
33046;Foreign Minister;Jorge Luis Echarte;36;ML;The Cloak N Dagger Schemer;High;M33046;x
33047;Foreign Minister;Eduardo Chibas;40;ML;Biased Intellectual;High;M33013;x
33048;Foreign Minister;Carlos Mendieta;44;ML;Iron Fisted Brute;Medium;M33042;x
33049;Foreign Minister;José Manuel Cortina;36;SD;The Cloak N Dagger Schemer;Medium;M33049;x
33050;Foreign Minister;Juan Remos y Rubio;37;SD;General Staffer;Medium;M33050;x
33051;Foreign Minister;Miguel Campa y Caraveda;39;SD;Ideological Crusader;Medium;M33051;x
33052;Foreign Minister;José Manuel Cortina;40;SC;The Cloak N Dagger Schemer;Medium;M33049;x
33053;Foreign Minister;José Agustín Martínez;42;SC;Biased Intellectual;Medium;M33053;x
33054;Foreign Minister;E. Santiago Santovenio;43;SC;Iron Fisted Brute;Medium;M33054;x
33055;Foreign Minister;Jorge Mañach;44;SC;Apologetic Clerk;Medium;M33055;x
33057;Foreign Minister;Gustavo Cuervo Rubio;45;PA;Iron Fisted Brute;Medium;M33057;x
33058;Foreign Minister;Alberto Inocente Álvarez;46;PA;Great Compromiser;Medium;M33058;x
33059;Foreign Minister;José Irrisari;36;LWR;Biased Intellectual;Very Low;M33023;x
33060;Foreign Minister;Carlos Prio;44;LWR;Great Compromiser;Medium;M33004;x
33061;Minister of Armament;Ezequiel Garcia Ensenat;36;ML;Administrative Genius;Medium;M33061;x
