CZE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
24001;Head of State;Edouard Benes;36;ML;Pig-headed Isolationist;High;M24001;x
24002;Head of Government;Milan Hodza;36;ML;Naive Optimist;High;M24002;x
24003;Foreign Minister;Edouard Benes;36;ML;Biased Intellectual;High;M24001;x
24004;Minister of Armament;Josef Kalfus;36;ML;Resource Industrialist;High;M24004;x
24005;Minister of Security;Ivan Derer;36;ML;Man of the People;Medium;M24005;x
24006;Head of Military Intelligence;Frantisek Machník;36;ML;Logistics Specialist;Very High;M24006;x
24007;Chief of Staff;Frantisek Machník;36;ML;School of Defence;Very High;M24006;x
24008;Chief of Army;Ludvik Krejci;36;ML;static defence doctrine;Medium;M24008;x
24009;Chief of Navy;Antonin Hasal;36;ML;Indirect Approach Doctrine;Medium;M24009;x
24010;Chief of Air Force;Emil Janouska;36;ML;Army Aviation Doctrine;Medium;M24010;x
24031;Head of State;Emil Hácha;38;ML;Insignificant Layman;High;M24031;x
24033;Head of State;Edouard Benes;45;ST;Pig-headed Isolationist;High;M24001;x
24034;Head of State;Jan Syrovy;36;PA;Resigned Generalissimo;High;M24034;x
24035;Head of State;Stefan Osusky;45;SC;Weary Stiffneck;High;M24035;x
24036;Head of State;Konrad Henlein;36;NS;Insignificant Layman;High;M24013;x
24037;Head of State;Johann Schwerin von Krosigk;39;NS;Benevolent Gentleman;High;M24037;x
24038;Head of State;Kurt Daluege;41;NS;Ruthless Powermonger;High;M24038;x
24039;Head of State;Karl Hermann Frank;43;NS;Powerhungry Demagogue;High;M24011;x
24040;Head of State;Alois Elias;45;NS;Resigned Generalissimo;High;M24040;x
24041;Head of State;Elias Kohn;36;ST;Die-hard Reformer;High;M24041;x
24042;Head of State;Klement Gottwald;41;ST;Barking Buffoon;High;M24021;x
24044;Head of Government;Ján Srámek;39;ML;Ambitious Union Boss;High;M24044;x
24045;Head of Government;Jan Syrový;36;SC;Old General;High;M24034;x
24046;Head of Government;Rudolf Beran;38;PA;Political Protege;High;M24012;x
24047;Head of Government;Bedrich Homola;45;SC;Happy Amateur;High;M24047;x
24048;Head of Government;Karel Kalemcek;36;NS;Happy Amateur;High;M24048;x
24049;Head of Government;Alois Elias;39;NS;Old General;High;M24040;x
24050;Head of Government;Joseph Jezek;45;NS;Flamboyant Tough Guy;High;M24016;x
24051;Head of Government;Teodor Escherich;36;ST;Naive Optimist;High;M24051;x
24052;Head of Government;Gustav Husak;43;ST;Political Protege;High;M24022;x
24053;Foreign Minister;Kamil Krofta;36;ML;Great Compromiser;High;M24053;x
24054;Foreign Minister;Frantisek Chvalkovsky;38;ML;Iron Fisted Brute;Very High;M24054;x
24055;Foreign Minister;Ján Masaryk;40;ML;Ideological Crusader;Very High;M24055;x
24056;Foreign Minister;Stefan Osusky;36;SC;Great Compromiser;Very High;M24035;x
24057;Foreign Minister;Juraj Slávik;40;SC;Biased Intellectual;Medium;M24057;x
24058;Foreign Minister;Oldrich Otamír;36;PA;Apologetic Clerk;Medium;M24058;x
24059;Foreign Minister;Bedrich Neumann;45;PA;General Staffer;Medium;M24059;x
24060;Foreign Minister;Constantin von Econovec;36;NS;The Cloak N Dagger Schemer;High;M24060;x
24061;Foreign Minister;Konrad Henlein;39;NS;Ideological Crusader;High;M24013;x
24062;Foreign Minister;Jaromir Kricaj;45;NS;Apologetic Clerk;High;M24062;x
24063;Foreign Minister;Vladimir Clementis;36;ST;Great Compromiser;Medium;M24023;x
24064;Foreign Minister;Gustav Husak;41;ST;Iron Fisted Brute;High;M24022;x
24065;Foreign Minister;Rudolf Slanský;43;ST;the cloak n dagger schemer;High;M24024;x
24066;Minister of Armament;Emil Franke;36;ML;Theoretical Scientist;High;M24066;x
24068;Minister of Armament;Karel Basilek;39;ML;Military Entrepreneur;High;M24068;x
24069;Minister of Armament;Ferdinand Veverka;43;ML;Administrative Genius;Medium;M24069;x
24070;Minister of Armament;Emilé Dobricek;36;PA;Administrative Genius;Low;M24070;x
24071;Minister of Armament;Emil Hácha;39;PA;Theoretical Scientist;Low;M24031;x
24072;Minister of Armament;Frantisek Bekr;41;SC;Theoretical Scientist;Medium;M24072;x
24073;Minister of Armament;Karel Cérny;43;PA;Infantry Proponent;High;M24073;x
24074;Minister of Armament;Antonin Pavlik;45;PA;Tank Proponent;High;M24074;x
24075;Minister of Armament;Ernst Kundt;36;NS;Resource Industrialist;High;M24014;x
24076;Minister of Armament;Otokar Sebrin;38;NS;laissez-faire capitalist;High;M24076;x
24077;Minister of Armament;Karel Kalemcek;41;NS;Administrative Genius;Low;M24048;x
24078;Minister of Armament;Jan Prhcla;45;NS;Infantry Proponent;Low;M24078;x
24079;Minister of Armament;Bohumil Stepanec;36;ST;Tank Proponent;Medium;M24079;x
24080;Minister of Armament;Karel Olmanec;41;ST;laissez-faire capitalist;Medium;M24080;x
24081;Minister of Armament;Rudolf Slansky;45;ST;Theoretical Scientist;Medium;M24024;x
24082;Minister of Security;Victor Folancec;36;ML;Crime Fighter;Medium;M24082;x
24084;Minister of Security;Jaromir Kopecky;39;ML;Prince of Terror;Medium;M24084;x
24085;Minister of Security;Ján Srámek;40;ML;Silent Lawyer;Medium;M24044;x
24086;Minister of Security;Ernst Frischer;43;ML;Back Stabber;Medium;M24086;x
24087;Minister of Security;Otakar Eischer;36;PA;Compassionate Gentleman;Very High;M24087;x
24088;Minister of Security;Francois Hodac;39;SC;Silent Lawyer;Medium;M24088;x
24089;Minister of Security;Joseph Jezek;41;SC;Crime Fighter;Medium;M24016;x
24090;Minister of Security;Juraj Slávik;43;SC;Man of the People;High;M24057;x
24091;Minister of Security;Jan Kapras;45;PA;Prince of Terror;Medium;M24015;x
24092;Minister of Security;Johann Schwerin von Krosigk;39;NS;Man of the People;NA;M24037;x
24093;Minister of Security;Kurt Daluege;41;NS;Efficient Sociopath;Very High;M24038;x
24094;Minister of Security;Karl Hermann Frank;43;NS;Crooked Kleptocrat;High;M24011;x
24095;Minister of Security;Prokop Drtina;36;ST;Man of the People;High;M24025;x
24096;Minister of Security;Teodor Escherich;39;ST;Prince of Terror;High;M24051;x
24097;Minister of Security;Kristoph Emmerich;41;ST;Silent Lawyer;Very High;M24097;x
24098;Minister of Security;Jozef Zeman;45;ST;Back Stabber;Very High;M24098;x
24099;Head of Military Intelligence;Boris Trumper;36;ML;Political Specialist;Very High;M24099;x
24100;Head of Military Intelligence;Tobias Kaller;38;ML;Industrial Specialist;Very High;M24100;x
24102;Head of Military Intelligence;Boris Kovancok;43;ML;Technical Specialist;Very High;M24102;x
24103;Head of Military Intelligence;Bedrich Homola;36;SC;Dismal Enigma;Medium;M24047;x
24104;Head of Military Intelligence;Bohumil Nemec;36;PA;Industrial Specialist;High;M24104;x
24105;Head of Military Intelligence;Rudolf Beran;43;PA;Political Specialist;High;M24012;x
24106;Head of Military Intelligence;Bohuslav Vseticka;45;PA;Logistics Specialist;High;M24106;x
24107;Head of Military Intelligence;Joseph Jezek;36;NS;Political Specialist;Very High;M24016;x
24108;Head of Military Intelligence;Bohumil Krpec;41;NS;Logistics Specialist;Very High;M24108;x
24109;Head of Military Intelligence;Elias Kohn;36;ST;Technical Specialist;High;M24041;x
24110;Head of Military Intelligence;Rudolf Slanský;40;ST;Political Specialist;High;M24024;x
24111;Head of Military Intelligence;Zdenek Fierlinger;45;ST;Dismal Enigma;Very High;M24026;x
24112;Chief of Staff;Vladimir Kajdos;36;ML;School of Fire Support;Very High;M24112;x
24114;Chief of Staff;Sergej Ján Ingr;41;ML;School of Manoeuvre;Very High;M24114;x
24115;Chief of Staff;Jaroslav Cihak;43;ML;School of Mass Combat;Very High;M24115;x
24116;Chief of Staff;Bruno Sklenkovsky;45;ML;School of Psychology;Very High;M24116;x
24117;Chief of Staff;Ferdinand Catlos;36;PA;School of Defence;Medium;M24117;x
24118;Chief of Staff;Jan Golian;41;PA;School of Manoeuvre;Very High;M24118;x
24119;Chief of Staff;Josef Turanec;36;NS;School of Psychology;Very High;M24119;x
24120;Chief of Staff;Robert Rychtrmoc;41;NS;School of Manoeuvre;Medium;M24017;x
24121;Chief of Staff;Ludvik Svoboda;36;ST;School of Mass Combat;High;M24027;x
24123;Chief of Army;Frantisek Zaviska;38;ML;Guns and Butter Doctrine;Medium;M24123;x
24124;Chief of Army;Emil Fiala;39;ML;Decisive Battle Doctrine;Medium;M24124;x
24125;Chief of Army;Sergej Ján Ingr;41;ML;Elastic Defence Doctrine;Very High;M24114;x
24126;Chief of Army;Bohumil Bosek;43;ML;Armoured Spearhead Doctrine;Very High;M24126;x
24127;Chief of Army;Jan Syrovy;36;PA;Guns and Butter Doctrine;Medium;M24034;x
24128;Chief of Army;Bedrich Homola;39;PA;Static Defence Doctrine;Very High;M24047;x
24129;Chief of Army;Andrei Vlasov;43;PA;Decisive Battle Doctrine;High;M24129;x
24130;Chief of Army;Rudolf Viest;45;PA;Armoured Spearhead Doctrine;Medium;M24130;x
24131;Chief of Army;Jaroslav Behac;36;NS;Elastic Defence Doctrine;Medium;M24131;x
24132;Chief of Army;Alois Elias;39;NS;Static Defence Doctrine;Medium;M24040;x
24133;Chief of Army;Otto Bláha;43;NS;Armoured Spearhead Doctrine;Medium;M24018;x
24134;Chief of Army;Ludvik Svoboda;36;ST;Static Defence Doctrine;High;M24027;x
24136;Chief of Navy;Jaroslav Cihak;39;ML;Decisive Naval Battle Doctrine;Medium;M24115;x
24137;Chief of Navy;Ferdinand Catlos;36;PA;Base Control Doctrine;Medium;M24117;x
24138;Chief of Navy;Robert Rychtrmoc;36;NS;Open Seas Doctrine;High;M24017;x
24139;Chief of Navy;Klement Gottwald;36;ST;Base Control Doctrine;High;M24021;x
24140;Chief of Air Force;Joseph Frantisek;36;ML;Air Superiority Doctrine;Low;M24140;x
24142;Chief of Air Force;Karel Kuttelwascher;43;ML;Army Aviation Doctrine;Very High;M24142;x
24144;Chief of Air Force;Augustin Malar;36;NS;Vertical Envelopment Doctrine;High;M24020;x
