DEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
16001;Head of State;Christian X;36;SD;Weary Stiffneck;High;M16001;x
16002;Head of Government;Thorvald Stauning;36;SD;Ambitious Union Boss;High;M16002;x
16003;Foreign Minister;Peter Munch;36;SL;Apologetic Clerk;Medium;M16003;x
16004;Minister of Armament;Alsing Andersen;36;SD;laissez-faire capitalist;High;M16004;x
16005;Minister of Security;Karl Kristian Steincke;36;SD;Silent Lawyer;High;M16005;x
16006;Head of Military Intelligence;Erik Mertz;36;SL;Logistics Specialist;High;M16006;x
16007;Chief of Staff;Wilhelm W. Prior;36;SL;School of Defence;Medium;M16007;x
16008;Chief of Army;Erik With;36;SD;Static Defence Doctrine;High;M16008;x
16009;Chief of Navy;Hjalmar Rechnitzer;36;SD;Indirect Approach Doctrine;High;M16009;x
16010;Chief of Air Force;K.W. Essemann;36;SL;Army Aviation Doctrine;Very High;M16010;x
16034;Head of State;Christian X;43;PA;Weary Stiffneck;High;M16001;x
16036;Head of State;Fritz Clausen;38;FA;Insignificant Layman;High;M16011;x
16037;Head of State;Aksel Larsen;38;ST;Powerhungry Demagogue;High;M16021;x
16039;Head of Government;Vilhelm Buhl;42;SD;Flamboyant Tough Guy;High;M16039;x
16040;Head of Government;Erik Scavenius;42;SL;Silent Workhorse;High;M16040;x
16041;Head of Government;Christmas Møller;36;SC;Happy Amateur;High;M16041;x
16042;Head of Government;Ole Bjørn Kraft;42;SC;Smiling Oilman;High;M16042;x
16043;Head of Government;Knud Kristensen;45;ML;Political Protege;High;M16043;x
16044;Head of Government;Fritz Clausen;38;NS;Naive Optimist;High;M16011;x
16045;Head of Government;Otto Bovensiepen;43;PA;Old General;High;M16045;x
16046;Head of Government;Aksel Larsen;38;ST;Backroom Backstabber;High;M16021;x
16048;Foreign Minister;Erik Scavenius;40;SL;Biased Intellectual;Very High;M16040;x
16049;Foreign Minister;Hans Hedtoft;45;SD;Great Compromiser;Very High;M16049;x
16050;Foreign Minister;Ole Bjørn Kraft;38;SC;Great Compromiser;Medium;M16042;x
16051;Foreign Minister;Otto Carl Mohr;42;ML;Ideological Crusader;High;M16051;x
16052;Foreign Minister;Christmas Møller;45;SC;Biased Intellectual;Medium;M16041;x
16053;Foreign Minister;Gustav Rasmussen;45;ML;The Cloak N Dagger Schemer;Medium;M16053;x
16054;Foreign Minister;Axel Christian Hartel;38;NS;Ideological Crusader;Low;M16013;x
16055;Foreign Minister;Albert Olsen;38;LWR;General Staffer;High;M16023;x
16056;Foreign Minister;Ib Nørlund;45;ST;Iron Fisted Brute;High;M16056;x
16057;Foreign Minister;Henrik Hauch;43;PA;Apologetic Clerk;Low;M16057;x
16059;Minister of Armament;Vilhelm Buhl;40;SD;Battle Fleet Proponent;High;M16039;x
