EAF;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
550001;Head of State;Sir Philip Euan Mitchell;36;ML;Die-hard Reformer;High;M550001;x
550002;Head of Government;Sir John Hathorn Hall;36;ML;Flamboyant Tough Guy;High;M550002;x
550003;Foreign Minister;Robert Brooke-Popham;36;ML;General Staffer;High;L1051;x
550004;Minister of Armament;Henry Monck-Mason Moore;36;ML;Battle Fleet Proponent;Medium;M550004;x
550005;Minister of Security;Sir Harold McMichael;36;ML;Efficient Sociopath;Medium;M550005;x
550006;Head of Military Intelligence;Mark Young;36;ML;Industrial Specialist;Medium;M550006;x
550007;Chief of Staff;Henry Dundas Stevenson;36;ML;School of Defence;Medium;M550007;x
550008;Chief of Army;Robert Brooke-Popham;36;ML;Decisive Battle Doctrine;Medium;L1051;x
550009;Chief of Navy;William Denis Battershill;36;ML;Open Seas Doctrine;Medium;M550009;x
550010;Chief of Air Force;Charles Farquharson Dundas;36;ML;Air Superiority Doctrine;Medium;M550010;x
550011;Head of State;H.R.H. Sayid Khalifa ibn Kharub;36;PA;Powerhungry Demagogue;High;M550011;x
550012;Head of State;H.R.H. Edward Mutesa II;36;SD;Popular Figurehead;High;M550012;x
550013;Head of State;Julius Nyerere;36;LWR;Pig-headed Isolationist;High;M550013;x
550014;Head of Government;Lord Josslyn Erroll;36;PA;Naive Optimist;High;M1051;x
550015;Head of Government;Jomo Kenyatta;36;SD;Silent Workhorse;High;M550015;x
550016;Head of Government;Apolo Milton Obote;36;LWR;Happy Amateur;High;M550016;x
550017;Foreign Minister;Pio Gama Pinto;36;PA;Great Compromiser;High;M550017;x
550018;Foreign Minister;Henry G. Pilling;41;ML;Iron Fisted Brute;High;M550018;x
550019;Foreign Minister;Keterne Yifru;36;SD;Biased Intellectual;High;M550019;x
550020;Foreign Minister;Joseph Murumbi;36;LWR;The Cloak N Dagger Schemer;High;M550020;x
550021;Minister of Armament;Alexius de Laszlo;36;PA;Infantry Proponent;Medium;M550021;x
550022;Minister of Armament;Chandrakanth Mehta;42;PA;laissez-faire capitalist;Medium;M550022;x
550023;Minister of Armament;Charles Farquharson Dundas;40;ML;Air Superiority Proponent;Medium;M550010;x
550024;Minister of Armament;Ronald Ngala;36;SD;Tank Proponent;Medium;M550024;x
550025;Minister of Armament;Nasirdas Mehta;42;SD;Resource Industrialist;Medium;M550025;x
550026;Minister of Armament;Dravi Kanaphathuya;36;LWR;Theoretical Scientist;Medium;M550026;x
550027;Minister of Security;Makhan Singh;36;PA;Crooked Kleptocrat;Medium;M550027;x
550028;Minister of Security;Ide DeLisle;42;PA;Back Stabber;Medium;M550028;x
550029;Minister of Security;Vincent Goncalves Glenday;40;ML;Crime Fighter;Medium;M550029;x
550030;Minister of Security;Benedicto Kiwanuka;36;SD;Man of the People;Medium;M550030;x
550031;Minister of Security;Dedan Kimathi;36;LWR;Prince of Terror;Medium;M550031;x
550032;Head of Military Intelligence;Charles Witherspoon;36;PA;Logistics Specialist;Medium;M550032;x
550033;Head of Military Intelligence;Tarcisius Ngagalekumtwa;36;SD;Naval Intelligence Specialist;Medium;M550033;x
550034;Head of Military Intelligence;Ernest Hemingway;43;SD;Dismal Enigma;Medium;M550034;x
550035;Head of Military Intelligence;Rashid Kawawa;36;LWR;Technical Specialist;Medium;M550035;x
550036;Chief of Staff;Richard Carver;36;PA;School of Manoeuvre;Medium;L1069;x
550037;Chief of Staff;Jeremy J. Pierson;41;ML;School of Psychology;Medium;M550037;x
550038;Chief of Staff;Edward Mutesa;36;SD;School of Mass Combat;Medium;M550038;x
550039;Chief of Staff;Henry Jumara;36;LWR;School of Fire Support;Medium;M550039;x
550040;Chief of Army;Peter Mills;36;PA;Guns and Butter Doctrine;Medium;M550040;x
550041;Chief of Army;Henry G. Pilling;41;ML;Static Defence Doctrine;Medium;M550018;x
550042;Chief of Army;Ongeri Bogita;36;SD;Armoured Spearhead Doctrine;Medium;M550042;x
550043;Chief of Army;Juma Datawi;36;LWR;Elastic Defence Doctrine;Medium;M550043;x
550044;Chief of Navy;Daudi Chawa;36;PA;Indirect Approach Doctrine;Medium;M550044;x
550045;Chief of Navy;Nashruddin Mehta;36;SD;Power Projection Doctrine;Medium;M550045;x
550046;Chief of Navy;Edward Montford;36;LWR;Decisive Naval Battle Doctrine;Medium;M550046;x
550047;Chief of Air Force;Makhan Singh;36;PA;Naval Aviation Doctrine;Medium;M550027;x
550048;Chief of Air Force;James Howe-Dobson;41;ML;Army Aviation Doctrine;Medium;M550048;x
550049;Chief of Air Force;Nasirdas Mehta;36;SD;Carpet Bombing Doctrine;Medium;M550025;x
550050;Chief of Air Force;Edward Montford;36;LWR;Vertical Envelopment Doctrine;Medium;M550046;x
