ECU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
40001;Head of State;Federico Páez Chiriboaga;36;SL;Stern Imperialist;High;M40001;x
40002;Head of Government;Federico Páez Chiriboaga;36;SL;Flamboyant Tough Guy;High;M40001;x
40003;Foreign Minister;Alberto Larrea Chiriboaga;36;SL;Apologetic Clerk;Medium;M40003;x
40004;Minister of Armament;Fabian Del Castello;36;SL;laissez-faire capitalist;Medium;M40004;x
40005;Minister of Security;Davide Flores;36;SL;Crime Fighter;Medium;M40005;x
40006;Head of Military Intelligence;Aurelio Mosquera Narváez;36;SL;Logistics Specialist;Medium;M40006;x
40007;Chief of Staff;Benigno Andrade Flores;36;SL;School of Defence;Very Low;M40007;x
40008;Chief of Army;Gilberto Enriquez Gallo;36;SL;Decisive Battle Doctrine;Low;M40008;x
40009;Chief of Navy;Juan Ramon Castro;36;SL;Open Seas Doctrine;Medium;M40009;x
40010;Chief of Air Force;Cosme Renella Barbatto;36;SL;Army Aviation Doctrine;Medium;M40010;x
40031;Head of State;Gustavo Becerra Páz;36;LWR;Insignificant Layman;High;M40021;x
40032;Head of State;Enrique Gil Gilbert;40;LWR;Autocratic Charmer;High;M40023;x
40033;Head of State;José María Velasco Ibarra;41;SD;Benevolent Gentleman;High;M40033;x
40034;Head of State;Camillo Ponce Enríquez;47;SD;Popular Figurehead;High;M40034;x
40035;Head of State;Aurelio Mosquera Narváez;38;SL;Die-hard Reformer;High;M40006;x
40036;Head of State;Andrés de Córdova Nieto;39;SL;Weary Stiffneck;High;M40036;x
40037;Head of State;Antonio Pons Campuzano;44;SL;Autocratic Charmer;High;M40037;x
40038;Head of State;Carlos Arosemena Tola;47;SL;Resigned Generalissimo;High;M40038;x
40039;Head of State;Juan de Diaz Mera;37;SC;Popular Figurehead;High;M40015;x
40040;Head of State;Carlos Arroyo del Río;41;SC;Powerhungry Demagogue;High;M40040;x
40041;Head of State;Isidro Ayora Cueva;45;SC;Barking Buffoon;High;M40041;x
40042;Head of State;Carlos M. Larrea;46;SC;Insignificant Layman;High;M40042;x
40043;Head of State;Gilberto Enríquez Gallo;37;PA;Resigned Generalissimo;High;M40008;x
40044;Head of State;Manuel Borrero Gonzalez;38;PA;Stern Imperialist;High;M40044;x
40045;Head of State;Julio Moreno Peñaherrera;40;PA;Autocratic Charmer;High;M40045;x
40046;Head of State;Benigno Andrade Flores;41;PA;Resigned Generalissimo;High;M40007;x
40047;Head of State;Julio Salém Gallegos;44;SD;Resigned Generalissimo;High;M40047;x
40048;Head of State;Carlos Mancheno Cajas;47;PA;Pig-headed Isolationist;High;M40048;x
40049;Head of Government;Gustavo Becerra Páz;37;LWR;Ambitious Union Boss;High;M40021;x
40050;Head of Government;Enrique Gil Gilbert;40;LWR;Political Protege;High;M40023;x
40051;Head of Government;José María Velasco Ibarra;41;SD;Ambitious Union Boss;High;M40033;x
40052;Head of Government;Camillo Ponce Enríquez;47;SD;Corporate Suit;High;M40034;x
40053;Head of Government;Aurelio Mosquera Narváez;38;SL;Backroom Backstabber;High;M40006;x
40054;Head of Government;Andrés de Córdova Nieto;39;SL;Happy Amateur;High;M40036;x
40055;Head of Government;Antonio Pons Campuzano;44;SL;Naive Optimist;High;M40037;x
40056;Head of Government;Carlos Arosemena Tola;47;SL;old airmarshal;High;M40038;x
40057;Head of Government;Juan de Diaz Mera;37;SC;Corporate Suit;High;M40015;x
40058;Head of Government;Carlos Arroyo del Río;41;SC;Flamboyant Tough Guy;High;M40040;x
40059;Head of Government;Isidro Ayora Cueva;44;SC;Political Protege;High;M40041;x
40060;Head of Government;Carlos M. Larrea;46;SC;Naive Optimist;High;M40042;x
40061;Head of Government;Gilberto Enríquez Gallo;37;PA;Old General;High;M40008;x
40062;Head of Government;Manuel Borrero Gonzalez;38;PA;Political Protege;High;M40044;x
40063;Head of Government;Julio Moreno Peñaherrera;40;PA;Old Admiral;High;M40045;x
40064;Head of Government;Benigno Andrade Flores;41;PA;Old General;High;M40007;x
40065;Head of Government;Julio Salém Gallegos;44;SD;Old General;High;M40047;x
40066;Head of Government;Carlos Mancheno Cajas;47;PA;Smiling Oilman;High;M40048;x
40067;Foreign Minister;Enrique Gil Gilbert;37;LWR;Great Compromiser;Medium;M40023;x
40068;Foreign Minister;José María Velasco Ibarra;40;SD;Apologetic Clerk;Medium;M40068;x
40069;Foreign Minister;Camillo Ponce Enríquez;44;SD;Iron Fisted Brute;High;M40034;x
40070;Foreign Minister;Juan Vicente Trujillo;45;SD;The Cloak N Dagger Schemer;High;M40070;x
40071;Foreign Minister;Gustavo Becerra Páz;47;LWR;Ideological Crusader;Very Low;M40021;x
40072;Foreign Minister;José Benitez Aparacio;39;SL;Iron Fisted Brute;Medium;M40072;x
40074;Foreign Minister;Miquel Andramonte;40;SL;Apologetic Clerk;Medium;M40074;x
40075;Foreign Minister;Antonio Pons Campuzano;47;SL;The Cloak N Dagger Schemer;Medium;M40037;x
40077;Foreign Minister;Rafael Vascoñez;41;SC;Iron Fisted Brute;Medium;M40077;x
40078;Foreign Minister;Riccardo Orespo Ordoñez;42;SC;Great Compromiser;Medium;M40078;x
40079;Foreign Minister;Francisco Guarderas Pérez;43;SC;Ideological Crusader;Medium;M40079;x
40080;Foreign Minister;Juan de Diaz Mera;44;SC;The Cloak N Dagger Schemer;Medium;M40015;x
40081;Foreign Minister;Luis Bossano;37;PA;Ideological Crusader;Medium;M40081;x
40083;Foreign Minister;Benigno Andrade Flores;41;PA;General Staffer;Medium;M40007;x
40084;Minister of Armament;José María Velasco Ibarra;37;SD;Infantry Proponent;Medium;M40068;x 
40085;Minister of Armament;Neptali Bonofaz Ascázubi;40;SD;Administrative Genius;Medium;M40028;x
40086;Minister of Armament;Carlos Arosemena Tola;41;SD;laissez-faire capitalist;High;M40038;x
40087;Minister of Armament;Nicolas Delgado;47;SD;Tank Proponent;Medium;M40024;x
40088;Minister of Armament;Aurelio Mosquera Narváez;38;SL;Battle Fleet Proponent;High;M40006;x
40089;Minister of Armament;Antonio Pons Campuzano;39;SL;Corrupt Kleptocrat;Medium;M40037;x
40090;Minister of Armament;Federico Páez Chiriboaga;36;SL;Air to Sea Proponent;Medium;M40001;x
40091;Minister of Armament;Miquel Andramonte;44;SL;Air Superiority Proponent;Medium;M40074;x
40092;Minister of Armament;Fabian Del Castello;37;SC;laissez-faire capitalist;Medium;M40004;x
40093;Minister of Armament;Juan de Diaz Mera;38;SC;Corrupt Kleptocrat;Medium;M40015;x
40094;Minister of Armament;Galo Plaza Lasso;40;SC;Resource Industrialist;High;M40094;x
40095;Minister of Armament;Julio Moreno Peñaherrera;43;SC;Theoretical Scientist;High;M40045;x
40096;Minister of Armament;Isidro Ayora Cueva;45;SC;Submarine Proponent;Medium;M40041;x
40097;Minister of Armament;Carlos Arroyo del Río;47;SC;Air to Ground Proponent;Medium;M40040;x
40098;Minister of Armament;Gustave Uriarte;37;PA;Corrupt Kleptocrat;Low;M40014;x
40099;Minister of Armament;Carlos M. Larrea;40;PA;Administrative Genius;Medium;M40042;x
40100;Minister of Security;Carlos Guevara;37;SD;Man of the People;High;M40100;x
40101;Minister of Security;Juan Vicente Trujillo;41;SD;Efficient Sociopath;High;M40070;x
40102;Minister of Security;José María Velasco Ibarra;45;SD;Back Stabber;Medium;M40068;x 
40103;Minister of Security;Alberto Montalvo Pérez;37;SL;Back Stabber;Medium;M40103;x
40104;Minister of Security;Gustavo Las Salas;41;SL;Crime Fighter;Medium;M40104;x
40105;Minister of Security;Antonio Pons Machado;37;SC;Silent Lawyer;Low;M40105;x
40106;Minister of Security;Carlos Arosemena Tola;41;SC;Compassionate Gentleman;High;M40038;x
40107;Minister of Security;Rafael Vascoñez;42;SC;Crime Fighter;Medium;M40077;x
40108;Minister of Security;Isidro Ayora Cueva;44;SC;Prince of Terror;Medium;M40041;x
40109;Minister of Security;Juan de Diaz Mera;47;SC;Crooked Kleptocrat;Medium;M40015;x
40110;Minister of Security;Manuel Borrero Gonzalez;37;PA;Compassionate Gentleman;Medium;M40044;x
40111;Minister of Security;Julio Moreno Peñaherrera;38;PA;Man of the People;High;M40045;x
40112;Minister of Security;Camillo Ponce Enríquez;47;SC;Crooked Kleptocrat;High;M40034;x
40113;Head of Military Intelligence;Gustavo Becerra Páz;37;LWR;Technical Specialist;Medium;M40021;x
40114;Head of Military Intelligence;Nicolas Delgado;41;LWR;Naval Intelligence Specialist;Low;M40024;x
40115;Head of Military Intelligence;Carlos Mancheno Cajas;45;SD;Dismal Enigma;Low;M40048;x
40116;Head of Military Intelligence;Alberto Larrea Chiriboaga;38;SL;Logistics Specialist;Medium;M40003;x
40117;Head of Military Intelligence;Davide Flores;39;SL;Industrial Specialist;Medium;M40005;x
40118;Head of Military Intelligence;Antonio de Quevado;41;SL;Technical Specialist;Medium;M40118;x
40119;Head of Military Intelligence;Ramon Baquerizo Davila;47;SL;Dismal Enigma;Medium;M40119;x
40120;Head of Military Intelligence;Carlos M. Larrea;37;SC;Naval Intelligence Specialist;Medium;M40042;x
40121;Head of Military Intelligence;Rafael Vascoñez;40;SC;Technical Specialist;Medium;M40077;x
40122;Head of Military Intelligence;Francisco Guarderas Pérez;45;SC;Political Specialist;Medium;M40079;x
40123;Head of Military Intelligence;Aurelio Mosquera Narváez;38;PA;Logistics Specialist;Medium;M40006;x
40124;Head of Military Intelligence;Guillermo Freire Posso;44;PA;Industrial Specialist;Medium;M40016;x
40125;Head of Military Intelligence;Carlos Mancheno Cajas;47;PA;Dismal Enigma;Low;M40048;x
40126;Chief of Staff;Luis Larrea Alba;37;LWR;School of Psychology;Low;M40027;x
40127;Chief of Staff;Julio Salém Gallegos;44;SD;School of Fire Support;High;M40047;x
40129;Chief of Staff;Gilberto Enriquez Gallo;38;SL;School of Manoeuvre;Low;M40008;x
40130;Chief of Staff;Ramon Baquerizo Davila;39;SL;School of Fire Support;Medium;M40119;x
40131;Chief of Staff;Juan de Diaz Mera;37;SC;School of Psychology;Medium;M40015;x
40133;Chief of Staff;Carlos M. Larrea;45;SC;School of Fire Support;Medium;M40042;x
40135;Chief of Staff;Hugo Endara Peñaherrera;40;PA;School of Manoeuvre;Medium;M40019;x
40136;Chief of Staff;Guillermo Freire Posso;44;PA;School of Mass Combat;Medium;M40016;x
40137;Chief of Staff;Carlos Mancheno Cajas;47;PA;School of Fire Support;Low;M40048;x
40138;Chief of Army;Neptali Bonofaz Ascázubi;37;LWR;Guns and Butter Doctrine;Medium;M40028;x
40139;Chief of Army;Ramon Baquerizo Davila;41;SD;Static Defence Doctrine;Medium;M40139;x
40140;Chief of Army;Carlos Hidalgo Garcia;45;SD;Armoured Spearhead Doctrine;Medium;M40140;x
40143;Chief of Army;Rodolfo Larrea Alba;47;SC;Static Defence Doctrine;Low;M40027;x
40148;Chief of Army;Luis Cabrera Sevilla;40;PA;Armoured Spearhead Doctrine;Medium;M40018;x
40149;Chief of Army;Juan Pablo Martinez Iguarte;47;PA;Elastic Defence Doctrine;Medium;M40149;x
40150;Chief of Navy;Gustavo Becerra Páz;37;LWR;Base Control Doctrine;Medium;M40021;x
40151;Chief of Navy;Jorge Escobedo Duarte;45;SD;Open Seas Doctrine;Medium;M40151;x
40153;Chief of Navy;Hugo Endara Peñaherrera;41;SL;Indirect Approach Doctrine;Medium;M40019;x
40155;Chief of Navy;Ramon Moran Valverde;43;SC;Base Control Doctrine;Medium;M40155;x
40156;Chief of Navy;Hugo Endara Peñaherrera;37;PA;Indirect Approach Doctrine;Medium;M40019;x
40157;Chief of Navy;Jorge Escobedo Duarte;44;PA;Open Seas Doctrine;Medium;M40151;x
40158;Chief of Air Force;Juan Bayardo Tobar;37;LWR;Carpet Bombing Doctrine;Medium;M40030;x
40162;Chief of Air Force;Julio Salém Gallegos;37;SC;Air Superiority Doctrine;High;M40047;x
40163;Chief of Air Force;Ramon Castro Jíjon;37;PA;Air Superiority Doctrine;Medium;M40020;x
40165;Chief of Army;Uriarte Fanquil del Ponte;39;SL;Elastic Defence Doctrine;Low;M40142;x
40168;Head of State;Carlos Arroyo del Río;39;SL;Powerhungry Demagogue;High;M40040;x
40169;Head of Government;Carlos Arroyo del Río;39;SL;Flamboyant Tough Guy;High;M40040;x
40170;Head of State;Mariano Suárez Veintimilla;47;SC;Benevolent Gentleman;High;M40168;x
40171;Head of Government;Mariano Suárez Veintimilla;39;SL;Happy Amateur;High;M40168;x
40172;Foreign Minister;Alberto Larrea Chiriboaga;36;PA;The Cloak N Dagger Schemer;Medium;M40003;x
40174;Foreign Minister;Julio Topar Donoso;41;SC;General Staffer;Medium;M40082;x
40175;Foreign Minister;Francisco Guarderas Pérez;44;SD;Great Compromiser;Medium;M40079;x
40015;Minister of Security;Juan de Diaz Mera;36;PA;Crooked Kleptocrat;Medium;M40015;x
40176;Head of State;Galo Plaza Lasso;48;SC;Insignificant Layman;High;M40094;x
40177;Head of Government;Galo Plaza Lasso;48;SC;Silent Workhorse;High;M40094;x
