EGY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
512001;Head of State;Fuad I;36;SC;Autocratic Charmer;High;M512001;x
512002;Head of Government;Ali Mahir Pasha;36;SC;Silent Workhorse;High;M512002;x
512003;Foreign Minister;Ali Mahir Pasha;36;SC;Great Compromiser;High;M512002;x
512004;Minister of Armament;Mohammed al Fransawi;36;SC;Battle Fleet Proponent;Medium;M512004;x
512005;Minister of Security;Mustafa an-Nahhas Pasha;36;SC;Silent Lawyer;Medium;M512005;x
512006;Head of Military Intelligence;Mohammed Hilmi Issa;36;SC;Dismal Enigma;Medium;M512006;x
512007;Chief of Staff;Hassan Sabry Pasha;36;SC;School of Defence;Medium;M512007;x
512008;Chief of Army;Hassan Sabry Pasha;36;SC;Static Defence Doctrine;Medium;M512007;x
512009;Chief of Navy;Abdallah Ziwar Pasha;36;SC;Indirect Approach Doctrine;Medium;M512009;x
512010;Chief of Air Force;Fuad I;36;SC;Vertical Envelopment Doctrine;Medium;M512010;x
512011;Head of State;Faruq I;36;SC;Insignificant Layman;High;M512011;x
512012;Head of State;Faruq I;36;SL;Pig-headed Isolationist;High;M512011;x
512013;Head of State;Aga I Khan;45;SD;Benevolent Gentleman;High;M512013;x
512014;Head of Government;Mustafa an-Nahhas Pasha;36;SC;Flamboyant Tough Guy;High;M512005;x
512015;Head of Government;Hassan Sabry Pasha;40;SC;Old General;High;M512007;x
512016;Head of Government;Mahmoud an Nukraishi Pasha;40;SC;Backroom Backstabber;High;M512016;x
512017;Head of Government;Muhammad Mahmoud Pasha;36;ML;Happy Amateur;High;M512017;x
512018;Head of Government;Ali Mahir Pasha;39;ML;Smiling Oilman;High;M512002;x
512019;Head of Government;Hassan Sirry Pasha;40;ML;Political Protege;High;M512019;x
512020;Head of Government;Mahmoud an Nukraishi Pasha;45;ML;Silent Workhorse;High;M512016;x
512021;Head of Government;Ismail Sidqi Pasha;46;ML;Naive Optimist;High;M512021;x
512022;Head of Government;Abdelhamid Badawi Pasha;36;SL;Ambitious Union Boss;High;M512022;x
512023;Head of Government;Wasef Boutros Ghali;38;SL;Political Protege;High;M512023;x
512024;Head of Government;Mustafa an-Nahhas Pasha;42;SL;Backroom Backstabber;High;M512005;x
512025;Head of Government;Ali Mahir Pasha;45;SL;Naive Optimist;High;M512025;x
512026;Head of Government;Abdallah Ziwar Pasha;36;SD;Old Admiral;High;M512009;x
512027;Head of Government;Aly Chamsy Pasha;40;SD;Corporate Suit;High;M512027;x
512028;Foreign Minister;Wasef Boutros Ghali;36;SC;The Cloak N Dagger Schemer;High;M512023;x
512029;Foreign Minister;Abdelfattah Yahya Pasha;37;SC;Apologetic Clerk;High;M512029;x
512030;Foreign Minister;Hassan Sabry Pasha;39;SC;General Staffer;High;M512007;x
512031;Foreign Minister;Salib Sami Bey;40;SC;Iron Fisted Brute;High;M512031;x
512032;Foreign Minister;Muhammad Mahmoud Pasha;45;SC;Biased Intellectual;High;M512017;x
512033;Foreign Minister;Ibrahim Abdel Hadi;46;SC;The Cloak N Dagger Schemer;High;M512033;x
