ENG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
1001;Head of State;George V;36;ML;Stern Imperialist;High;M1001;x
1002;Head of Government;Stanley Baldwin;36;SC;Backroom Backstabber;High;M1002;x
1003;Foreign Minister;Anthony Eden;36;SC;Ideological Crusader;Medium;M1003;x
1004;Minister of Armament;Neville Chamberlain;36;SC;laissez-faire capitalist;High;M1004;x
1005;Minister of Security;Sir John Simon;36;SC;Crime Fighter;High;M1005;x
1006;Head of Military Intelligence;Sir Hugh Sinclair;36;SC;Logistics Specialist;Very High;M1006;x
1007;Chief of Staff;Sir A. Montgomery-Massingberd;36;ML;School of Fire Support;Very High;M1007;x
1008;Chief of Army;Sir A. Montgomery-Massingberd;36;ML;Static Defence Doctrine;Very High;M1007;x
1009;Chief of Navy;Sir Ernle Chatfield;36;ML;Decisive Naval Battle Doctrine;High;M1009;x
1010;Chief of Air Force;Sir Owen Boyd;36;ML;Air Superiority Doctrine;High;M1010;x
1031;Head of State;Edward VIII;36;SC;Autocratic Charmer;High;M1011;x
1244;Head of State;Edward VIII;36;SD;Autocratic Charmer;High;M1011;x
1032;Head of State;Edward VIII;36;FA;Autocratic Charmer;High;M1011;x
1033;Head of State;George VI;36;SC;Benevolent Gentleman;High;M1033;x
1245;Head of State;George VI;36;SD;Benevolent Gentleman;High;M1033;x
1036;Head of State;Aneurin Bevan;36;LWR;Pig-headed Isolationist;High;M1021;x
1037;Head of Government;Neville Chamberlain;36;SC;Naive Optimist;High;M1004;x
1038;Head of Government;Winston Churchill;36;SC;Flamboyant Tough Guy;High;M1038;x
1040;Head of Government;Clement Attlee;37;SD;Silent Workhorse;High;M1040;x
1042;Head of Government;Oswald Mosley;36;FA;Flamboyant Tough Guy;High;M1012;x
1043;Head of Government;Harry Pollitt;36;LWR;Ambitious Union Boss;High;M1022;x
1045;Foreign Minister;Lord Halifax;38;SC;Apologetic Clerk;Very High;M1045;x
1046;Foreign Minister;John Selwyn Lloyd;44;SC;Biased Intellectual;High;M1046;x
1047;Foreign Minister;Ernest Bevin;37;SD;The Cloak N Dagger Schemer;High;M1047;x
1048;Foreign Minister;Herbert Morrison;40;SD;Biased Intellectual;High;M1048;x
1049;Foreign Minister;William Joyce;36;FA;General Staffer;Low;M1013;x
1050;Foreign Minister;Lord Arthur Wellesley;39;FA;Great Compromiser;Low;M1050;x
1051;Foreign Minister;Lord Josslyn Erroll;40;FA;The Cloak N Dagger Schemer;Medium;M1051;x
1052;Foreign Minister;Henry Williamson;41;FA;Biased Intellectual;Medium;M1052;x
1053;Foreign Minister;Duke of Westminster;42;FA;Apologetic Clerk;Medium;M1053;x
1054;Foreign Minister;Archibald Ramsay;43;FA;Iron Fisted Brute;Medium;M1054;x
1055;Foreign Minister;Rajani Palme Dutt;36;LWR;Biased Intellectual;Medium;M1023;x
1056;Foreign Minister;Phil Piratin;40;ST;The Cloak N Dagger Schemer;Medium;M1056;x
1057;Foreign Minister;D.N. Pritt;43;ST;Apologetic Clerk;Medium;M1057;x
1058;Foreign Minister;Dave Springhall;44;LWR;Iron Fisted Brute;Medium;M1058;x
1059;Foreign Minister;Ian Mikardo;45;LWR;Ideological Crusader;Medium;M1059;x
1060;Minister of Armament;Sir John Simon;37;SC;Resource Industrialist;High;M1005;x
1061;Minister of Armament;Sir John Anderson;39;SC;laissez-faire capitalist;High;M1061;x
1062;Minister of Armament;Sir Kingsley Wood;40;SC;Resource Industrialist;High;M1062;x
1063;Minister of Armament;Lord Beaverbrook;40;SC;Administrative Genius;Very High;M1063;x
1064;Minister of Armament;Richard A. Butler;45;SC;Theoretical Scientist;Very High;M1064;x
1065;Minister of Armament;Hugh Dalton;37;SD;Resource Industrialist;Medium;M1065;x
1066;Minister of Armament;Clement Attlee;41;SD;Air to Ground Proponent;Medium;M1040;x
1067;Minister of Armament;Stafford Cripps;42;SD;Air to Ground Proponent;Medium;M1024;x
1068;Minister of Armament;Oswald Mosley;36;FA;Resource Industrialist;Undying;M1012;x
1069;Minister of Armament;Alliott Vernon-Roe;38;FA;Air to Ground Proponent;High;M1069;x
1070;Minister of Armament;Neil Francis-Hawkins;39;FA;Submarine Proponent;High;M1070;x
1071;Minister of Armament;Alexander Raven-Thomson;41;FA;Strategic Air Proponent;High;M1071;x
1072;Minister of Armament;Jorian Jenks;42;FA;Battle Fleet Proponent;High;M1072;x
1073;Minister of Armament;A.J.P. Taylor;44;FA;laissez-faire capitalist;High;M1073;x
1074;Minister of Armament;Stafford Cripps;36;LWR;Theoretical Scientist;Medium;M1024;x
1075;Minister of Armament;Leslie Solley;38;ST;Resource Industrialist;Medium;M1075;x
1076;Minister of Armament;Arthur Horner;40;ST;Administrative Genius;Medium;M1076;x
1077;Minister of Armament;Jack Gaster;41;ST;Submarine Proponent;Medium;M1077;x
1078;Minister of Armament;Abe Moffatt;42;LWR;Tank Proponent;Medium;M1078;x
1079;Minister of Armament;William Rust;44;ST;Infantry Proponent;Medium;M1079;x
1080;Minister of Armament;Konnie Zilliacus;45;LWR;Air Superiority Proponent;Medium;M1080;x
1081;Minister of Security;Stanley Baldwin;36;SC;Man of the People;Medium;M1002;x
1082;Minister of Security;Sir Austen Chamberlain;36;SC;Efficient Sociopath;High;M1082;x
1083;Minister of Security;Viscount Templewood;37;SC;Man of the People;High;M1083;x
1085;Minister of Security;David Maxwell Fyfe;41;SC;Compassionate Gentleman;High;M1085;x
1086;Minister of Security;Donald Bradley Somervell;45;SC;Crime Fighter;High;M1086;x
1087;Minister of Security;Brendan Bracken;46;SC;Silent Lawyer;Very High;M1087;x
1088;Minister of Security;Herbert Morrison;37;SD;Man of the People;Very High;M1048;x
1089;Minister of Security;James Chuter Ede;45;SD;Prince of Terror;Very High;M1089;x
1090;Minister of Security;Arnold Spencer-Leese;36;FA;Prince of Terror;Low;M1015;x
1091;Minister of Security;John Beckett;40;FA;Compassionate Gentleman;Medium;M1091;x
1092;Minister of Security;Arthur Chesterton;41;FA;Back Stabber;Medium;M1092;x
1093;Minister of Security;Jeffrey Hamm;42;FA;Crime Fighter;Medium;M1093;x
1094;Minister of Security;Maxwell Knight;43;FA;Man of the People;Medium;M1094;x
1095;Minister of Security;Violet Lansbury;36;ST;Prince of Terror;Medium;M1095;x
1096;Minister of Security;Lester Hutchinson;38;ST;Back Stabber;Medium;M1096;x
1097;Minister of Security;John Platts-Mills;36;LWR;Silent Lawyer;Medium;M1097;x
1098;Minister of Security;Sydney Silvermann;41;ST;Man of the People;Medium;M1098;x
1099;Minister of Security;Barbara Castle;45;LWR;Crime Fighter;Medium;M1099;x
1100;Minister of Security;Kim Philby;46;ST;Compassionate Gentleman;Very High;M1025;x
1102;Head of Military Intelligence;Lord Cecil of Chelwood;37;SC;Industrial Specialist;Very High;M1102;x
1103;Head of Military Intelligence;Sir Robert Menzies;40;SC;Dismal Enigma;Very High;M1103;x
1105;Head of Military Intelligence;Kim Philby;46;SC;Technical Specialist;Very Low;M1105;x
1106;Head of Military Intelligence;Brendan Bracken;37;SD;Political Specialist;Very High;M1087;x
1107;Head of Military Intelligence;S.P. James;36;FA;Industrial Specialist;High;M1016;x
1108;Head of Military Intelligence;Sir Barry E. Domvile;40;FA;Naval Intelligence Specialist;High;M1019;x
1109;Head of Military Intelligence;Maxwell Knight;42;FA;Logistics Specialist;Medium;M1094;x
1110;Head of Military Intelligence;John Amery;44;FA;Dismal Enigma;Medium;M1110;x
1111;Head of Military Intelligence;William Gallacher;36;LWR;Industrial Specialist;High;M1111;x
1112;Head of Military Intelligence;Christopher Hill;41;ST;Naval Intelligence Specialist;High;M1112;x
1113;Head of Military Intelligence;Aneurin Bevan;43;LWR;Dismal Enigma;High;M1021;x
1114;Head of Military Intelligence;Anthony Blunt;45;LWR;Political Specialist;Very High;M1026;x
1115;Head of Military Intelligence;Kim Philby;46;ST;Technical Specialist;Very High;M1105;x
1116;Chief of Staff;Sir Cyril Deverell;36;ML;School of Defence;Very High;M1116;x
1117;Chief of Staff;Lord John Gort;36;ML;School of Manoeuvre;Very High;M1117;x
1118;Chief of Staff;Sir Edmund Ironside;38;ML;School of Psychology;Very High;M1118;x
1119;Chief of Staff;Sir John Dill;39;ML;School of Fire Support;Very High;M1119;x
1120;Chief of Staff;Sir Alan Brooke;40;ML;School of Mass Combat;Very High;M1120;x
1121;Chief of Staff;Sir Lionel Ismay;37;SD;School of Fire Support;Very High;M1121;x
1122;Chief of Staff;Archibald Nye;41;SD;School of Mass Combat;Very High;M1122;x
1123;Chief of Staff;Sir Bernard Montgomery;45;SL;School of Manoeuvre;Medium;M1123;x
1124;Chief of Staff;J.F.C. Fuller;36;NS;School of Manoeuvre;Medium;M1017;x
1125;Chief of Staff;Sir Barry E. Domvile;39;FA;School of Psychology;High;M1019;x
1126;Chief of Staff;Tom Wintringham;36;ST;School of Mass Combat;High;M1027;x
1127;Chief of Army;Sir Cyril Deverell;36;ML;Guns and Butter Doctrine;Very High;M1116;x
1128;Chief of Army;Lord John Gort;37;ML;Armoured Spearhead Doctrine;Very High;M1117;x
1129;Chief of Army;Sir Edmund Ironside;39;ML;Static Defence Doctrine;Very High;M1118;x
1130;Chief of Army;Sir Alan Brooke;41;ML;Decisive Battle Doctrine;Very High;M1120;x
1132;Chief of Army;Sir John Dill;37;ML;Elastic Defence Doctrine;Very High;M1119;x
1133;Chief of Army;Sir Bernard Montgomery;45;SL;Armoured Spearhead Doctrine;Medium;M1123;x
1134;Chief of Army;J.F.C. Fuller;36;NS;Armoured Spearhead Doctrine;Medium;M1017;x
1135;Chief of Army;Bill Alexander;36;ST;Static Defence Doctrine;High;M1028;x
1137;Chief of Navy;Sir Roger Backhouse;37;ML;Indirect Approach Doctrine;High;M1137;x
1138;Chief of Navy;Sir Andrew Cunningham;43;ML;Power Projection Doctrine;High;M1138;x
1139;Chief of Navy;Sir John Cunningham;45;ML;Open Seas Doctrine;Very High;M1139;x
1140;Chief of Navy;Sir Dudley Pound;37;ML;Decisive Naval Battle Doctrine;Very High;M1140;x
1142;Chief of Navy;Sir Barry E. Domvile;36;FA;Power Projection Doctrine;High;M1019;x
1143;Chief of Navy;E.H. Cole;42;NS;Open Seas Doctrine;High;M1143;x
1144;Chief of Navy;Fred Copeman;36;ST;Indirect Approach Doctrine;High;M1029;x
1145;Chief of Navy;Harry Pollitt;39;ST;Decisive Naval Battle Doctrine;High;M1022;x
1147;Chief of Air Force;Sir Charles Portal;36;ML;Carpet Bombing Doctrine;Very High;M1147;x
1148;Chief of Air Force;Sir Arthur Tedder;45;ML;Army Aviation Doctrine;Very High;M1148;x
1149;Chief of Air Force;Sir Cyril Newall;37;ML;Air Superiority Doctrine;Very High;M1149;x
1151;Chief of Air Force;Sir John Chamier;36;FA;Vertical Envelopment Doctrine;High;M1020;x
1152;Chief of Air Force;Lord Williams Sempill;39;FA;Carpet Bombing Doctrine;High;M1152;x
1153;Chief of Air Force;Donald Marendaz;41;FA;Air Superiority Doctrine;High;M1153;x
1154;Chief of Air Force;Railton Freeman;43;FA;Naval Aviation Doctrine;High;M1154;x
1155;Chief of Air Force;John Strachey;36;ST;Carpet Bombing Doctrine;High;M1030;x
1157;Head of Government;Lord Halifax;40;SC;Happy Amateur;Very High;M1045;x
1158;Foreign Minister;Viscount Templewood;39;SC;Apologetic Clerk;High;M1083;x
1159;Minister of Security;Sir John Anderson;39;SC;Compassionate Gentleman;High;M1061;x
1160;Head of Government;David Lloyd George;40;SD;Naive Optimist;Very High;M1160;x
1161;Foreign Minister;Sir Archibald Sinclair;40;SD;Great Compromiser;High;M1161;x
