EST;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
26001;Head of State;Konstantin Päts;36;PA;Barking Buffoon;High;M26001;x
26002;Head of Government;Konstantin Päts;36;PA;Happy Amateur;High;M26001;x
26003;Foreign Minister;Julius Seljamaa;36;PA;The Cloak N Dagger Schemer;Medium;M26003;x
26004;Minister of Armament;Karl Selter;36;PA;Administrative Genius;Medium;M26004;x
26005;Minister of Security;Kaarel Eenpalu;36;PA;Crime Fighter;Medium;M26005;x
26006;Head of Military Intelligence;Kaarel Eenpalu;36;PA;Technical Specialist;Medium;M26005;x
26007;Chief of Staff;Nikolai Reek;36;PA;School of Defence;Medium;M26007;x
26008;Chief of Army;Johan Laidoner;36;PA;Static Defence Doctrine;Medium;M26008;x
26009;Chief of Navy;Voldemar Mere;36;PA;Open Seas Doctrine;Medium;M26009;x
26010;Chief of Air Force;Richard Tomberg;36;PA;Army Aviation Doctrine;Medium;M26010;x
26031;Head of State;August Rei;36;ML;Popular Figurehead;High;M26031;x
26032;Head of State;Jüri Uluots;40;ML;Die-hard Reformer;High;M26032;x
26034;Head of State;Hjalmar Mäe;36;FA;Insignificant Layman;High;M26011;x
26035;Head of State;Karl Sigismund Litzmann;41;NS;Resigned Generalissimo;High;M26035;x
26036;Head of State;Johannes Vares-Barbaruse;36;ST;Powerhungry Demagogue;High;M26021;x
26037;Head of Government;Jüri Uluots;36;ML;Smiling Oilman;High;M26032;x
26038;Head of Government;Otto Tief;40;ML;Happy Amateur;High;M26038;x
26039;Head of Government;Kaarel Liidak;44;ML;Political Protege;High;M26039;x
26041;Head of Government;Kaarel Eenpalu;38;PA;Ambitious Union Boss;High;M26005;x
26042;Head of Government;Hjalmar Mäe;36;NS;Flamboyant Tough Guy;High;M26011;x
26043;Head of Government;Johannes Vares-Barbaruse;36;ST;Silent Workhorse;High;M26021;x
26044;Head of Government;Johannes Lauristin;39;ST;Happy Amateur;High;M26044;x
26045;Head of Government;Oskar Sepre;40;ST;Silent Workhorse;High;M26044;x
26046;Head of Government;Arnold Veimer;44;ST;Naive Optimist;High;M26046;x
26047;Foreign Minister;August Rei;36;ML;Ideological Crusader;Medium;M26031;x
26048;Foreign Minister;Ants Piip;39;PA;Great Compromiser;Medium;M26048;x
26049;Foreign Minister;Kaarel Liidak;44;ML;Iron Fisted Brute;High;M26039;x
26050;Foreign Minister;Friedrich Karl Akel;36;PA;General Staffer;Medium;M26050;x
26051;Foreign Minister;Karl Selter;38;PA;Biased Intellectual;Medium;M26004;x
26052;Foreign Minister;Hjalmar Mäe;36;NS;Iron Fisted Brute;Medium;M26011;x
26053;Foreign Minister;Johannes Lauristin;36;ST;Apologetic Clerk;Medium;M26044;x
26054;Foreign Minister;Nigol Andresen;40;ST;Iron Fisted Brute;Medium;M26023;x
26055;Foreign Minister;Hans Kruus;44;ST;Ideological Crusader;Medium;M26055;x
26056;Minister of Armament;Leo Sepp;36;ML;Resource Industrialist;Medium;M26056;x
26057;Minister of Armament;Hugo Pärtelpoeg;44;ML;Laissez-Faire Capitalist;Medium;M26057;x
26059;Minister of Armament;Otto Tief;38;PA;Corrupt Kleptocrat;Low;M26038;x
26060;Minister of Armament;Konstantin Päts;39;PA;Administrative Genius;Very High;M26001;x
26061;Minister of Armament;Alfred Vendt;36;FA;Military Entrepreneur;Medium;M26014;x
26062;Minister of Armament;Juhan Narma-Nihtig;36;ST;Resource Industrialist;Medium;M26024;x
26063;Minister of Armament;Paul Keerdo;40;ST;Corrupt Kleptocrat;Medium;M26063;x
26064;Minister of Armament;Nikolaus Pilankor;44;ST;Military Entrepreneur;Medium;M26064;x
26065;Minister of Security;Richard Veermaa;36;ML;Silent Lawyer;Medium;M26065;x
26066;Minister of Security;August Jürima;39;ML;Crooked Kleptocrat;Medium;M26066;x
26067;Minister of Security;Johannes Klesment;44;ML;Compassionate Gentleman;Medium;M26067;x
26069;Minister of Security;Julius Seljamaa;38;PA;Prince of Terror;Medium;M26003;x
26070;Minister of Security;Oskar Angelus;36;NS;Prince of Terror;Medium;M26015;x
26071;Minister of Security;Karl Sigismund Litzmann;41;NS;Back Stabber;Low;M26035;x
26072;Minister of Security;Andrei Murro;36;ST;Man of the People;Medium;M26072;x
26073;Minister of Security;Maksim Unt;39;ST;Prince of Terror;Medium;M26025;x
26074;Minister of Security;Boris Kumm;40;ST;Efficient Sociopath;Medium;M26074;x
26075;Minister of Security;Aleksander Rusev;44;ST;Back Stabber;Medium;M26075;x
26076;Head of Military Intelligence;Jüri Uluots;36;ML;Industrial Specialist;Medium;M26032;x
26077;Head of Military Intelligence;August Rei;44;ML;Political Specialist;Medium;M26031;x
26079;Head of Military Intelligence;Oskar Angelus;36;NS;Logistics Specialist;Medium;M26015;x
26080;Head of Military Intelligence;Oskar Sepre;36;ST;Dismal Enigma;Medium;M26044;x
26081;Head of Military Intelligence;Johannes Vares-Barbaruse;40;ST;Political Specialist;Medium;M26021;x
26082;Head of Military Intelligence;Arnold Veimer;44;ST;Technical Specialist;Very High;M26046;x
26083;Chief of Staff;Alexander Jaakson;36;ML;School of Fire Support;Medium;M26083;x
26084;Chief of Staff;Johan Holberg;41;ML;School of Defence;Medium;M26084;x
26086;Chief of Staff;Johannes Soodla;36;NS;School of Psychology;Medium;M26017;x
26087;Chief of Staff;Nikolay G. Karotamm;36;ST;School of Mass Combat;Medium;M26027;x
26089;Chief of Army;Richard Veermaa;36;ML;Decisive Battle Doctrine;Medium;M26065;x
26091;Chief of Army;Juhan Tuuling;36;NS;Decisive Battle Doctrine;Medium;M26018;x
26092;Chief of Army;Alfons Rebane;41;NS;Armoured Spearhead Doctrine;Medium;M26092;x
26093;Chief of Army;Nikolay G. Karotamm;36;ST;Decisive Battle Doctrine;Medium;M26027;x
26094;Chief of Navy;Alex Nirk;36;ML;Power Projection Doctrine;Medium;M26094;x
26096;Chief of Navy;Alfred Vendt;36;FA;Indirect Approach Doctrine;Medium;M26014;x
26097;Chief of Navy;Johannes Vares-Barbaruse;36;ST;Power Projection Doctrine;Medium;M26021;x
