ETH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
65001;Head of State;Haile Selassie I;36;PA;Stern Imperialist;High;M65001;x
65002;Head of Government;Bedjironde Tekle Hawariate;36;PA;Happy Amateur;High;M65002;x
65003;Foreign Minister;Herouy Wolde Selassie;36;PA;General Staffer;Very High;M65003;x
65004;Minister of Armament;Herouy Wolde Selassie;36;PA;Military Entrepreneur;Very High;M65003;x
65005;Minister of Security;Bedjironde Tekle Hawariate;36;PA;Crime Fighter;Very High;M65002;x
65006;Head of Military Intelligence;Haile Selassie I;36;PA;Logistics Specialist;Very High;M65001;x
65007;Chief of Staff;Ras Mulugueta;36;PA;School of Defence;Very High;M65007;x
65008;Chief of Army;Desta Damtew;36;PA;Guns and Butter Doctrine;Very High;M65008;x
65009;Chief of Navy;Ras Seyum;36;PA;Indirect Approach Doctrine;Very High;M65009;x
65010;Chief of Air Force;John Robinson;36;PA;Vertical Envelopment Doctrine;Medium;M65010;x
65032;Head of State;Lij Johannes;36;FA;Insignificant Layman;High;M65011;x
65033;Head of State;Vittorio Emmanuele III;39;FA;Resigned Generalissimo;High;M65033;x
65034;Head of State;Ras Imru Haile Selassie;36;SC;Benevolent Gentleman;High;M65021;x
65036;Head of Government;Makonnen Endelkatchew;41;PA;Political Protege;High;M65036;x
65037;Head of Government;Haile Selassie Gugsa;36;FA;Naive Optimist;High;M65012;x
65038;Head of Government;Ras Getachew;39;FA;Old General;High;M65014;x
65039;Head of Government;Ras Imru Haile Selassie;36;SC;Corporate Suit;High;M65021;x
65040;Head of Government;Blatta Zawde Belaineh;41;SC;Silent Workhorse;High;M65024;x
65042;Foreign Minister;Makonnen Endelkatchew;41;PA;Great Compromiser;High;M65036;x
65043;Foreign Minister;Aklilu Habtewold;43;PA;Biased Intellectual;Very High;M65043;x
65044;Foreign Minister;Mered Azmatch Asfa Wossen;45;PA;The Cloak N Dagger Schemer;High;M65044;x
65045;Foreign Minister;Ras Hailu Tekle Haimanot;36;FA;Iron Fisted Brute;Medium;M65013;x
65046;Foreign Minister;Ras Kebbede;39;FA;General Staffer;Medium;M65017;x
65047;Foreign Minister;Ras Sega;36;SC;Biased Intellectual;Medium;M65023;x
65048;Foreign Minister;Dedja Zinatch Nadeon;41;SC;Iron Fisted Brute;Medium;M65029;x
65049;Foreign Minister;Tsehafe Taezaz;43;SC;Ideological Crusader;Very High;M65049;x
65050;Minister of Armament;Pierre Linant de Bellefonds;37;PA;Administrative Genius;Very High;M65050;x
65052;Minister of Armament;Tsehafe Taezaz;45;PA;Air Superiority Proponent;Very High;M65049;x
65053;Minister of Armament;Ras Getachew;36;FA;Military Entrepreneur;Medium;M65014;x
65054;Minister of Armament;Ras Hailu Tekle Haimanot;39;FA;Corrupt Kleptocrat;Medium;M65013;x
65055;Minister of Armament;Blatta Zawde Belaineh;36;SC;Resource Industrialist;Medium;M65024;x
65056;Minister of Armament;Wagshum Wosen Hailu;41;SC;Tank Proponent;Medium;M65056;x
65058;Minister of Security;Aklilu Habtewold;41;PA;Efficient Sociopath;Very High;M65058;x
65059;Minister of Security;Deajaz Gabremariam;45;PA;Compassionate Gentleman;Very High;M65059;x
65060;Minister of Security;Kantiba Wosene Zamanel;36;FA;Prince of Terror;Medium;M65015;x
65061;Minister of Security;Lij Asrate;39;FA;Silent Lawyer;Medium;M65061;x
65062;Minister of Security;Ras Gugsa Arya;36;SC;Compassionate Gentleman;Medium;M65025;x
65063;Minister of Security;Ato Fassika;41;SC;Prince of Terror;Medium;M65063;x
65065;Head of Military Intelligence;Fikre Selasse Katama;41;PA;Logistics Specialist;Very High;M65065;x
65066;Head of Military Intelligence;Tamrat Yigezu;45;PA;Dismal Enigma;Very High;M65066;x
65067;Head of Military Intelligence;Markos Wolde Gabriel;36;FA;Dismal Enigma;Medium;M65067;x
65068;Head of Military Intelligence;Haile Selassie Gugsa;39;FA;Political Specialist;Medium;M65012;x
65069;Head of Military Intelligence;Ras Imru Haile Selassie;36;SC;Political Specialist;Medium;M65021;x
65070;Head of Military Intelligence;Lij Araya Abebe;41;SC;Industrial Specialist;Medium;M65070;x
65071;Chief of Staff;Hapte Mikael Agafari;37;PA;School of Psychology;Very High;M65071;x
65072;Chief of Staff;Haile Wolde Rufe;45;PA;School of Mass Combat;Very High;M65072;x
65073;Chief of Staff;Ras Kebbede;36;FA;School of Defence;Medium;M65017;x
65074;Chief of Staff;Woldemeskal Tariku;36;SC;School of Defence;Medium;M65027;x
65075;Chief of Staff;Abanefso Balcha;41;SC;School of Mass Combat;Medium;M65075;x
65077;Chief of Army;Haile Abba Mersa;41;PA;Decisive Battle Doctrine;Very High;M65077;x
65078;Chief of Army;Lij Abiye Abebe;45;PA;Armoured Spearhead Doctrine;High;M65078;x
65079;Chief of Army;Ras Kassa;36;FA;Decisive Battle Doctrine;Medium;M65018;x
65080;Chief of Army;Ras Seyum;39;FA;Static Defence Doctrine;Medium;M65009;x
65081;Chief of Army;Woldemeskal Tariku;36;SC;Guns and Butter Doctrine;Medium;M65027;x
65082;Chief of Army;Ras Kassa;41;SC;Static Defence Doctrine;Medium;M65018;x
65083;Chief of Army;Lij Abiye Abebe;45;SC;Armoured Spearhead Doctrine;High;M65078;x
65084;Chief of Navy;Wondossen Kassa;37;PA;Open Seas Doctrine;Medium;M65084;x
65085;Chief of Navy;Lij Johannes;36;FA;Open Seas Doctrine;Medium;M65011;x
65086;Chief of Navy;Ras Seyum;39;FA;Indirect Approach Doctrine;Very High;M65009;x
65087;Chief of Navy;Dedja Zinatch Nadeon;36;SC;Power Projection Doctrine;Medium;M65029;x
65089;Chief of Air Force;Mesfin Sileshi;39;PA;Carpet Bombing Doctrine;Medium;M65089;x
65090;Chief of Air Force;Fitauri Zawde Gobena;45;PA;Air Superiority Doctrine;Medium;M65020;x
