EUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
580001;Head of State;José Antonio Aguirre;36;SC;Benevolent Gentleman;Very High;unknown;x
580002;Head of Government;José Antonio Aguirre;36;SC;Flamboyant Tough Guy;Very High;unknown;x
580003;Foreign Minister;José María Lasarte;36;SC;Ideological Crusader;High;unknown;x
580004;Minister of Armament;Heliodoro de la Torre;36;SC;laissez-faire capitalist;High;unknown;x
580005;Minister of Security;Jesús María de Leizaola;36;SC;Silent Lawyer;High;unknown;x
580006;Head of Military Intelligence;Juan Ajuriaguerra;36;SC;Logistics Specialist;High;unknown;x
580007;Chief of Staff;José Antonio Aguirre;36;SC;School of Defence;Very High;unknown;x
580008;Chief of Army;Saturnino Bengoa;36;SC;Static Defence Doctrine;High;unknown;x
580009;Chief of Navy;Joaquín de Egía;36;SC;Base Control Doctrine;High;unknown;x
580010;Chief of Air Force;Cerro;36;SC;Naval Aviation Doctrine;High;unknown;x
580011;Head of State;Jesús María de Leizaola;36;SC;Popular Figurehead;High;unknown;x
580012;Head of Government;Jesús María de Leizaola;36;SC;Naive Optimist;High;unknown;x
580013;Foreign Minister;Francisco Javier de Landaburu;36;SC;Great Compromiser;High;unknown;x
580014;Minister of Armament;Fermín Zarza;36;SC;Resource Industrialist;High;unknown;x
580015;Minister of Security;Manuel de Irujo;36;SC;Efficient Sociopath;Very High;unknown;x
580016;Head of Military Intelligence;Manuel de Irujo;36;SC;Dismal Enigma;High;unknown;x
580017;Chief of Staff;Jesús María de Leizaola;36;SC;School of Psychology;High;unknown;x
580018;Chief of Army;Antonio Ortega;36;SC;Elastic Defence Doctrine;High;unknown;x
580019;Chief of Navy;José María Burgaña;36;SC;Open Seas Doctrine;High;unknown;x
580020;Chief of Air Force;Juan Antonio Ibarreche;36;ML;Carpet Bombing Doctrine;High;unknown;x
580021;Head of State;Anacleto Ortueta;36;LWR;Die-Hard Reformer;High;unknown;x
580022;Head of State;Justo Gárate;36;LWR;Barking Buffoon;Very High;unknown;x
580023;Head of Government;Anacleto Ortueta;36;LWR;Backroom Backstabber;High;unknown;x
580024;Head of Government;Telesforo Monzón;36;LE;Flamboyant Tough Guy;High;unknown;x
580025;Foreign Minister;Telesforo Monzón;36;LE;Iron Fisted Brute;High;unknown;x
580026;Foreign Minister;Tomás Bilbao;36;LWR;Apologetic Clerk;High;unknown;x
580027;Minister of Armament;Santiago Aznar;36;LWR;Corrupt Kleptocrat;High;unknown;x
580028;Minister of Armament;Gonzalo Nardiz;36;LWR;laissez-faire capitalist;High;unknown;x
580029;Minister of Security;Justo Gárate;36;LWR;Efficient Sociopath;Very High;unknown;x
580030;Minister of Security;Anacleto Ortueta;36;LWR;Man of the People;High;unknown;x
580031;Head of Military Intelligence;Jesús Larrañaga;36;LWR;Industrial Specialist;High;unknown;x
580032;Head of Military Intelligence;Francisco Ciutat de Miguel;36;LWR;Logistics Specialist;Medium;unknown;x
580033;Chief of Staff;Anacleto Ortueta;36;LWR;School of Fire Support;High;unknown;x
580034;Chief of Staff;Justo Gárate;36;LWR;School of Psychology;Very High;unknown;x
580035;Chief of Army;Felix Likiniano;36;LE;Decisive Battle Doctrine;High;unknown;x
580036;Chief of Army;Kepa Ordoki;36;LE;Guns and Butter Doctrine;High;unknown;x
580037;Chief of Navy;Rafael Menchaca;36;ST;Indirect Approach Doctrine;High;unknown;x
580038;Chief of Navy;Manuel Galdós;36;LWR;Open Seas Doctrine;High;unknown;x
580039;Chief of Air Force;Ignacio Hidalgo de Cisneros;36;LWR;Carpet Bombing Doctrine;Medium;M11030;x
580040;Chief of Air Force;Pablo Rada;36;LWR;Naval Aviation Doctrine;High;unknown;x
580041;Head of State;Carlos XI de Habsburgo;36;PA;Benevolent Gentleman;High;unknown;x
580042;Head of State;Carlos XII Antonio de Habsburgo;36;PA;Insignificant Layman;Medium;unknown;x
580043;Head of Government;Pedro Mourlane Michelena;36;FA;Flamboyant Tough Guy;Very High;unknown;x
580044;Head of Government;José Felix Lequerica;36;PA;Silent Workhorse;High;unknown;x
580045;Foreign Minister;José María de Areilza;36;PA;Great Compromiser;Very High;unknown;x
580046;Foreign Minister;José Felix Lequerica;36;PA;Biased Intellectual;High;unknown;x
580047;Minister of Armament;José Luis Arrese;36;FA;Resource Industrialist;Medium;unknown;x
580048;Minister of Armament;Alejandro Goicoechea;36;PA;Administrative Genius;High;unknown;x
580049;Minister of Security;Rafael Sánchez Mazas;36;FA;Compassionate Gentleman;High;unknown;x
580050;Minister of Security;Pedro Mourlane Michelena;36;FA;Man of the People;Very High;unknown;x
580051;Head of Military Intelligence;Manuel Aznar;36;PA;Political Specialist;Medium;unknown;x
580052;Head of Military Intelligence;Alejandro Goicoechea;36;PA;Logistics Specialist;High;unknown;x
580053;Chief of Staff;Carlos XI de Habsburgo;36;PA;School of Mass Combat;High;unknown;x
580054;Chief of Staff;Carlos XII Antonio de Habsburgo;36;PA;School of Defence;Medium;unknown;x
580055;Chief of Army;Alejandro Goicoechea;36;PA;Static Defence Doctrine;High;unknown;x
580056;Chief of Army;Enrique Sotomayor;36;FA;Decisive Battle Doctrine;Medium;unknown;x
580057;Chief of Navy;Felipe Abárzuza;36;PA;Power Projection Doctrine;High;unknown;x
580058;Chief of Navy;Francisco Nuñez de Olañeta;36;PA;Indirect Approach Doctrine;Very High;unknown;x
580059;Chief of Air Force;Ángel Salas;36;PA;Vertical Envelopment Doctrine;High;unknown;x
