FIN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
29001;Head of State;Pehr E. Svinhufvud;36;SC;Pig-headed Isolationist;High;M29001;x
29002;Head of Government;Toivo M. Kivimäki;36;SC;Silent Workhorse;High;M29002;x
29003;Foreign Minister;Antti V. Hackzell;36;SC;Biased Intellectual;Medium;M29003;x
29004;Minister of Armament;Arvi A. Oksala;36;SC;Resource Industrialist;Medium;M29004;x
29005;Minister of Security;Yrjö W. Puhakka;36;SC;Silent Lawyer;Medium;M29005;x
29006;Head of Military Intelligence;Esko Riekki;36;SC;Dismal Enigma;High;M29006;x
29007;Chief of Staff;K.L. Oesch;36;SC;School of Manoeuvre;High;M29007;x
29008;Chief of Army;Hugo Österman;36;SC;Elastic Defence Doctrine;Medium;M29008;x
29009;Chief of Navy;Väinö Valve;36;SC;Open Seas Doctrine;High;M29009;x
29010;Chief of Air Force;Jarl Lundqvist;36;SC;Naval Aviation Doctrine;Very High;M29010;x
29034;Head of State;Carl G. Mannerheim;44;SC;Resigned Generalissimo;High;M29034;x
29035;Head of State;Juho K. Paasikivi;45;SD;Autocratic Charmer;High;M29035;x
29036;Head of State;Pehr E. Svinhufvud;36;ML;Pig-headed Isolationist;High;M29001;x
29039;Head of State;Risto Ryti;40;ML;Weary Stiffneck;High;M29033;x
29043;Head of State;Kyösti Kallio;37;SC;Stern Imperialist;High;M29032;x
29044;Head of State;Risto Ryti;39;SC;Weary Stiffneck;High;M29033;x
29045;Head of State;Risto Ryti;43;PA;Weary Stiffneck;High;M29033;x
29047;Head of State;Juho K. Paasikivi;46;SC;Autocratic Charmer;High;M29035;x
29048;Head of State;Bruno Salmiala;36;FA;Ruthless Powermonger;High;M29011;x
29049;Head of State;Otto Ville Kuusinen;36;ST;Ruthless Powermonger;High;M29021;x
29050;Head of Government;Väinö Kivisalo;36;SD;Naive Optimist;High;M29050;x
29051;Head of Government;Urho K. Kekkonen;43;ML;Backroom Backstabber;High;M29051;x
29052;Head of Government;Mauno Pekkala;45;SD;Political Protege;High;M29052;x
29053;Head of Government;Kyösti Kallio;36;ML;Corporate Suit;High;M29032;x
29054;Head of Government;Aimo Cajander;37;ML;Happy Amateur;High;M29054;x
29055;Head of Government;Jarl Lundqvist;43;ML;Smiling Oilman;High;M29010;x
29056;Head of Government;Yrjö K. Leino;46;ML;Naive Optimist;High;M29025;x
29058;Head of Government;Risto Ryti;39;SC;Backroom Backstabber;High;M29033;x
29059;Head of Government;Johan W. Rangell;41;SC;Flamboyant Tough Guy;High;M29059;x
29060;Head of Government;Antti V. Hackzell;44;SC;Silent Workhorse;High;M29003;x
29061;Head of Government;Juho K. Paasikivi;44;SC;Flamboyant Tough Guy;High;M29035;x
29062;Head of Government;Kyosti Järvinen;46;SC;Silent Workhorse;High;M29062;x
29063;Head of Government;Edwin H. Linkomies;43;SC;Naive Optimist;High;M29063;x
29064;Head of Government;Urho J. Castrén;44;SC;Corporate Suit;High;M29064;x
29065;Head of Government;Vihtori Kosola;36;FA;Silent Workhorse;High;M29012;x
29066;Head of Government;Otto Ville Kuusinen;39;ST;Flamboyant Tough Guy;High;M29021;x
29067;Foreign Minister;Anselmi Pitkäsilta;36;SD;Apologetic Clerk;Medium;M29067;x
29068;Foreign Minister;Väinö A. Tanner;39;SC;Ideological Crusader;Medium;M29068;x
29069;Foreign Minister;Väinö Kivisalo;43;SD;Iron Fisted Brute;Very High;M29050;x
29071;Foreign Minister;Eino R. Holsti;36;ML;Great Compromiser;Medium;M29071;x
29072;Foreign Minister;Kaarle V. Voionmaa;38;ML;Apologetic Clerk;Medium;M29072;x
29073;Foreign Minister;Juho E. Erkko;38;ML;Biased Intellectual;Medium;M29073;x
29074;Foreign Minister;Rolf J. Witting;40;SC;The Cloak N Dagger Schemer;Medium;M29074;x
29075;Foreign Minister;Carl J. Enckell;44;SD;Great Compromiser;Medium;M29070;x
29076;Foreign Minister;Arvi A. Oksala;36;SC;General Staffer;Medium;M29004;x
29077;Foreign Minister;Carl Ramsay;43;SC;Iron Fisted Brute;Medium;M29077;x
29078;Foreign Minister;Johan W. Rangell;46;SC;Biased Intellectual;High;M29059;x
29079;Foreign Minister;Hilja Riipinen;36;FA;Ideological Crusader;High;M29013;x
29080;Foreign Minister;Otto Ville Kuusinen;39;ST;Apologetic Clerk;Low;M29021;x
29081;Foreign Minister;Hella Wuolijoki;42;ST;Great Compromiser;Low;M29081;x
29082;Minister of Armament;Viljam Sinisalo;36;SD;Strategic Air Proponent;Medium;M29082;x
29083;Minister of Armament;Karl A. Fagerholm;43;SD;laissez-faire capitalist;Medium;M29083;x
29084;Minister of Armament;Mauno Pekkala;44;SD;Theoretical Scientist;Medium;M29052;x
29085;Minister of Armament;Otto Toivonen;46;SD;Military Entrepreneur;Medium;M29085;x
29086;Minister of Armament;Juho Niukkanen;36;ML;Administrative Genius;Medium;M29014;x
29087;Minister of Armament;Aimo Cajander;39;ML;Resource Industrialist;Medium;M29054;x
29088;Minister of Armament;Kyösti Kallio;41;ML;laissez-faire capitalist;High;M29032;x
29089;Minister of Armament;Väinö L. Valve;44;ML;Military Entrepreneur;Medium;M29009;x
29090;Minister of Armament;Jarl Lundqvist;46;ML;Air to Sea Proponent;Very High;M29010;x
29091;Minister of Armament;Antti V. Hackzell;36;SC;Battle Fleet Proponent;Medium;M29003;x
29092;Minister of Armament;Pehr E. Svinhufvud;36;SC;Tank Proponent;High;M29001;x
29093;Minister of Armament;Leonard Grandell;39;SC;laissez-faire capitalist;Medium;M29093;x
29094;Minister of Armament;Juho K. Paasikivi;41;SC;Resource Industrialist;High;M29035;x
29095;Minister of Armament;Urho J. Castrén;43;SC;Infantry Proponent;NA;M29064;x
