FRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
2001;Head of State;Albert Lebrun;36;SL;Barking Buffoon;High;M2001;x
2002;Head of Government;Albert Sarraut;36;SL;Happy Amateur;High;M2002;x
2003;Foreign Minister;Pierre Etienne Flandin;36;SL;Ideological Crusader;Low;M2003;x
2004;Minister of Armament;Vincent Auriol;36;SL;Administrative Genius;High;M2004;x
2005;Minister of Security;Marx Dormoy;36;SL;Compassionate Gentleman;Medium;M2005;x
2006;Head of Military Intelligence;Joseph Paganon;36;SL;Political Specialist;Medium;M2006;x
2007;Chief of Staff;Maurice Gamelin;36;SL;School of Fire Support;Very High;M2007;x
2008;Chief of Army;Maurice Gamelin;36;SL;Static Defence Doctrine;Very High;M2007;x
2009;Chief of Navy;François Darlan;36;SL;Open Seas Doctrine;High;M2009;x
2010;Chief of Air Force;Victor Denain;36;SL;Carpet Bombing Doctrine;Medium;M2010;x
2022;Head of State;Vincent Auriol;47;SL;Autocratic Charmer;High;M2004;x
2023;Head of State;Daniel Mayer;44;SD;Weary Stiffneck;High;M2023;x
2030;Head of State;Maurice Thorez;36;ST;Powerhungry Demagogue;High;M2011;x
2031;Head of State;Charles de Gaulle;40;SC;Resigned Generalissimo;High;M2027;x
2032;Head of State;Jean de Bourbon;38;PA;Benevolent Gentleman;High;M2032;x
2033;Head of Government;Léon Blum;36;SD;Naive Optimist;High;M2033;x
2034;Head of Government;Felix Gouin;40;SD;Smiling Oilman;High;M2034;x
2035;Head of Government;Paul Ramadier;47;SD;Ambitious Union Boss;High;M2035;x
2036;Head of Government;Camille Chautemps;37;SL;Silent Workhorse;High;M2036;x
2037;Head of Government;Edouard Daladier;38;SD;Naive Optimist;High;M2037;x
2038;Head of Government;Paul Reynaud;40;SL;Political Protege;High;M2038;x
2039;Head of Government;Georges Bidault;46;ML;Old General;High;M2039;x
2040;Head of Government;Pierre Laval;36;SC;Flamboyant Tough Guy;High;M2040;x
2041;Head of Government;André Marie;38;SC;Happy Amateur;High;M2041;x
2042;Head of Government;Edouard Herriot;40;SC;Naive Optimist;High;M2042;x
2043;Head of Government;Antoine Henri Queuille;41;SC;Corporate Suit;High;M2043;x
2044;Head of Government;Jacques Duclos;36;ST;Backroom Backstabber;High;M2012;x
2045;Head of Government;Marcel Cachin;38;ST;Silent Workhorse;High;M2017;x
2046;Head of Government;Charles de Gaulle;40;SC;Old General;High;M2027;x
2047;Head of Government;Jean-Marie Lattre de Tassigny;38;SC;Old General;High;M2047;x
2049;Foreign Minister;Joseph Paul Boncour;38;SD;Ideological Crusader;Medium;M2049;x
2050;Foreign Minister;Pierre Comert;41;SD;The Cloak N Dagger Schemer;Medium;M2050;x
2051;Foreign Minister;Léon Blum;47;SD;Apologetic Clerk;Very High;M2033;x
2052;Foreign Minister;Yvon Delbos;36;SL;Biased Intellectual;Medium;M2048;x
2053;Foreign Minister;Georges Bonnet;38;SL;Iron Fisted Brute;Medium;M2053;x
2054;Foreign Minister;Edouard Daladier;39;SD;Great Compromiser;High;M2037;x
2055;Foreign Minister;Paul Reynaud;40;SL;Ideological Crusader;Undying;M2038;x
2056;Foreign Minister;George Bidault;41;ML;General Staffer;High;M2039;x
2057;Foreign Minister;Pierre Laval;36;SC;Great Compromiser;Undying;M2040;x
2058;Foreign Minister;Antoine Henri Queuille;41;SC;Iron Fisted Brute;High;M2043;x
2059;Foreign Minister;René Charron;44;SC;Apologetic Clerk;Medium;M2059;x
2060;Foreign Minister;Pierre Henri Watier;47;SC;Biased Intellectual;Medium;M2060;x
2061;Foreign Minister;René Lucien Massigli;43;SC;The Cloak N Dagger Schemer;High;M2061;x
2062;Foreign Minister;Marcel Cachin;36;ST;Biased Intellectual;Very High;M2017;x
2063;Foreign Minister;Marcel Gitton;40;ST;Apologetic Clerk;Medium;M2020;x
2064;Foreign Minister;Laurent Casenove;43;ST;Great Compromiser;Medium;M2064;x
2065;Foreign Minister;Jacques Duclos;47;ST;Ideological Crusader;Very High;M2012;x
2066;Foreign Minister;Maurice Bourges-Maunoury;38;PA;General Staffer;High;M2066;x
2068;Minister of Armament;Edouard Daladier;37;SD;laissez-faire capitalist;Low;M2037;x
2069;Minister of Armament;Jean Louis Barthou;38;SD;Military Entrepreneur;Medium;M2069;x
2070;Minister of Armament;Leon Jouhaux;41;SD;Strategic Air Proponent;Medium;M2070;x
2071;Minister of Armament;Guy Mollet;46;SD;Theoretical Scientist;Medium;M2071;x
2072;Minister of Armament;André Le Troquer;47;SD;Resource Industrialist;Medium;M2072;x
2073;Minister of Armament;Raoul Dautry;36;SL;Theoretical Scientist;High;M2073;x
2074;Minister of Armament;Louis Loucheur;37;SL;Air to Ground Proponent;Medium;M2074;x
2075;Minister of Armament;Albert Sarraut;38;SL;laissez-faire capitalist;Low;M2002;x
2076;Minister of Armament;Marcel Hoden;39;SL;Air Superiority Proponent;Medium;M2076;x
