GEO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
519001;Head of State;Kandid Charkviani;36;ST;Barking Buffoon;High;M519001;x
519002;Head of Government;Lavrentij Beria;36;ST;Flamboyant Tough Guy;High;M519002;x
519003;Foreign Minister;Budu Mdivani;36;ST;The Cloak N Dagger Schemer;High;M519003;x
519004;Minister of Armament;Georgi Eliava;36;ST;Theoretical Scientist;Medium;M519004;x
519005;Minister of Security;Sergo Ordzhonikidzhe;36;ST;Prince of Terror;Medium;M519005;x
519006;Head of Military Intelligence;Nikola Nakashidzhe;36;ST;Industrial Specialist;Medium;M519006;x
519007;Chief of Staff;Lavrentij Beria;36;ST;School of Psychology;Medium;M519007;x
519008;Chief of Army;Igor D. Tcherniakhovski;36;ST;Elastic Defence Doctrine;Medium;M519008;x
519009;Chief of Navy;Alexei Brusilov;36;ST;Open Seas Doctrine;Medium;M519009;x
519010;Chief of Air Force;Mamia Orakhelashvili;36;ST;Naval Aviation Doctrine;Medium;M519010;x
519011;Head of State;Raphael Ivanitski-Ingilo;36;SD;Pig-headed Isolationist;High;M519011;x
519012;Head of State;H.R.H. Margaretha I. Abkhazi;36;SL;Popular Figurehead;High;M519012;x
519013;Head of State;H.R.H. Irakly IV. Bagration de Moukhani;36;SC;Autocratic Charmer;High;M519013;x
519014;Head of State;H.R.H. Andriy II. Chivadjeze;36;NS;Stern Imperialist;High;M519014;x
519015;Head of Government;Mikheil Javakhishvili;36;SD;Naive Optimist;High;M519015;x
519016;Head of Government;dr. Ivane Tsitsishvili;36;SL;Backroom Backstabber;High;M519016;x
519017;Head of Government;Ivane Javakhishvili;36;SC;Silent Workhorse;High;M519017;x
519018;Head of Government;Mikhail von Tsereteli;36;NS;Happy Amateur;High;M519018;x
519019;Foreign Minister;Mukhran Niniadzhe;36;ST;Iron Fisted Brute;High;M519019;x
519020;Foreign Minister;Filipp Makharadzhe;36;ST;Ideological Crusader;High;M519020;x
519021;Foreign Minister;Shalva Amirejbi;36;SD;Apologetic Clerk;High;M519021;x
519022;Foreign Minister;Abbot Ephrem Korselidzhe;36;SL;Apologetic Clerk;High;M519022;x
519023;Foreign Minister;Valentin S. Oschepov;36;SL;Biased Intellectual;High;M519023;x
519024;Foreign Minister;Patriarch Kalistrate Tsintadzhe;36;SC;Iron Fisted Brute;High;M519024;x
519025;Foreign Minister;Alexander Nikuradze;36;NS;Great Compromiser;High;M519025;x
519026;Minister of Armament;Batchua Zezvasdze;36;ST;Resource Industrialist;Medium;M519026;x
519027;Minister of Armament;Beso Lominadzhe;36;SD;Theoretical Scientist;Medium;M519027;x
519028;Minister of Armament;Tedore Sakhoia;36;SD;Resource Industrialist;Medium;M519028;x
519029;Minister of Armament;Gheorghe Gvazava;36;SL;laissez-faire capitalist;Medium;M519029;x
519030;Minister of Armament;Avel Enukidzhe;36;SC;Air Superiority Proponent;High;M519030;x
519031;Minister of Armament;Vasil G. Tsereteli;36;SC;Air to Ground Proponent;High;M519031;x
519032;Minister of Armament;Revaz Gabashvili;36;NS;Infantry Proponent;High;M519032;x
519033;Minister of Security;Sergei Kavtaradzhe;36;ST;Efficient Sociopath;Medium;M519033;x
519034;Minister of Security;Stalva Eliavi;36;SD;Prince of Terror;Medium;M519034;x
519035;Minister of Security;Noe Jordania;36;SL;Efficient Sociopath;Medium;M519035;x
519036;Minister of Security;Mehmed Abashidzhe;36;SC;Back Stabber;Medium;M519036;x
519037;Minister of Security;Ali Mitaev;36;SC;Crime Fighter;Medium;M519037;x
519038;Minister of Security;Ekvtime Takaishivili;36;NS;Crime Fighter;Medium;M519038;x
519039;Head of Military Intelligence;Gyrogy Sturua;36;ST;Logistics Specialist;Medium;M519039;x
519040;Head of Military Intelligence;Georgi Eliava;36;SD;Technical Specialist;Medium;M519004;x
519041;Head of Military Intelligence;Nikoloz Kartsivadzhe;36;SD;Political Specialist;Medium;M519041;x
519042;Head of Military Intelligence;Mihael Akhmeteli;36;SL;Logistics Specialist;Medium;M519042;x
519043;Head of Military Intelligence;Markoz Tugushi;36;SC;Dismal Enigma;Medium;M519043;x
519044;Head of Military Intelligence;Merab Kostava;36;NS;Industrial Specialist;Medium;M519044;x
519045;Chief of Staff;Sekhnia Utchashvili;36;ST;School of Defence;Medium;M519045;x
519046;Chief of Staff;Kakutsa Cholokashvili;36;SD;School of Manoeuvre;Medium;M519046;x
519047;Chief of Staff;Shalva Karumidzhe;36;SL;School of Mass Combat;Medium;M519047;x
519048;Chief of Staff;Konstantine Abkhazi;36;SC;School of Fire Support;Medium;M519048;x
519049;Chief of Staff;Gaguca de Bagration;36;NS;School of Manoeuvre;Medium;M519049;x
519050;Chief of Army;Alexei Brusilov;36;ST;Static Defence Doctrine;Medium;M519050;x
519051;Chief of Army;Levan Razikashvili;36;SD;Decisive Battle Doctrine;Medium;M519051;x
519052;Chief of Army;Wardan Tsulukidzhe;36;SL;Elastic Defence Doctrine;Medium;M519052;x
519053;Chief of Army;Niko Nikoladzhe;36;SC;Guns and Butter Doctrine;Medium;M519053;x
519054;Chief of Army;Shalva Maglakelidzhe;36;NS;Static Defence Doctrine;Medium;M519054;x
519055;Chief of Navy;Valerian Bakradzhe;36;ST;Base Control Doctrine;Medium;M519055;x
519056;Chief of Navy;dr. Samson Pirtskhalava;36;SD;Power Projection Doctrine;Medium;M519056;x
519057;Chief of Navy;Grigol T. Robakidzhe;36;SL;Open Seas Doctrine;Medium;M519057;x
519058;Chief of Navy;Gigla Demnadzhe;36;SC;Decisive Naval Battle Doctrine;Medium;M519058;x
519059;Chief of Navy;Franz Biwer;36;NS;Indirect Approach Doctrine;Medium;M519059;x
519060;Chief of Air Force;Djaba Vepkhiadzhe;36;ST;Army Aviation Doctrine;Medium;M519060;x
519061;Chief of Air Force;dr. Samson Pirtskhalava;36;SD;Air Superiority Doctrine;Medium;M519056;x
519062;Chief of Air Force;Kote Andronikashvili;36;SL;Naval Aviation Doctrine;Medium;M519062;x
519063;Chief of Air Force;Erich von Falkenhayn;36;SC;Carpet Bombing Doctrine;Medium;M519063;x
519064;Chief of Air Force;Eduard Muhr;36;NS;Air Superiority Doctrine;Medium;M519064;x
