GER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
1;Head of State;Adolf Hitler;36;NS;Powerhungry Demagogue;High;M1;x
2;Head of Government;Rudolf Hess;36;NS;Silent Workhorse;High;M40;x
3;Foreign Minister;Constantin von Neurath;36;FA;Great Compromiser;High;M3;x
4;Minister of Armament;Werner von Blomberg;36;NS;Infantry Proponent;High;M4;x
5;Minister of Security;Wilhelm Frick;36;NS;Prince of Terror;High;M5;x
6;Head of Military Intelligence;Wilhelm Canaris;36;FA;Dismal Enigma;Medium;M6;x
7;Chief of Staff;Ludwig Beck;36;PA;School of Manoeuvre;High;M7;x
8;Chief of Army;Werner von Fritsch;36;PA;Armoured Spearhead Doctrine;High;M8;x
9;Chief of Navy;Erich Raeder;36;NS;Decisive Naval Battle Doctrine;High;M9;x
10;Chief of Air Force;Hermann Göring;36;NS;Army Aviation Doctrine;Very High;M10;x
245;Head of State;Hermann Göring;36;NS;Barking Buffoon;Very High;M10;x
246;Head of State;Joseph Goebbels;42;NS;Powerhungry Demagogue;Very High;M56;x
32;Head of State;Karl Dönitz;45;NS;Resigned Generalissimo;High;M32;x
33;Head of State;Oskar von Hindenburg;36;FA;Insignificant Layman;High;M33;x
34;Head of State;Ludwig Beck;39;FA;Resigned Generalissimo;High;M7;x
35;Head of State;Hjalmar Schacht;45;FA;Pig-headed Isolationist;High;M14;x
36;Head of State;Wilhelm II;36;PA;Weary Stiffneck;High;M36;x
37;Head of State;Wilhelm III;42;PA;Benevolent Gentleman;High;M37;x
38;Head of State;Theodor Heuss;46;SC;Die-hard Reformer;High;M38;x
39;Head of State;Ludwig Renn;36;ST;Insignificant Layman;High;M21;x
213;Head of Government;Hermann Göring;38;NS;old airmarshal;High;M10;x
41;Head of Government;Adolf Hitler;39;NS;Flamboyant Tough Guy;High;M1;x
42;Head of Government;Martin Bormann;41;NS;Silent Workhorse;High;M42;x
43;Head of Government;Albert Speer;45;NS;Corporate Suit;High;M43;x
44;Head of Government;Oskar Meissner;36;PA;Naive Optimist;High;M44;x
45;Head of Government;Ludwig Fulda;36;PA;Happy Amateur;High;M45;x
46;Head of Government;Albert Dufour-Feronce;38;PA;Flamboyant Tough Guy;High;M46;x
47;Head of Government;Franz von Papen;39;PA;Happy Amateur;High;M47;x
48;Head of Government;Carl Friedrich Goerdeler;42;PA;Happy Amateur;High;M12;x
49;Head of Government;Johann Schwerin von Krosigk;44;PA;Silent Workhorse;High;M49;x
50;Head of Government;Konrad Adenauer;46;SC;Silent Workhorse;High;M50;x
51;Head of Government;Ernst Thälmann;36;ST;Backroom Backstabber;High;M22;x
52;Head of Government;Ernst Toller;39;ST;Ambitious Union Boss;High;M25;x
53;Head of Government;Walter Ulbricht;46;ST;Backroom Backstabber;High;M53;x
55;Foreign Minister;Joachim von Ribbentrop;37;NS;Iron Fisted Brute;High;M55;x
56;Foreign Minister;Joseph Goebbels;42;NS;The Cloak N Dagger Schemer;Very High;M56;x
57;Foreign Minister;Alfred Rosenberg;43;NS;Ideological Crusader;Very High;M57;x
58;Foreign Minister;Arthur Seyss-Inquart;45;NS;Iron Fisted Brute;Very High;M58;x
59;Foreign Minister;Johann Schwerin von Krosigk;45;NS;Apologetic Clerk;Very High;M49;x
60;Foreign Minister;Ludwig Kastl;36;PA;Biased Intellectual;High;M60;x
61;Foreign Minister;Constantin von Neurath;39;PA;Great Compromiser;High;M3;x
62;Foreign Minister;Oskar Meissner;42;PA;The Cloak N Dagger Schemer;Low;M44;x
63;Foreign Minister;Johann Schwerin von Krosigk;45;PA;Apologetic Clerk;High;M49;x
64;Foreign Minister;Thomas Mann;36;PA;General Staffer;Medium;M64;x
65;Foreign Minister;Albert Dufour-Feronce;38;PA;Great Compromiser;Medium;M46;x
66;Foreign Minister;Wilhelm Waetzoldt;38;PA;Apologetic Clerk;Medium;M66;x
67;Foreign Minister;Franz von Papen;40;PA;Great Compromiser;Very High;M67;x
68;Foreign Minister;Friedrich-Werner von der Schulenberg;42;PA;Ideological Crusader;Medium;M68;x
69;Foreign Minister;Ulrich von Hassel;43;PA;The Cloak N Dagger Schemer;Medium;M13;x
70;Foreign Minister;Carl Melchior;45;PA;Ideological Crusader;Medium;M70;x
71;Foreign Minister;Theodor Heuss;46;SC;Apologetic Clerk;Very High;M38;x
72;Foreign Minister;Konrad Adenauer;47;SC;Great Compromiser;Very High;M50;x
73;Foreign Minister;Walter Ulbricht;36;ST;The Cloak N Dagger Schemer;High;M53;x
74;Foreign Minister;Helmut Herzfelde;40;ST;Ideological Crusader;High;M23;x
76;Minister of Armament;Rudolf Hess;36;NS;Strategic Air Proponent;High;M40;x
77;Minister of Armament;Hjalmar Schacht;36;NS;Administrative Genius;Medium;M14;x
78;Minister of Armament;Friedrich Flick;38;NS;laissez-faire capitalist;Medium;M78;x
79;Minister of Armament;Hermann Göring;38;NS;Air To Ground Proponent;Very High;M10;x
80;Minister of Armament;Walter Funk;39;NS;Resource Industrialist;Very High;M80;x
81;Minister of Armament;Walter Darré;39;NS;Military Entrepreneur;Very High;M81;x
82;Minister of Armament;Kurt Daluege;40;NS;Infantry Proponent;Very High;M82;x
83;Minister of Armament;Max Amann;41;NS;Battle Fleet Proponent;Very High;M83;x
84;Minister of Armament;Franz Xavier-Schwarz;36;NS;Resource Industrialist;Very High;M84;x
85;Minister of Armament;Johann Schwerin von Krosigk;36;NS;Resource Industrialist;Very High;M49;x
86;Minister of Armament;Albert Speer;42;NS;Administrative Genius;Medium;M43;x
87;Minister of Armament;Oswald Pohl;43;NS;Military Entrepreneur;High;M87;x
88;Minister of Armament;Robert Ley;36;NS;Corrupt Kleptocrat;High;M88;x
89;Minister of Armament;Karl Otto Saur;45;NS;Military Entrepreneur;High;M89;x
90;Minister of Armament;Fritz Thyssen;36;FA;laissez-faire capitalist;Medium;M90;x
91;Minister of Armament;Fritz Todt;38;FA;Resource Industrialist;High;M91;x
92;Minister of Armament;Hjalmar Schacht;39;PA;Administrative Genius;High;M14;x
93;Minister of Armament;Hans-Georg von Friedeburg;42;NS;Submarine Proponent;Very High;M93;x
94;Minister of Armament;Fritz Tornow;44;FA;Military Entrepreneur;Medium;M94;x
95;Minister of Armament;Julius Curtius;36;PA;Resource Industrialist;Medium;M95;x
96;Minister of Armament;Paul Lejeune-Jung;38;PA;Tank Proponent;Medium;M96;x
97;Minister of Armament;Alfried Krupp;39;FA;laissez-faire capitalist;Medium;M97;x
98;Minister of Armament;Georg Thomas;40;PA;Theoretical Scientist;Low;M98;x
99;Minister of Armament;Carl Friedrich Goerdeler;40;PA;Military Entrepreneur;High;M12;x
