GLD;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
551001;Head of State;Sir Arnold W. Hodgson;36;ML;Stern Imperialist;High;M551001;x
551002;Head of Government;Sir Allan C.M. Burns;36;ML;Silent Workhorse;High;M551002;x
551003;Foreign Minister;George Edwardes;36;ML;Great Compromiser;High;M551003;x
551004;Minister of Armament;Ernest McGilvery;36;ML;Submarine Proponent;Medium;M551004;x
551005;Minister of Security;William Lowdendale;36;ML;Man of the People;Medium;M551005;x
551006;Head of Military Intelligence;Clive O. Butler;36;ML;Logistics Specialist;Medium;M551006;x
551007;Chief of Staff;Clive O. Butler;36;ML;School of Psychology;Medium;M551006;x
551008;Chief of Army;Sir Charles Arden-Clarke;36;ML;Elastic Defence Doctrine;Medium;M551008;x
551009;Chief of Navy;Douglas Randall-Scott;36;ML;Power Projection Doctrine;Medium;M551009;x
551010;Chief of Air Force;Sir Charles Arden-Clarke;36;ML;Army Aviation Doctrine;Medium;M551008;x
551011;Head of State;H.H. Awedobo IX.;36;PA;Popular Figurehead;High;M551011;x
551012;Head of State;Sir Charles Arden-Clarke;36;SL;Resigned Generalissimo;High;M551012;x
551013;Head of State;Kwame Nkrumah;36;LWR;Barking Buffoon;High;M551013;x
551014;Head of Government;Hendrik Muller;36;PA;Corporate Suit;High;M551014;x
551015;Head of Government;Kwame Nkrumah;36;SL;Naive Optimist;High;M551015;x
551016;Head of Government;Josiah Akiba;36;LWR;Happy Amateur;High;M551016;x
551017;Foreign Minister;Frederick Isaac Dolphin;36;PA;General Staffer;High;M551017;x
551018;Foreign Minister;Harry Nkiwe;36;SL;Ideological Crusader;High;M551018;x
551019;Foreign Minister;Mauricius Offroye;36;LWR;Biased Intellectual;High;M551019;x
551020;Minister of Armament;Patrick McIlhaney;36;PA;Battle Fleet Proponent;Medium;M551020;x
551021;Minister of Armament;Isaac Julianson;36;SL;Tank Proponent;Medium;M551021;x
551022;Minister of Armament;Duncan J. O'Leary;36;LWR;Administrative Genius;Medium;M551022;x
551023;Minister of Security;Judah Epson;36;PA;Prince of Terror;Medium;M551023;x
551024;Minister of Security;Neville London;41;PA;Compassionate Gentleman;Medium;M551024;x
551025;Minister of Security;Junior W.K. Hartley;36;SL;Crime Fighter;Medium;M551025;x
551026;Minister of Security;Daniel Kwuma;36;LWR;Silent Lawyer;Medium;M551026;x
551027;Head of Military Intelligence;Judah Epson;36;PA;Dismal Enigma;Medium;M551023;x
551028;Head of Military Intelligence;T.R. Hatton;36;SL;Industrial Specialist;Medium;M551028;x
551029;Head of Military Intelligence;Modimba Awanka;36;LWR;Political Specialist;Medium;M551029;x
551030;Chief of Staff;Frederick Isaac Dolphin;36;PA;School of Manoeuvre;Medium;M551017;x
551031;Chief of Staff;Abel Ocran;36;SL;School of Fire Support;Medium;M551031;x
551032;Chief of Staff;Ignatius Acheampong;36;LWR;School of Defence;Medium;M551032;x
551033;Chief of Army;Clive O. Butler;36;PA;Decisive Battle Doctrine;Medium;M551006;x
551034;Chief of Army;Ignatius Acheampong;36;SL;Static Defence Doctrine;Medium;M551032;x
551035;Chief of Army;Abel Ocran;36;LWR;Static Defence Doctrine;Medium;M551031;x
551036;Chief of Navy;Frederick Isaac Dolphin;36;PA;Base Control Doctrine;Medium;M551017;x
551037;Chief of Navy;Obigjo Amedume;36;SL;Open Seas Doctrine;Medium;M551037;x
551038;Chief of Navy;Moses Kwanikwa;36;LWR;Decisive Naval Battle Doctrine;Medium;M551038;x
551039;Chief of Air Force;Clive O. Butler;36;PA;Carpet Bombing Doctrine;Medium;M551006;x
551040;Chief of Air Force;Obigjo Amedume;36;SL;Naval Aviation Doctrine;Medium;M551037;x
551041;Chief of Air Force;Junior W.K. Hartley;36;LWR;Vertical Envelopment Doctrine;Medium;M551025;x
