GRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
18001;Head of State;Georgios II;36;PA;Insignificant Layman;High;M18001;x
18002;Head of Government;Constantinos Demertzis;36;PA;Naive Optimist;NA;M18002;x
18003;Foreign Minister;Constantinos Demertzis;36;PA;Biased Intellectual;Very High;M18002;x
18004;Minister of Armament;Georgios Mantzavinos;36;PA;Military Entrepreneur;Medium;M18004;x
18005;Minister of Security;Georgios Logothetis;36;PA;Crime Fighter;Medium;M18005;x
18006;Head of Military Intelligence;Georgios Logothetis;36;PA;Dismal Enigma;Medium;M18005;x
18007;Chief of Staff;Theodor Pangalos;36;PA;School of Defence;Low;M18007;x
18008;Chief of Army;Alexandros Papagos;36;PA;Elastic Defence Doctrine;Low;M18008;x
18009;Chief of Navy;Anastassio Sakellariou;36;PA;Open Seas Doctrine;Medium;M18009;x
18010;Chief of Air Force;Eleftherios Venizelos;36;PA;Army Aviation Doctrine;Medium;M18010;x
18031;Head of State;Georgios II;36;SL;Insignificant Layman;High;M18001;x
18032;Head of State;Archbishop Damaskinos;41;SL;Barking Buffoon;High;M18032;x
18033;Head of State;Pavlos I;47;SL;Die-hard Reformer;High;M18033;x
18034;Head of State;Georgios II;36;SC;Insignificant Layman;High;M18001;x
18035;Head of State;Archbishop Damaskinos;41;SC;Barking Buffoon;High;M18032;x
18036;Head of State;Pavlos I;47;SC;Die-hard Reformer;High;M18033;x
18037;Head of State;Georgios II;36;FA;Insignificant Layman;High;M18001;x
18039;Head of State;Archbishop Damaskinos;41;PA;Barking Buffoon;High;M18032;x
18040;Head of State;Grigoriev Murnov;41;NS;Weary Stiffneck;High;M18040;x
18041;Head of State;Mario Vercellino;42;NS;Resigned Generalissimo;High;M18041;x
18042;Head of State;Reinhard Altenburg;43;NS;Autocratic Charmer;High;M18042;x
18043;Head of State;Pavlos I;47;PA;Die-hard Reformer;High;M18033;x
18044;Head of State;Giorgis Siantos;36;ST;Popular Figurehead;High;M18021;x
18045;Head of State;Nikos Zahariadis;44;ST;Autocratic Charmer;High;M18022;x
18046;Head of Government;Themistocles Sophoulis;36;SL;Flamboyant Tough Guy;High;M18014;x
18047;Head of Government;Georgios Papandreou;44;SL;Silent Workhorse;High;M18015;x
18048;Head of Government;Panagiolis Poulitsas;46;SL;Smiling Oilman;High;M18048;x
18049;Head of Government;Ioannis Metaxas;36;SC;Old General;High;M18049;x
18050;Head of Government;Alexandros Korizis;41;SC;Political Protege;High;M18050;x
