GUA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
46001;Head of State;Jorge Ubico Castaneda;36;PA;Pig-headed Isolationist;High;M46001;x
46002;Head of Government;Jorge Ubico Castaneda;36;PA;Silent Workhorse;High;M46001;x
46003;Foreign Minister;Alfredo Skinner Klee;36;PA;The Cloak N Dagger Schemer;Medium;M46003;x
46004;Minister of Armament;Guillermo Flores Arendano;36;PA;Infantry Proponent;Medium;M46004;x
46005;Minister of Security;T. Castro Dominguez;36;PA;Crooked Kleptocrat;Medium;M46005;x
46006;Head of Military Intelligence;Eduardo Villagran Ariza;36;PA;Logistics Specialist;Medium;M46006;x
46007;Chief of Staff;Federico Ponce Vaides;36;PA;School of Manoeuvre;Medium;M46007;x
46008;Chief of Army;Jorge Ubico Castaneda;36;PA;Static Defence Doctrine;High;M46001;x
46009;Chief of Navy;Tomas Mendoza Urribe;36;PA;Indirect Approach Doctrine;Medium;M46009;x
46010;Chief of Air Force;R. Buenaventure Pineda;36;PA;Army Aviation Doctrine;Medium;M46010;x
46021;Head of State;Jacopo Arbenz Guzman;44;LWR;Popular Figurehead;High;M46021;x
46022;Head of State;Juan Arevalo Bermejo;45;SD;Die-hard Reformer;High;M46022;x
46023;Head of State;Jorge Torriello Garrido;45;SL;Resigned Generalissimo;High;M46011;x
46024;Head of State;R. Buenaventure Pineda;45;SC;Resigned Generalissimo;High;M46010;x
46026;Head of State;Federico Ponce Vaides;44;PA;Barking Buffoon;High;M46007;x
46027;Head of Government;Francisco Javier Arana;44;LWR;Naive Optimist;High;M46027;x
46028;Head of Government;Juan Arevalo Bermejo;45;SD;Backroom Backstabber;High;M46022;x
46029;Head of Government;Manuel Orellana;45;SL;Smiling Oilman;High;M46012;x
46030;Head of Government;Eduardo Villagran Ariza;45;SC;Political Protege;High;M46006;x
46031;Head of Government;Manuel Arroyo;37;FA;Old Admiral;High;M46031;x
46033;Head of Government;R. Buenaventure Pineda;44;PA;old airmarshal;High;M46010;x
46034;Head of Government;Eduardo Villagran Ariza;44;PA;Happy Amateur;High;M46006;x
46035;Foreign Minister;Carlos Argumedo Salazar;44;LWR;The Cloak N Dagger Schemer;Medium;M46035;x
46036;Foreign Minister;Jorge Torriello Garrido;45;SD;General Staffer;Medium;M46011;x
46037;Foreign Minister;Enrique Muñoz Meany;46;SD;Biased Intellectual;Medium;M46037;x
46039;Foreign Minister;Francisco Javier Arana;45;SC;Iron Fisted Brute;Medium;M46027;x
46041;Foreign Minister;Carlos Argumedo Salazar;37;PA;Great Compromiser;Medium;M46035;x
46042;Minister of Armament;Juan Arevalo Bermejo;44;LWR;Resource Industrialist;Medium;M46022;x
46043;Minister of Armament;Jacopo Arbenz Guzman;45;SD;Infantry Proponent;Medium;M46021;x
46044;Minister of Armament;Diego A. Castro Arigon;46;SD;Administrative Genius;Medium;M46044;x
46045;Minister of Armament;Julio Herrera;45;SL;Resource Industrialist;Medium;M46045;x
46046;Minister of Armament;José Matos;45;SC;laissez-faire capitalist;Medium;M46014;x
46047;Minister of Armament;T. Castro Dominguez;37;PA;Corrupt Kleptocrat;Medium;M46005;x
46048;Minister of Armament;Manuel Arroyo;40;PA;Theoretical Scientist;Medium;M46031;x
46049;Minister of Armament;Federico Ponce Vaides;44;PA;Tank Proponent;Medium;M46007;x
46050;Minister of Security;Manuel Orellana;44;LWR;Crime Fighter;Medium;M46012;x
46051;Minister of Security;Manuel Valladares;45;SD;Silent Lawyer;Medium;M46015;x
46052;Minister of Security;Tomas Mendoza Urribe;45;SL;Silent Lawyer;Medium;M46009;x
46053;Minister of Security;Carlos Castillo Armas;45;SC;Silent Lawyer;Medium;M46053;x
46054;Minister of Security;Alfredo Skinner Klee;37;PA;Compassionate Gentleman;Medium;M46003;x
46055;Minister of Security;Federico Ponce Vaides;40;PA;Efficient Sociopath;Medium;M46007;x
46056;Minister of Security;R. Buenaventure Pineda;44;PA;Prince of Terror;Medium;M46010;x
46057;Head of Military Intelligence;Adrian Recinos;44;LWR;Technical Specialist;Medium;M46016;x
46058;Head of Military Intelligence;Jacopo Arbenz Guzman;47;SD;Political Specialist;Medium;M46021;x
46059;Head of Military Intelligence;Tomas Mendoza Urribe;45;SL;Naval Intelligence Specialist;Medium;M46009;x
46060;Head of Military Intelligence;Felipé Uriarte Tómas;45;SC;Logistics Specialist;Medium;M46060;x
