GUI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
537001;Head of State;Louis P. Blacher;36;SL;Powerhungry Demagogue;High;M537001;x
537002;Head of Government;Louis P. Blacher;36;SL;Political Protege;High;M537001;x
537003;Foreign Minister;Eugene Claudius-Petit;36;SL;Great Compromiser;High;M537003;x
537004;Minister of Armament;Emilienne Moreau-Evrard;36;SL;Infantry Proponent;Medium;M537004;x
537005;Minister of Security;Antoine Giacobbi;36;SL;Back Stabber;Medium;M537005;x
537006;Head of Military Intelligence;Horace Crocicchia;36;SL;Naval Intelligence Specialist;Medium;M533004;x
537007;Chief of Staff;Edouard Terrac;36;SL;School of Manoeuvre;Medium;M537007;x
537008;Chief of Army;Jean Francois Guelard;36;SL;Decisive Battle Doctrine;Medium;M537008;x
537009;Chief of Navy;Jean Brasseur-Kermadec;36;SL;Open Seas Doctrine;Medium;M537009;x
537010;Chief of Air Force;Georges Bergé;36;SL;Vertical Envelopment Doctrine;Medium;M537010;x
537011;Head of State;Antoine Giacobbi;40;SL;Popular Figurehead;High;M537005;x
537012;Head of State;Horace Crocicchia;42;SL;Weary Stiffneck;High;M533004;x
537013;Head of State;Edouard Terrac;46;SL;Resigned Generalissimo;High;M537007;x
537014;Head of Government;Antoine Giacobbi;40;SL;Happy Amateur;High;M537005;x
537015;Head of Government;Horace Crocicchia;42;SL;Naive Optimist;High;M533004;x
537016;Head of Government;Edouard Terrac;46;SL;Old General;High;M537007;x
537017;Foreign Minister;Emmanuel Temple;42;SL;Apologetic Clerk;High;M537017;x
537018;Minister of Armament;René Bouissou;41;SL;Submarine Proponent;Medium;M537018;x
537019;Minister of Armament;Keita Fodiba;43;SL;Air to Ground Proponent;Medium;M537019;x
537020;Minister of Security;Ahmad Sekou Toure;44;SL;Crime Fighter;Medium;M537020;x
537021;Head of Military Intelligence;André Mazana;39;SL;Logistics Specialist;Medium;M537021;x
537022;Chief of Staff;Pierre Delsol;42;SL;School of Fire Support;Medium;M537022;x
