GUY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
562001;Head of State;Sir Gordon J. Lethem;36;ML;Die-hard Reformer;High;M562001;x
562002;Head of Government;Sir Francis Stanley Jackson;36;ML;Happy Amateur;High;M562002;x
562003;Foreign Minister;Sir Geoffrey Stanfford Northcote;36;ML;Apologetic Clerk;High;M562003;x
562004;Minister of Armament;Sir Ralph Alnwick Grey;36;ML;Administrative Genius;Medium;M562004;x
562005;Minister of Security;Charles Campbell Woolley;36;ML;Compassionate Gentleman;Medium;M562005;x
562006;Head of Military Intelligence;Edward F. Collingwood;36;ML;Industrial Specialist;Medium;M562006;x
562007;Chief of Staff;Charles Birchwood;36;ML;School of Defence;Medium;M562007;x
562008;Chief of Army;Frederic Augustis;36;ML;Armoured Spearhead Doctrine;Medium;M562008;x
562009;Chief of Navy;H.C. Bigelow;36;ML;Indirect Approach Doctrine;Medium;M562009;x
562010;Chief of Air Force;H.F. Burnette;36;ML;Naval Aviation Doctrine;Medium;M562010;x
562011;Head of State;Severo Mallet-Prevost;36;PA;Benevolent Gentleman;High;M562011;x
562012;Head of State;Dr. Cheddi Jagan;36;LWR;Popular Figurehead;High;M562012;x
562013;Head of Government;Frederick Derecourt;36;PA;Corporate Suit;High;M562013;x
562014;Head of Government;Forbes Burnham;36;LWR;Political Protege;High;M562014;x
562015;Foreign Minister;Charles Joseph Loghie;36;PA;The Cloak N Dagger Schemer;High;M562015;x
562016;Foreign Minister;Rasleigh Jackson;36;LWR;Great Compromiser;High;M562016;x
562017;Minister of Armament;Maurice Gordon;36;PA;Resource Industrialist;Medium;M562017;x
562018;Minister of Armament;Dr. Gobinda Ganga;36;LWR;Theoretical Scientist;Medium;M562018;x
562019;Minister of Security;James Christkirk;36;PA;Crime Fighter;Medium;M562019;x
562020;Minister of Security;Lien James;40;ML;Prince of Terror;Medium;M562020;x
562021;Minister of Security;Vibert Parvathan;36;LWR;Silent Lawyer;Medium;M562021;x
562022;Head of Military Intelligence;William J. Featherstone;36;PA;Dismal Enigma;Medium;M562022;x
562023;Head of Military Intelligence;C.L.R. James;36;LWR;Political Specialist;Medium;M562023;x
562024;Chief of Staff;C.F. Drew;36;PA;School of Psychology;Medium;L1111;x
562025;Chief of Staff;Kingsley Forrester;36;LWR;School of Manoeuvre;Medium;M562025;x
562026;Chief of Army;H.F.L. Hilton-Green;36;PA;Decisive Battle Doctrine;Medium;L1164;x
562027;Chief of Army;Christopher Lobban;36;LWR;Guns and Butter Doctrine;Medium;M562027;x
562028;Chief of Navy;Henry Winslow;36;PA;Base Control Doctrine;Medium;M562028;x
562029;Chief of Navy;Thomas McGarrity;36;LWR;Power Projection Doctrine;Medium;M562029;x
562030;Chief of Air Force;Mortimer Chesswood;36;PA;Army Aviation Doctrine;Medium;M562030;x
562031;Chief of Air Force;Kyle Lightfoot;36;LWR;Air Superiority Doctrine;Medium;M562031;x
