HAI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
78001;Head of State;Stenio Vincent;36;SC;Pig-headed Isolationist;High;M78001;x
78002;Head of Government;Stenio Vincent;36;SC;Corporate Suit;High;M78001;x
78003;Foreign Minister;Albert Blanchet;36;SC;Apologetic Clerk;High;M78003;x
78004;Minister of Armament;Emilie Lescot;36;SC;Infantry Proponent;Medium;M78004;x
78005;Minister of Security;Luis Dabtes Bellegarde;36;SC;Crooked Kleptocrat;Medium;M78005;x
78006;Head of Military Intelligence;Sebastien de Arrondé;36;SC;Political Specialist;Medium;M78006;x
78007;Chief of Staff;Emilie Lescot;36;SC;School of Fire Support;Medium;M78004;x
78008;Chief of Army;Emilie Lescot;36;SC;Static Defence Doctrine;Medium;M78004;x
78009;Chief of Navy;Alfred Nemours;36;SC;Open Seas Doctrine;Medium;M78009;x
78010;Chief of Air Force;G.Edouard Roy;36;SC;Army Aviation Doctrine;Medium;M78010;x
78032;Head of State;Emilie Lescot;41;SC;Resigned Generalissimo;High;M78004;x
78033;Head of State;Louis Dejoie;46;SC;Die-hard Reformer;High;M78033;x
78034;Head of State;Dumarsais Estimé;37;SL;Popular Figurehead;High;M78034;x
78035;Head of State;Franck Lavaud;46;PA;Resigned Generalissimo;High;M78035;x
78036;Head of State;F. d'Orleans Juste Constant;37;LWR;Insignificant Layman;High;M78021;x
78037;Head of State;Demosthenes Calixte;46;LWR;Popular Figurehead;High;M78037;x
78039;Head of Government;Emilie Lescot;41;SC;Old General;High;M78004;x
78040;Head of Government;Louis Dejoie;46;SC;Backroom Backstabber;High;M78033;x
78041;Head of Government;Albert Blanchet;37;SL;Happy Amateur;High;M78003;x
78042;Head of Government;Dumarsais Estimé;41;SL;Flamboyant Tough Guy;High;M78034;x
78043;Head of Government;Paul Magloire;46;PA;Old General;High;M78043;x
78044;Head of Government;F. d'Orleans Juste Constant;37;LWR;Happy Amateur;High;M78021;x
78045;Head of Government;Daniel Fignole;46;LWR;Political Protege;High;M78045;x
78046;Foreign Minister;Georges Léger;36;SC;The Cloak N Dagger Schemer;High;M78046;x
78047;Foreign Minister;Marcel Fombrun;41;SC;Iron Fisted Brute;High;M78013;x
78048;Foreign Minister;Emilie Lescot;43;SC;General Staffer;Medium;M78004;x
78049;Foreign Minister;dr. Georges Rigaud;46;SC;Biased Intellectual;Medium;M78049;x
78050;Foreign Minister;Albert Blanchet;37;SL;Apologetic Clerk;High;M78003;x
78051;Foreign Minister;Jacques Wadestrand;41;SL;Great Compromiser;High;M78051;x
