HOL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyality;Picture Name;x
;Replacements;;;;;;;x
8001;Head of State;Wilhelmina;36;SC;Stern Imperialist;High;M8001;x
8002;Head of Government;Hendricus Colijn;36;ML;Silent Workhorse;High;M8002;x
8003;Foreign Minister;Frans B. van Blokland;36;SC;Ideological Crusader;Low;M8003;x
8004;Minister of Armament;Pieter Oud;36;ML;Submarine Proponent;Medium;M8004;x
8005;Minister of Security;Josephus H.H. van Schaik;36;ML;Silent Lawyer;High;M8005;x
8006;Head of Military Intelligence;Johan W. van Oorschot;36;SC;Dismal Enigma;Very High;M8006;x
8007;Chief of Staff;Adriaan Dijxhoorn;36;SC;School of Defence;Very High;M8007;x
8008;Chief of Army;Izaak Reynders;36;SC;Static Defence Doctrine;Very High;M8008;x
8009;Chief of Navy;Johannes Furstner;36;ML;Indirect Approach Doctrine;High;M8009;x
8010;Chief of Air Force;Marius Raaijmakers;36;ML;Air Superiority Doctrine;High;M8010;x
8037;Head of State;Wilhelmina;45;PA;Stern Imperialist;High;M8001;x
8038;Head of State;Anton Mussert;37;NS;Barking Buffoon;High;M8011;x
8040;Head of State;Benjamin Boers;37;ST;Insignificant Layman;High;M8040;x
8041;Head of State;Jan Dieters;40;ST;Autocratic Charmer;High;M8041;x
8042;Head of State;Saul de Groot;43;ST;Ruthless Powermonger;High;M8021;x
8043;Head of Government;Johan Albarda;39;SD;Happy Amateur;High;M8043;x
8044;Head of Government;Louis Beel;46;ML;Smiling Oilman;High;M8044;x
8046;Head of Government;Pieter Gerbrandy;39;ML;Flamboyant Tough Guy;High;M8046;x
8047;Head of Government;Willem Schermerhorn;45;ML;Naive Optimist;High;M8047;x
8048;Head of Government;Andries Dirk de Graaf;37;SC;Happy Amateur;High;M8048;x
8049;Head of Government;Dirk Jan de Geer;39;SC;Political Protege;High;M8049;x
8050;Head of Government;Jan de Quay;40;SC;Happy Amateur;High;M8050;x
8051;Head of Government;Meinout van Tonningen;37;NS;Backroom Backstabber;High;M8012;x
8052;Head of Government;Anton Mussert;40;NS;Ambitious Union Boss;High;M8011;x
8053;Head of Government;Graaf de Marchant et d'Ansembourg;40;PA;Flamboyant Tough Guy;High;M8013;x
8054;Head of Government;Nicolaas Beuzemaker;37;ST;Happy Amateur;High;M8054;x
8055;Head of Government;David Wijnkoop;43;ST;Naive Optimist;High;M8022;x
8056;Head of Government;Daniel Goulooze;45;ST;Smiling Oilman;High;M8025;x
8057;Foreign Minister;Servatius Baart;37;SD;Great Compromiser;Medium;M8057;x
8058;Foreign Minister;Adrianus Pelt;38;SD;Apologetic Clerk;Medium;M8058;x
8059;Foreign Minister;George van den Bergh;43;SD;Iron Fisted Brute;Medium;M8059;x
8060;Foreign Minister;Jan van Royen;46;SD;Biased Intellectual;Low;M8060;x
8061;Foreign Minister;Pim van Boetzelaer;46;ML;General Staffer;Medium;M8061;x
8062;Foreign Minister;Charles Guillaume Cramer;47;SD;The Cloak N Dagger Schemer;Very High;M8062;x
8063;Foreign Minister;Hendricus Colijn;37;ML;Ideological Crusader;Medium;M8002;x
8064;Foreign Minister;Jacobus Patijn;37;ML;Apologetic Clerk;Medium;M8064;x
8066;Foreign Minister;Andries Dirk de Graaf;36;SC;Great Compromiser;High;M8048;x
8067;Foreign Minister;Eelco van Kleffens;39;SC;Great Compromiser;Medium;M8065;x
8068;Foreign Minister;Jacobus Patijn;40;PA;Apologetic Clerk;Medium;M8064;x
