HON;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
79001;Head of State;Tiburcio Carias Andina;36;PA;Popular Figurehead;High;M79001;x
79002;Head of Government;Carlos Alberto Ucles;36;PA;Silent Workhorse;High;M79002;x
79003;Foreign Minister;Tiburcio Carias Andina;36;PA;Iron Fisted Brute;Very High;M79001;x
79004;Minister of Armament;Roberto Michelleti Bain;36;SC;laissez-faire capitalist;Medium;M79004;x
79005;Minister of Security;Carlos Alberto Ucles;36;PA;Silent Lawyer;Medium;M79002;x
79006;Head of Military Intelligence;Raimundo Stochler Garcia;36;PA;Logistics Specialist;Medium;M79006;x
79007;Chief of Staff;Tiburcio Carias Andina;36;PA;School of Psychology;Very High;M79001;x
79008;Chief of Army;Raimundo Stochler Garcia;36;PA;Static Defence Doctrine;Medium;M79006;x
79009;Chief of Navy;Carlos Vaupel Comeza;36;SC;Indirect Approach Doctrine;Medium;M79009;x
79010;Chief of Air Force;Gustavo Schmidt;36;SC;Air Superiority Doctrine;Medium;M79010;x
79031;Head of State;Tiburcio Carias Andina;37;SC;Popular Figurehead;High;M79001;x
79032;Head of State;José Zuñiga Huete;37;SL;Barking Buffoon;High;M79032;x
79033;Head of State;Juan B. Valladares;39;SL;Insignificant Layman;High;M79011;x
79034;Head of State;Raul Sanchez Banados;37;LWR;Autocratic Charmer;High;M79021;x
79036;Head of State;Orlando Rodriguez Jimino;45;SD;Die-hard Reformer;High;M79036;x
79037;Head of Government;Carlos Alberto Ucles;37;SC;Silent Workhorse;High;M79002;x
79038;Head of Government;Tiburcio Carias Andina;41;SC;Old General;High;M79001;x
79039;Head of Government;Abraham Williams Calderon;43;SC;Political Protege;High;M79039;x
79040;Head of Government;Juan Manuel Galvez;45;SC;Old General;High;M79017;x
79041;Head of Government;Juan B. Valladares;37;SL;Smiling Oilman;High;M79011;x
79042;Head of Government;Julio Lozano Díaz;45;SL;Ambitious Union Boss;High;M79042;x
79043;Head of Government;Hernan Fernandez Silva;37;LWR;Silent Workhorse;High;M79043;x
79044;Head of Government;Juan Codigo Ramirez;41;LWR;Happy Amateur;High;M79022;x
79045;Head of Government;Francisco S. Tapio Toro;45;SD;Flamboyant Tough Guy;High;M79045;x
79046;Foreign Minister;Laureano Laínez Espinoza;37;SC;Great Compromiser;High;M79046;x
79047;Foreign Minister;Julio Lozano Díaz;37;SC;Ideological Crusader;High;M79042;x
79048;Foreign Minister;Salvador Aguirre;38;SC;The Cloak N Dagger Schemer;Medium;M79048;x
79049;Foreign Minister;Silverio Laínez Villamin;44;SC;Apologetic Clerk;Medium;M79049;x
79050;Foreign Minister;Juan Manuel Galvez;46;SC;General Staffer;Medium;M79017;x
79051;Foreign Minister;Salvador Aguirre Osana;37;SL;The Cloak N Dagger Schemer;High;M79051;x
79052;Foreign Minister;Roberto Michelleti Bain;45;SL;Great Compromiser;Medium;M79004;x
79053;Foreign Minister;Jacinto Escudero Oycandadel;37;LWR;Iron Fisted Brute;Medium;M79023;x
79054;Foreign Minister;Hernan Fernandez Silva;41;SD;Great Compromiser;Medium;M79043;x
79055;Foreign Minister;Orlando Rodriguez Jimino;45;SD;Ideological Crusader;High;M79036;x
79056;Minister of Armament;Miguel A. Navarro;37;SC;Infantry Proponent;Medium;M79056;x
79057;Minister of Armament;Carlos Alberto Ucles;39;SC;Military Entrepreneur;Medium;M79002;x
79058;Minister of Armament;Rafael Alvarado Guerrero;41;SC;Corrupt Kleptocrat;Medium;M79058;x
79059;Minister of Armament;Didier Masson;42;SC;Air Superiority Proponent;Medium;M79059;x
79060;Minister of Armament;Fausto Davilá;45;SC;Resource Industrialist;Medium;M79014;x
79061;Minister of Armament;Roberto Ortíz Almendares;46;SC;Administrative Genius;Medium;M79015;x
79062;Minister of Armament;Juan Manuel Galvez;47;SC;Theoretical Scientist;Medium;M79017;x
79063;Minister of Armament;Roberto Michelleti Bain;37;SL;Resource Industrialist;Medium;M79004;x
79064;Minister of Armament;Oswaldo López Arellano;39;SL;Battle Fleet Proponent;Medium;M79064;x
79065;Minister of Armament;Juan B. Valladares;41;SL;Tank Proponent;Low;M79011;x
79066;Minister of Armament;dr. Ramon Villeda Morales;45;SL;laissez-faire capitalist;Medium;M79066;x
79067;Minister of Armament;Augustin Espinoza Reyes;37;LWR;Administrative Genius;Medium;M79024;x
79068;Minister of Armament;Misael Becker Villarroel;41;SD;Military Entrepreneur;Medium;M79068;x
79069;Minister of Armament;Carlos Molina Dejonje;45;SD;Submarine Proponent;Medium;M79069;x
79070;Minister of Armament;Jaime Herda Garcia;46;SD;laissez-faire capitalist;Medium;M79070;x
79071;Minister of Security;Miguel A. Navarro;37;SC;Crooked Kleptocrat;Medium;M79056;x
79072;Minister of Security;Rafael Alvarado Guerrero;38;SC;Back Stabber;Medium;M79058;x
79073;Minister of Security;Abraham Williams Calderon;41;SC;Prince of Terror;Medium;M79039;x
79074;Minister of Security;Roberto Ortíz Almendares;37;SL;Compassionate Gentleman;Medium;M79015;x
79075;Minister of Security;Juan Codigo Ramirez;37;LWR;Prince of Terror;Medium;M79022;x
