IDC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
543001;Head of State;H.M. Bao Dai;36;SL;Weary Stiffneck;High;M542001;x
543002;Head of Government;Ngo Dinh Diem;36;SL;Political Protege;High;M542018;x
543003;Foreign Minister;Tong Doc Phuong;36;SL;Apologetic Clerk;High;M542003;x
543004;Minister of Armament;Nguyen Van Tam;36;SL;Resource Industrialist;Medium;M542004;x
543005;Minister of Security;Ho Dac Trung;36;SL;Man of the People;Medium;M542005;x
543006;Head of Military Intelligence;Tran Gia Thoai;36;SL;Naval Intelligence Specialist;Medium;M542032;x
543007;Chief of Staff;Le Quan;36;SL;School of Fire Support;Medium;M542042;x
543008;Chief of Army;Duong Van Minh;36;SL;Armoured Spearhead Doctrine;Medium;M542046;x
543009;Chief of Navy;Nguyen Van Thinh;36;SL;Indirect Approach Doctrine;Medium;M542025;x
543010;Chief of Air Force;Nguyen Van Xuan;36;SL;Carpet Bombing Doctrine;High;M542023;x
543011;Head of State;Pol Pot;36;ST;Powerhungry Demagogue;High;M541014;x
543012;Head of State;Ho Chi Minh;36;LE;Ruthless Powermonger;High;M542012;x
543013;Head of State;H.R.H. Souphanou Vong;36;LWR;Die-hard Reformer;High;M540012;x
543014;Head of State;H.M. Sisowath Monivong;36;SD;Benevolent Gentleman;High;M541001;x
543015;Head of State;Norodom Suramarit;36;ML;Barking Buffoon;High;M541012;x
543016;Head of State;H.M. Sasiavong Vong;36;SC;Pig-headed Isolationist;High;M540001;x
543017;Head of State;Sisowath Monipong;36;PA;Popular Figurehead;High;M541003;x
543018;Head of State;H.R.H. Khai Dinh;36;FA;Stern Imperialist;High;M542011;x
543019;Head of State;H.R.H. Savang Vatana;36;NS;Autocratic Charmer;High;M540011;x
543020;Head of Government;Khieu Samphan;36;ST;Smiling Oilman;High;M541022;x
543021;Head of Government;Truong Tchin;36;LE;Backroom Backstabber;High;M542019;x
543022;Head of Government;Khambulatom Oomau;36;LWR;Happy Amateur;High;M540019;x
543023;Head of Government;H.R.H. Norodom Sihanouk;36;SD;Old Admiral;High;M541011;x
543024;Head of Government;Son Sann;36;ML;Silent Workhorse;High;M541020;x
543025;Head of Government;H.R.H. Phaya Khammao;36;SC;Corporate Suit;High;M540003;x
543026;Head of Government;Sisowath Sirik Matak;36;PA;Naive Optimist;High;M541021;x
543027;Head of Government;Ngo Dinh Diem;36;FA;Flamboyant Tough Guy;High;M542018;x
543028;Head of Government;Phetsarath Mahaouphatat;36;NS;Old General;High;M540008;x
543029;Foreign Minister;Leng Sary;36;ST;The Cloak N Dagger Schemer;High;M541027;x
543030;Foreign Minister;Pham Van Dong;36;LE;Ideological Crusader;High;M542024;x
543031;Foreign Minister;Phomvihanh Kaysone;36;LWR;Iron Fisted Brute;High;M540020;x
543032;Foreign Minister;Sisowath Monipong;36;SD;Great Compromiser;High;M541003;x
543033;Foreign Minister;Phan Sina;36;ML;Biased Intellectual;High;M541025;x
543034;Foreign Minister;Sasorith Kataydon;36;SC;The Cloak N Dagger Schemer;High;M540021;x
543035;Foreign Minister;Krisan Cheda;36;PA;General Staffer;High;M541026;x
543036;Foreign Minister;Nguyen Van Xuan;36;FA;Ideological Crusader;High;M542023;x
543037;Foreign Minister;H.R.H. Boun Oum;36;NS;Iron Fisted Brute;High;M540010;x
543038;Minister of Armament;Nuon Chea;36;ST;Corrupt Kleptocrat;Medium;M541033;x
543039;Minister of Armament;Le Duan;36;LE;Military Entrepreneur;Medium;M542030;x
543040;Minister of Armament;H.R.H. Boun Oum;36;LWR;Infantry Proponent;High;M540010;x
543041;Minister of Armament;Sisowath Monireth;36;SD;Tank Proponent;Medium;M541004;x
543042;Minister of Armament;Sam An;36;ML;Battle Fleet Proponent;Medium;M541031;x
543043;Minister of Armament;H.R.H. Souvanna Rath;36;SC;laissez-faire capitalist;High;M540009;x
543044;Minister of Armament;Norodom Phanouvong;36;PA;Submarine Proponent;Medium;M541032;x
543045;Minister of Armament;Le Van Hoac;36;FA;Theoretical Scientist;Medium;M542027;x
543046;Minister of Armament;H.R.H. Souvanna Rath;36;NS;Administrative Genius;Medium;M540009;x
543047;Minister of Security;Pol Pot;36;ST;Efficient Sociopath;Medium;M541014;x
543048;Minister of Security;The Lu;36;LE;Silent Lawyer;Medium;M542035;x
543049;Minister of Security;Phomvihanh Kaysone;36;LWR;Prince of Terror;Medium;M540029;x
543050;Minister of Security;Sisowath Youtevong;36;SD;Compassionate Gentleman;Medium;M541005;x
543051;Minister of Security;Sisowath Monirak;36;ML;Crime Fighter;High;M541023;x
543052;Minister of Security;Aphay Khou;36;SC;Crooked Kleptocrat;Medium;M540034;x
543053;Minister of Security;Sakiwat Phirun;36;PA;Efficient Sociopath;Medium;M541037;x
543054;Minister of Security;Ngo Dinh Nhu;36;FA;Silent Lawyer;Medium;M542033;x
543055;Minister of Security;Phetsarath Mahaouphatat;36;NS;Prince of Terror;Medium;M540008;x
543056;Head of Military Intelligence;Tea Banh;36;ST;Dismal Enigma;Medium;M541043;x
543057;Head of Military Intelligence;Phan Huy Quat;36;LE;Political Specialist;Medium;M542039;x
543058;Head of Military Intelligence;Khambulatom Oomau;36;LWR;Technical Specialist;Medium;M540019;x
543059;Head of Military Intelligence;Son Ngoc Thanh;36;SD;Industrial Specialist;Medium;M541006;x
543060;Head of Military Intelligence;Hy Weng;36;ML;Dismal Enigma;Medium;M541041;x
543061;Head of Military Intelligence;Savang Vong;36;SC;Political Specialist;Medium;M540037;x
543062;Head of Military Intelligence;Sisowath Youtevong;36;PA;Technical Specialist;Medium;M541005;x
543063;Head of Military Intelligence;Pham Toc Quia;36;FA;Industrial Specialist;Medium;M542038;x
543064;Head of Military Intelligence;Phousannani Kone;36;NS;Naval Intelligence Specialist;Medium;M540031;x
543065;Chief of Staff;Kieng Vang;36;ST;School of Mass Combat;Medium;M541047;x
543066;Chief of Staff;Vo Nguyen Giap;36;LE;School of Psychology;Medium;M542044;x
543067;Chief of Staff;Phichith Douangchai;36;LWR;School of Defence;Medium;M540035;x
543068;Chief of Staff;Norodom Sihanouk;36;SD;School of Manoeuvre;Medium;M541044;x
543069;Chief of Staff;Chhun Lim;36;ML;School of Mass Combat;Medium;M541045;x
543070;Chief of Staff;H.R.H. Souphanou Vong;36;SC;School of Psychology;Medium;M540041;x
543071;Chief of Staff;Sisowath Monireth;36;PA;School of Defence;Medium;M541046;x
543072;Chief of Staff;Nguyen Huu Coo;36;FA;School of Manoeuvre;Medium;M542043;x
543073;Chief of Staff;Aphay Khou;36;NS;School of Fire Support;Medium;M540034;x
543074;Chief of Army;Son Sen;36;ST;Guns and Butter Doctrine;Medium;M541051;x
543075;Chief of Army;Ho Chi Minh;36;LE;Elastic Defence Doctrine;Medium;M542047;x
543076;Chief of Army;Vang Pao;36;LWR;Static Defence Doctrine;Medium;M540038;x
543077;Chief of Army;Sisowath Monireth;36;SD;Decisive Battle Doctrine;High;M541046;x
543078;Chief of Army;Sisowath Watchayavong;36;ML;Guns and Butter Doctrine;Medium;M541049;x
543079;Chief of Army;Phetsarath Mahaouphatat;36;SC;Elastic Defence Doctrine;Medium;M540008;x
543080;Chief of Army;Lon Nol;36;PA;Static Defence Doctrine;Medium;M541035;x
543081;Chief of Army;Duong Van Minh;36;FA;Decisive Battle Doctrine;Medium;M542046;x
543082;Chief of Army;Savang Vong;36;NS;Armoured Spearhead Doctrine;Medium;M540037;x
543083;Chief of Navy;You Hok Kry;36;ST;Base Control Doctrine;Medium;M541055;x
543084;Chief of Navy;Thrang Tun Doc;36;LE;Power Projection Doctrine;Medium;M542052;x
543085;Chief of Navy;H.R.H. Souphanou Vong;36;LWR;Open Seas Doctrine;Medium;M540041;x
543086;Chief of Navy;Lon Nol;36;SD;Decisive Naval Battle Doctrine;Medium;M541035;x
543087;Chief of Navy;Hy Weng;36;ML;Base Control Doctrine;Medium;M541041;x
543088;Chief of Navy;H.R.H. Souvanna Rath;36;SC;Power Projection Doctrine;Medium;M540009;x
543089;Chief of Navy;Norodom Sihanouk;36;PA;Open Seas Doctrine;Medium;M541054;x
543090;Chief of Navy;Ho Tan Quyen;36;FA;Decisive Naval Battle Doctrine;Medium;M542051;x
543091;Chief of Navy;Aphay Khou;36;NS;Indirect Approach Doctrine;Medium;M540034;x
543092;Chief of Air Force;Proum Sokha;36;ST;Vertical Envelopment Doctrine;Medium;M541059;x
543093;Chief of Air Force;Nguyen Huu Tho;36;LE;Air Superiority Doctrine;Medium;M542055;x
543094;Chief of Air Force;Vang Pao;36;LWR;Army Aviation Doctrine;Medium;M540038;x
543095;Chief of Air Force;Chai Saing Yun;36;SD;Naval Aviation Doctrine;Medium;M541029;x
543096;Chief of Air Force;Sisowath Youtevong;36;ML;Vertical Envelopment Doctrine;High;M541005;x
543097;Chief of Air Force;H.R.H. Boun Oum;36;SC;Air Superiority Doctrine;Medium;M540010;x
543098;Chief of Air Force;Norodom Sihanouk;36;PA;Army Aviation Doctrine;Medium;M541058;x
543099;Chief of Air Force;Duong Van Minh;36;FA;Naval Aviation Doctrine;Medium;M542046;x
543100;Chief of Air Force;Sourith Sasorith;36;NS;Carpet Bombing Doctrine;Medium;M540043;x
