INO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
577001;Head of State;Wilhelmina;36;SC;Popular Figurehead;Very High;M8001;x
577002;Head of Government;Tjarda van Starkenborgh-Stachouwer;36;SC;Flamboyant Tough Guy;Very High;M577002;x
577003;Foreign Minister;Hubertus Van Mook;36;SC;Biased Intellectual;High;M577003;x
577004;Minister of Armament;Muhammad III Pontiak;36;SC;Air Superiority Proponent;Medium;M577004;x
577005;Minister of Security;Fedde Schurer;36;SC;Crime Fighter;High;M8113;x
577006;Head of Military Intelligence;Raymond Westerling;36;SC;Naval Intelligence Specialist;Medium;M577006;x
577007;Chief of Staff;Murk Boerstra;36;SC;School of Manoeuvre;Very High;L7802;x
577008;Chief of Army;Gerardus Berenschot;36;SC;Static Defence Doctrine;Very High;L7801;x
577009;Chief of Navy;Conrad Helfrich;36;SC;Base Control Doctrine;Very High;L7839;x
577010;Chief of Air Force;Ludolph van Oyen;36;SC;Army Aviation Doctrine;Very High;L7859;x
577011;Head of State;Achmed Sukarno;36;PA;Weary Stiffneck;Very High;M577011;x
577012;Head of State;Ferdinand Lumban Tobing;36;SD;Autocratic Charmer;Very High;M577012;x
577013;Head of State;Kawan Musso;36;LE;Powerhungry Demagogue;Very High;M577013;x
577014;Head of Government;Muhammad Hatta;36;PA;Political Protege;Very High;M577014;x
577015;Head of Government;Muhammad Thamrin;36;SD;Smiling Oilman;Very High;M577015;x
577016;Head of Government;Amir Sjarifuddin;36;LE;Naive Optimist;Medium;M577016;x
577017;Foreign Minister;Ahmad Subandrio;36;PA;Ideological Crusader;Medium;M577017;x
577018;Foreign Minister;Hamengkubowono IX Yopgya;43;PA;The Cloak N Dagger Schemer;Medium;M577018;x
577019;Foreign Minister;Sutan Sjahrir;36;SD;Apologetic Clerk;Low;M577019;x
577020;Foreign Minister;Sukarjo Wiryopranato;44;SD;Great Compromiser;Low;M577020;x
577021;Foreign Minister;Suryono Suripno;36;LE;Iron Fisted Brute;High;M577021;x
577022;Minister of Armament;Sjarifudin Prawiranegara;36;PA;Air to Sea Proponent;Low;M577022;x
577023;Minister of Armament;Dodechismo Djuanda;44;PA;Tank Proponent;Low;M577023;x
577024;Minister of Armament;Haj Agus Salim;45;PA;Administrative Genius;Low;M577024;x
577025;Minister of Armament;Amangwu VIII Jogarta;43;SC;Air Superiority Proponent;Medium;M577025;x
577026;Minister of Armament;Danudirjia Setiabudi;36;SD;Infantry Proponent;Low;M577026;x
