IRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
25001;Head of State;Donal Buckley;36;ML;Insignificant Layman;High;M25001;x
25002;Head of Government;Eamon de Valera;36;ML;Flamboyant Tough Guy;High;M25002;x
25003;Foreign Minister;Eamon de Valera;36;ML;Ideological Crusader;Undying;M25002;x
25004;Minister of Armament;Seán MacEntee;36;ML;laissez-faire capitalist;High;M25004;x
25005;Minister of Security;Patrick J. Ruttledge;36;ML;Silent Lawyer;High;M25005;x
25006;Head of Military Intelligence;Gerald Boland;36;ML;Political Specialist;High;M25006;x
25007;Chief of Staff;M.J. Costello;36;ML;School of Defence;High;M25007;x
25008;Chief of Army;Donal Buckley;36;ML;Elastic Defence Doctrine;High;M25001;x
25009;Chief of Navy;H.T. Green;36;ML;Base Control Doctrine;High;M25009;x
25010;Chief of Air Force;P.A. Mulcahy;36;ML;Air Superiority Doctrine;High;M25010;x
25032;Head of State;Alasdair McCabe;36;SD;Benevolent Gentleman;High;M25032;x
25033;Head of State;Seán Lemass;45;SD;Pig-headed Isolationist;High;M25033;x
25034;Head of State;Frank Fahy;36;ML;Insignificant Layman;High;M25031;x
25035;Head of State;Douglas Hyde;37;ML;Popular Figurehead;High;M25035;x
25036;Head of State;Seán T. O'Ceallaigh;44;ML;Autocratic Charmer;High;M25036;x
25037;Head of State;Frank Fahy;36;SC;Insignificant Layman;High;M25031;x
25038;Head of State;Eoin MacNeill;37;SC;Stern Imperialist;High;M25038;x
25039;Head of State;Richard Mulcahy;44;SC;Barking Buffoon;High;M25039;x
25040;Head of State;Oliver J. Flanagan;36;PA;Weary Stiffneck;High;M25011;x
25041;Head of State;Jim Larkin sr.;36;LWR;Barking Buffoon;High;M25021;x
25042;Head of Government;Thomas Johnson;36;SD;Ambitious Union Boss;High;M25042;x
25043;Head of Government;Seán Lemass;41;SD;Smiling Oilman;High;M25033;x
25044;Head of Government;William Norton;44;SD;Happy Amateur;High;M25044;x
25046;Head of Government;W.T. Cosgrave;36;SC;Silent Workhorse;High;M25046;x
25047;Head of Government;Richard Mulcahy;44;SC;Corporate Suit;High;M25039;x
25048;Head of Government;John A. Costello;47;SC;Backroom Backstabber;High;M25048;x
25049;Head of Government;Patrick Sweeney;36;FA;Happy Amateur;High;M25012;x
25050;Head of Government;James Larkin jr.;36;LWR;Political Protege;High;M25022;x
25051;Foreign Minister;Liam O'Monahan;36;SD;Great Compromiser;High;M25051;x
25052;Foreign Minister;Michael O'Rafferty;37;SD;The Cloak N Dagger Schemer;High;M25052;x
25053;Foreign Minister;Thomas Johnson;41;SD;Ideological Crusader;Very High;M25042;x
25054;Foreign Minister;William Norton;44;SD;Apologetic Clerk;High;M25044;x
25056;Foreign Minister;P.A. Mulcahy;47;ML;General Staffer;High;M25010;x
25057;Foreign Minister;W.T. Cosgrave;36;SC;Biased Intellectual;Undying;M25046;x
25058;Foreign Minister;Kevin O'Higgins;37;SC;Ideological Crusader;High;M25058;x
25059;Foreign Minister;Richard Mulcahy;41;SC;Apologetic Clerk;Undying;M25039;x
25060;Foreign Minister;John A. Costello;44;SC;Great Compromiser;High;M25048;x
25061;Foreign Minister;Sean MacBride;47;SC;Iron Fisted Brute;High;M25061;x
25062;Foreign Minister;Oliver J. Flanagan;36;PA;Biased Intellectual;Low;M25011;x
25063;Foreign Minister;Jim Larkin sr.;36;LE;Iron Fisted Brute;Low;M25021;x
25064;Foreign Minister;Bill Gannon;41;LWR;Ideological Crusader;High;M25023;x
25065;Minister of Armament;Seán Lemass;36;SD;Resource Industrialist;High;M25033;x
25066;Minister of Armament;William Gallacher;37;SD;Air Superiority Proponent;High;M25066;x
25067;Minister of Armament;Sean Murray;39;SD;Air to Ground Proponent;High;M25026;x
25068;Minister of Armament;Sean Lester;43;SD;Battle Fleet Proponent;High;M25068;x
25069;Minister of Armament;Cecil Lavery;44;SD;Administrative Genius;High;M25069;x
25070;Minister of Armament;Patrick O'Brien;47;SD;Tank Proponent;High;M25070;x
25072;Minister of Armament;Douglas Hyde;36;ML;Military Entrepreneur;High;M25035;x
25073;Minister of Armament;Seán T. O'Ceallaigh;39;ML;Military Entrepreneur;High;M25036;x
25074;Minister of Armament;Frank Aiken;44;ML;Resource Industrialist;High;M25074;x
25075;Minister of Armament;Edmund Noel Mulcahy;47;ML;Theoretical Scientist;High;M25075;x
25076;Minister of Armament;Frank McDermott;36;SC;Strategic Air Proponent;High;M25076;x
25077;Minister of Armament;John A. Costello;37;SC;Air to Ground Proponent;High;M25077;x
25078;Minister of Armament;Richard Mulcahy;39;SC;Military Entrepreneur;High;M25039;x
25079;Minister of Armament;Seán Moylan;41;SC;Infantry Proponent;High;M25079;x
25080;Minister of Armament;Patrick Lynch;42;SC;Submarine Proponent;High;M25080;x
25081;Minister of Armament;John O'Byrne;44;SC;laissez-faire capitalist;High;M25081;x
25082;Minister of Armament;Patrick McGilligan;47;SC;Resource Industrialist;High;M25082;x
25083;Minister of Armament;Donal Brackley;36;PA;Battle Fleet Proponent;High;M25014;x
25084;Minister of Armament;Eoin O'Duffy;41;FA;Infantry Proponent;High;M25018;x
25085;Minister of Armament;James Conolly;36;LWR;Administrative Genius;High;M25024;x
25086;Minister of Armament;James Larkin jr.;41;LWR;Air Superiority Proponent;Very High;M25022;x
25087;Minister of Armament;Bill Gannon;42;LE;Tank Proponent;Very Low;M25023;x
25088;Minister of Security;Alasdair McCabe;36;SD;Back Stabber;High;M25032;x
25089;Minister of Security;Jack Thomas;37;SD;Man of the People;High;M25089;x
25090;Minister of Security;James Geoghegan;41;SD;Silent Lawyer;High;M25090;x
25091;Minister of Security;Edward J. Phelan;42;SD;Prince of Terror;High;M25091;x
25092;Minister of Security;Cearbhall O'Dalaigh;44;SD;Compassionate Gentleman;High;M25092;x
25093;Minister of Security;Kevin Dixon;47;SD;Efficient Sociopath;High;M25093;x
25095;Minister of Security;Gerald Boland;39;ML;Crime Fighter;High;M25006;x
25096;Minister of Security;Eoin MacNeill;36;SC;Efficient Sociopath;High;M25038;x
25097;Minister of Security;John W. Dulanty;37;SC;Crime Fighter;High;M25097;x
25098;Minister of Security;Frank McDermott;38;SC;Man of the People;High;M25076;x
25099;Minister of Security;Ludwig Bieler;41;SC;Prince of Terror;High;M25099;x
25100;Minister of Security;Kevin Haugh;44;SC;Silent Lawyer;High;M25100;x
25101;Minister of Security;Sean MacEoin;47;SC;Compassionate Gentleman;High;M25028;x
25102;Minister of Security;Eamonn Broy;36;FA;Crime Fighter;High;M25015;x
25103;Minister of Security;Bill Scott;36;LE;Man of the People;High;M25025;x
25104;Minister of Security;Betty Sinclair;39;LE;Back Stabber;High;M25104;x
25105;Head of Military Intelligence;Denis McCullough;36;SD;Naval Intelligence Specialist;Medium;M25105;x
25106;Head of Military Intelligence;Joseph Conolly;37;SD;Political Specialist;High;M25106;x
25107;Head of Military Intelligence;Padraig O'Connor;41;SD;Industrial Specialist;High;M25107;x
25108;Head of Military Intelligence;Hugh Kennedy;47;SD;Technical Specialist;High;M25108;x
25109;Head of Military Intelligence;Frank Aiken;36;ML;Industrial Specialist;High;M25074;x
25110;Head of Military Intelligence;Dan McKenna;38;ML;Technical Specialist;High;M25110;x
25111;Head of Military Intelligence;Oscar Traynor;39;ML;Logistics Specialist;High;M25111;x
25112;Head of Military Intelligence;Jack Lynch;47;ML;Political Specialist;High;M25112;x
25113;Head of Military Intelligence;Liam Archer;36;SC;Dismal Enigma;High;M25113;x
25114;Head of Military Intelligence;Joseph Walshe;41;SC;Industrial Specialist;High;M25114;x
25115;Head of Military Intelligence;Thomas Teevan;44;SC;Naval Intelligence Specialist;High;M25115;x
25116;Head of Military Intelligence;Sean MacEoin;47;SC;Political Specialist;High;M25028;x
25117;Head of Military Intelligence;Donal Brackley;36;FA;Industrial Specialist;High;M25014;x
