ITA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
3001;Head of State;Vittorio Emmanuele III;36;FA;Weary Stiffneck;High;M3001;x
3002;Head of Government;Benito Mussolini;36;FA;Flamboyant Tough Guy;High;M3002;x
3003;Foreign Minister;Gian Galeazzo Ciano;36;FA;Ideological Crusader;Very High;M3003;x
3004;Minister of Armament;Benito Mussolini;36;FA;Resource Industrialist;Very High;M3002;x
3005;Minister of Security;Guido Buffarini-Guidi;36;FA;Man of the People;Very High;M3005;x
3006;Head of Military Intelligence;Cesare Amé;36;FA;Industrial Specialist;Very High;M3006;x
3007;Chief of Staff;Francesco Grazioli;36;FA;School of Mass Combat;Medium;M3007;x
3008;Chief of Army;Alberto Pariani;36;FA;Guns and Butter Doctrine;Medium;M3008;x
3009;Chief of Navy;Domenico Cavagnari;36;FA;Decisive Naval Battle Doctrine;Medium;M3009;x
3010;Chief of Air Force;Giuseppe Valle;36;FA;Army Aviation Doctrine;Medium;M3010;x
3031;Head of State;Vittorio Emmanuele III;43;PA;Weary Stiffneck;High;M3001;x
3033;Head of State;Vittorio Emmanuele III;36;SC;Weary Stiffneck;High;M3001;x
3034;Head of State;Benito Mussolini;43;NS;Barking Buffoon;High;M3002;x
3035;Head of State;Paolo Thaon di Revel;45;NS;Resigned Generalissimo;High;M3035;x
3036;Head of State;Umberto II;44;PA;Autocratic Charmer;High;M3011;x
3037;Head of State;Umberto II;45;SC;Autocratic Charmer;High;M3011;x
3038;Head of State;Alcide de Gasperi;46;SC;die-hard reformer;High;M3038;x
3039;Head of State;Enrico de Nicola;46;SC;Benevolent Gentleman;High;M3039;x
3040;Head of State;Enrico de Nicola;46;SL;Benevolent Gentleman;High;M3039;x
3041;Head of State;Palmiro Togliatti;36;LE;Powerhungry Demagogue;High;M3021;x
3043;Head of Government;Benito Mussolini;43;NS;Flamboyant Tough Guy;High;M3002;x
3044;Head of Government;Junio Borghese;45;NS;Political Protege;High;M3044;x
3045;Head of Government;Pietro Badoglio;43;PA;Old General;High;M3012;x
3046;Head of Government;Conde Stefano Jacini;36;SC;Happy Amateur;High;M3046;x
3047;Head of Government;Alcide de Gasperi;44;SC;Backroom Backstabber;High;M3038;x
3048;Head of Government;Ivanoe Bonomi;44;SL;Silent Workhorse;High;M3048;x
3049;Head of Government;Ferruccio Parri;45;SL;Naive Optimist;High;M3049;x
3050;Head of Government;Luigi Longo;36;LWR;Political Protege;High;M3022;x
3052;Foreign Minister;Benito Mussolini;43;NS;Ideological Crusader;Very High;M3052;x
3053;Foreign Minister;Giuseppe Bastianini;45;NS;Iron Fisted Brute;High;M3053;x
3054;Foreign Minister;Pietro Conte Acquarone;43;PA;The Cloak N Dagger Schemer;High;M3054;x
3055;Foreign Minister;Pietro Badoglio;44;PA;General Staffer;High;M3055;x
3056;Foreign Minister;Dino Grandi;45;PA;Great Compromiser;High;M3056;x
3057;Foreign Minister;Pier Federico Martinetti;36;SC;Apologetic Clerk;High;M3057;x
3058;Foreign Minister;Bernardo Attolico;43;SC;Biased Intellectual;High;M3058;x
3059;Foreign Minister;Alcide de Gasperi;45;SC;Ideological Crusader;High;M3038;x
3060;Foreign Minister;Carlo Sforza;47;SC;The Cloak N Dagger Schemer;High;M3013;x
3061;Foreign Minister;Ivanoe Bonomi;44;SL;Apologetic Clerk;High;M3048;x
3062;Foreign Minister;Pietro Nenni;45;SL;The Cloak N Dagger Schemer;High;M3062;x
3063;Foreign Minister;Palmiro Togliatti;36;LE;Ideological Crusader;High;M3021;x
3064;Minister of Armament;Federico Baistrocchi;36;FA;Infantry Proponent;High;M3064;x
3065;Minister of Armament;Alberto Pariani;37;FA;Air Superiority Proponent;High;M3008;x
3066;Minister of Armament;Ubaldo Soddu;39;FA;Military Entrepreneur;Medium;M3066;x
3067;Minister of Armament;Alfredo Guzzoni;40;FA;Submarine Proponent;Low;M3067;x
3068;Minister of Armament;Antonio Sorice;43;FA;Corrupt Kleptocrat;High;M3068;x
3070;Minister of Armament;Paolo Thaon di Revel;44;NS;Battle Fleet Proponent;Very High;M3035;x
3071;Minister of Armament;G. Imperiali de Francarillo;45;NS;Administrative Genius;High;M3071;x
3072;Minister of Armament;Romulo Paladini;47;NS;Tank Proponent;High;M3072;x
3073;Minister of Armament;Giacomo Acerbo;46;NS;Resource Industrialist;High;M3073;x
3075;Minister of Armament;Domenico Bartolini;44;PA;Theoretical Scientist;High;M3075;x
3076;Minister of Armament;Guido Jung;36;PA;Administrative Genius;High;M3076;x
3077;Minister of Armament;Alberto Theodoli;36;SC;Infantry Proponent;High;M3077;x
3078;Minister of Armament;Francesco Orestano;39;SC;Military Entrepreneur;High;M3078;x
3079;Minister of Armament;Fulberto Vivaldi;41;SC;Air to Ground Proponent;High;M3079;x
3080;Minister of Armament;Taddeo Orlando;44;SC;Theoretical Scientist;High;M3080;x
3081;Minister of Armament;Alessandro Marchese Casati;44;SL;Tank Proponent;Medium;M3081;x
3082;Minister of Armament;Manlio Brosio;46;SC;Infantry Proponent;High;M3082;x
3083;Minister of Armament;Cipriano Facchinetti;47;SC;Resource Industrialist;High;M3083;x
3084;Minister of Armament;Giovanni Ciraolo;44;SL;Administrative Genius;High;M3084;x
3085;Minister of Armament;Luigi Einaudi;45;SL;Strategic Air Proponent;High;M3085;x
3086;Minister of Armament;G. Barone Paulucci di Calboli;47;SL;laissez-faire capitalist;High;M3086;x
3087;Minister of Armament;Vittorio Vidali;36;LE;Infantry Proponent;High;M3087;x
3088;Minister of Armament;Mauro Scoccimarro;41;LE;Air to Sea Proponent;High;M3088;x
3089;Minister of Armament;Antonio Pesenti;45;LWR;Resource Industrialist;High;M3024;x
3091;Minister of Security;Umberto Albini;40;FA;Prince of Terror;High;M3091;x
3092;Minister of Security;Antonio Scuero;43;NS;Back Stabber;High;M3092;x
3093;Minister of Security;Benito Mussolini;44;NS;Man of the People;Very High;M3002;x
3094;Minister of Security;Piero Brandimarte;45;NS;Efficient Sociopath;High;M3094;x
3095;Minister of Security;Umberto Ricci;43;PA;Silent Lawyer;High;M3015;x
3096;Minister of Security;Robert Farinacci;45;PA;Back Stabber;High;M3096;x
3097;Minister of Security;Enrico de Nicola;36;SC;Man of the People;High;M3039;x
3098;Minister of Security;Conde Stefano Jacini;39;SC;Silent Lawyer;High;M3046;x
3099;Minister of Security;Alcide de Gasperi;43;SC;Compassionate Gentleman;High;M3038;x
3100;Minister of Security;Vito Reale;44;SC;Crime Fighter;High;M3100;x
3101;Minister of Security;Mario Scelba;47;SC;Back Stabber;High;M3101;x
3102;Minister of Security;Salvatore Aldisio;44;SL;Prince of Terror;High;M3102;x
3103;Minister of Security;Ivanoe Bonomi;45;SL;Efficient Sociopath;High;M3048;x
3104;Minister of Security;Ferruccio Parri;47;SL;Man of the People;High;M3049;x
3105;Minister of Security;Giuseppe Romita;36;LWR;Compassionate Gentleman;High;M3105;x
3106;Minister of Security;Palmiro Togliatti;41;LWR;Crime Fighter;High;M3021;x
3107;Minister of Security;Julian Zugazagoitia Mendieta;43;ST;Efficient Sociopath;High;M3107;x
3108;Head of Military Intelligence;Enzo Galbiati;36;FA;Political Specialist;Very High;M3108;x 
3109;Head of Military Intelligence;Dino Grandi;39;FA;Logistics Specialist;High;M3056;x
3110;Head of Military Intelligence;Alfredo de Marschio;43;FA;Dismal Enigma;Low;M3110;x 
3112;Head of Military Intelligence;Giacomo Carboni;45;NS;Industrial Specialist;Low;M3112;x 
3115;Head of Military Intelligence;Maggiorno Ferraris;36;SC;Political Specialist;Very High;M3115;x 
3116;Head of Military Intelligence;Giuseppe Pella;45;SC;Logistics Specialist;High;M3116;x
3117;Head of Military Intelligence;Ezio Vanoni;46;SC;Naval Intelligence Specialist;High;M3117;x
3118;Head of Military Intelligence;Emilio Pagliano;44;SL;Industrial Specialist;High;M3118;x
3119;Head of Military Intelligence;A. de Marinis de Ricia;46;SL;Technical Specialist;High;M3014;x
3120;Head of Military Intelligence;Guiseppe di Vittorio;36;LE;Political Specialist;High;M3120;x
3121;Head of Military Intelligence;Palmiro Togliatti;41;LE;Technical Specialist;High;M3021;x
3122;Head of Military Intelligence;Antonio Pesenti;44;LWR;Technical Specialist;High;M3024;x
3124;Chief of Staff;Ugo Cavallero;39;FA;School of Manoeuvre;High;M3124;x
3125;Chief of Staff;Pietro Badoglio;41;PA;School of Mass Combat;Medium;M3125;x
3126;Chief of Staff;Achille Starace;43;NS;School of Psychology;High;M3126;x
3127;Chief of Staff;Vito Catastini;45;NS;School of Manoeuvre;High;M3017;x
3128;Chief of Staff;Vittorio Ambrosio;43;PA;School of Psychology;Low;M3128;x
3130;Chief of Staff;Mario Cingolani;36;SC;School of Fire Support;High;M3130;x
3132;Chief of Staff;Ettore Conti;45;SC;School of Manoeuvre;High;M3132;x
3133;Chief of Staff;Randolfo Pacciardi;46;SC;School of Defence;High;M3133;x
3134;Chief of Staff;Alessandro Casati;44;SL;School of Defence;High;M3134;x
3135;Chief of Staff;Cipriano Facchinetti;45;SL;School of Mass Combat;High;M3083;x
3136;Chief of Staff;Luigi Gasparotto;47;SL;School of Manoeuvre;High;M3136;x
3137;Chief of Staff;Luigi Longo;36;LWR;School of Mass Combat;High;M3022;x
3139;Chief of Army;Rodolfo Graziani;39;FA;Decisive Battle Doctrine;Medium;M3139;x 
3140;Chief of Army;Mario Roatta;41;FA;Armoured Spearhead Doctrine;High;M3140;x
3141;Chief of Army;Junio Borghese;43;NS;Decisive Battle Doctrine;High;M3044;x
3143;Chief of Army;Vittorio Ambrosio;36;SC;Static Defence Doctrine;Low;M3128;x
3144;Chief of Army;Dionisio Ancelotti;44;SC;Guns and Butter Doctrine;High;M3144;x
3145;Chief of Army;Enrico Mattei;47;SC;Decisive Battle Doctrine;High;M3018;x
3146;Chief of Army;A. de Marinis de Ricia;44;SL;Elastic Defence Doctrine;High;M3014;x
3147;Chief of Army;Giancarlo Pajetta;36;LWR;Guns and Butter Doctrine;High;M3028;x
3149;Chief of Navy;Arturo Riccardi;40;FA;Indirect Approach Doctrine;Medium;M3149;x
3150;Chief of Navy;Paolo Thaon di Revel;43;NS;Open Seas Doctrine;Medium;M3035;x
3151;Chief of Navy;Alfredo Rocco;45;NS;Decisive Naval Battle Doctrine;Medium;M3151;x
3153;Chief of Navy;Dino Grandi;45;PA;Power Projection Doctrine;High;M3153;x
3154;Chief of Navy;Raffaele de Courten;43;SC;Open Seas Doctrine;Medium;M3019;x
3155;Chief of Navy;Allesandrino Ceresa;36;SC;Open Seas Doctrine;High;M3155;x
3157;Chief of Navy;Vittorio Scialoja;46;SL;Power Projection Doctrine;High;M3157;x
3158;Chief of Navy;Giancarlo Pajetta;36;LWR;Open Seas Doctrine;High;M3028;x
3160;Chief of Air Force;Francesco Pricolo;39;FA;Naval Aviation Doctrine;High;M3160;x
3161;Chief of Air Force;Rino Corso Fougier;41;FA;Air Superiority Doctrine;Low;M3161;x
3163;Chief of Air Force;Renato Sandalli;43;PA;Army Aviation Doctrine;High;M3020;x
3164;Chief of Air Force;Tomasso Tittoni;36;SC;Army Aviation Doctrine;High;M3164;x
3165;Chief of Air Force;Pietro Piacentini;44;SC;Naval Aviation Doctrine;High;M3165;x
3166;Chief of Air Force;Antonio Scialoja;44;SC;Vertical Envelopment Doctrine;High;M3166;x
