JAP;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;;x
5001;Head of State;Hirohito;36;PA;Stern Imperialist;High;M5001;x
5002;Head of Government;Okada Keisuke;36;PA;Happy Amateur;High;M5002;x
5003;Foreign Minister;Hirota Koki;36;PA;Great Compromiser;High;M5003;x
5004;Minister of Armament;Machida Chuji;36;SC;laissez-faire capitalist;High;M5004;x
5005;Minister of Security;Goto Fumio;36;SC;Silent Lawyer;High;M5005;x
5006;Head of Military Intelligence;Okamura Yasuji;36;PA;Political Specialist;Very Low;M5006;x
5007;Chief of Staff;Kanin Kotohito;36;PA;School of Defence;Very Low;M5007;x
5008;Chief of Army;Kanin Kotohito;36;PA;Static Defence Doctrine;Very Low;M5007;x
5009;Chief of Navy;Osumi Mineo;36;FA;Power Projection Doctrine;Very High;M5009;x
5010;Chief of Air Force;Yamamoto Isoroku;36;FA;Naval Aviation Doctrine;Very High;M5010;x
5011;Head of State;Prince Chichibu;36;PA;Ruthless Powermonger;Very High;M5207;x
5025;Head of State;Nosaka Sanzo;36;SD;Barking Buffoon;High;M5011;x
5033;Head of Government;Hayashi Senjuro;36;PA;Smiling Oilman;High;M5033;x
5034;Head of Government;Konoe Fumimaro;37;PA;Flamboyant Tough Guy;High;M5034;x
5035;Head of Government;Abe Nobuyuki;38;PA;Political Protege;High;M5035;x
5036;Head of Government;Yonai Mitsumasa;40;PA;Ambitious Union Boss;High;M5036;x
5037;Head of Government;Suzuki Kantaro;45;PA;Corporate Suit;High;M5037;x
5038;Head of Government;Higashikuni Naruhiko;45;PA;Silent Workhorse;High;M5038;x
5039;Head of Government;Terauchi Hisaichi;46;PA;Naive Optimist;High;M5039;x
5040;Head of Government;Hirota Koki;36;FA;Happy Amateur;High;M5003;x
5041;Head of Government;Hiranuma Kiichiro;39;FA;Old Admiral;High;M5041;x
5042;Head of Government;Tojo Hideki;41;FA;Old General;High;M5042;x
5043;Head of Government;Koiso Kuniaki;44;FA;Corporate Suit;High;M5043;x
5026;Head of Government;Goto Fumio;37;SD;Naive Optimist;High;M5005;x
5027;Head of Government;Katayama Tetsu;45;SD;Political Protege;High;M5027;x
5028;Head of Government;Ugaki Kazushige;36;SC;Silent Workhorse;High;M5028;x
5029;Head of Government;Suzuki Kisaburo;41;SC;Happy Amateur;High;M5029;x
5030;Head of Government;Shidehara Kijuro;45;SC;Naive Optimist;High;M5030;x
5031;Head of Government;Yoshida Shigeru;46;SC;Backroom Backstabber;High;M5031;x
5032;Head of Government;Hatoyama Ichiro;54;SC;Political Protege;High;M5032;x
5044;Head of Government;Miyamoto Kenji;36;LE;Smiling Oilman;High;M5012;x
5045;Foreign Minister;Nosako Sanzo;37;SD;The Cloak N Dagger Schemer;Low;M5011;x
5046;Foreign Minister;Ashida Hitoshi;45;SL;Apologetic Clerk;High;M5046;x
5047;Foreign Minister;Yoshizawa Kenkichi;36;SC;Ideological Crusader;High;M5047;x
5048;Foreign Minister;Okada Keisuke;36;SC;Iron Fisted Brute;High;M5002;x
5049;Foreign Minister;Suzuki Kisaburo;39;SC;The Cloak N Dagger Schemer;Medium;M5029;x
5050;Foreign Minister;Shigemitsu Mamoru;41;SC;Great Compromiser;Medium;M5050;x
5052;Foreign Minister;Yoshida Shigeru;45;SC;Apologetic Clerk;Medium;M5031;x
5053;Foreign Minister;Sato Naotake;37;PA;The Cloak N Dagger Schemer;Medium;M5053;x
5055;Foreign Minister;Ugaki Kazushige;38;PA;Biased Intellectual;Medium;M5028;x
5056;Foreign Minister;Konoe Fumimaro;38;PA;Apologetic Clerk;Medium;M5034;x
5057;Foreign Minister;Arita Hachiro;36;FA;Ideological Crusader;Medium;M5057;x
5058;Foreign Minister;Abe Nobuyuki;39;FA;Iron Fisted Brute;Medium;M5035;x
5059;Foreign Minister;Nomura Kichisaburo;39;PA;General Staffer;Medium;M5059;x
5060;Foreign Minister;Matsuoka Yosuke;40;PA;Ideological Crusader;Medium;M5060;x
5061;Foreign Minister;Toyoda Teijiro;41;PA;Iron Fisted Brute;Medium;M5061;x
5063;Foreign Minister;Hayashi Senjuro;37;PA;General Staffer;Medium;M5033;x
5065;Foreign Minister;Togo Shigenori;41;FA;Biased Intellectual;Medium;M5065;x
5066;Foreign Minister;Tani Masayuki;42;FA;Apologetic Clerk;Medium;M5066;x
5067;Foreign Minister;Shigemitsu Mamoru;43;FA;Great Compromiser;Medium;M5050;x
5068;Foreign Minister;Shiga Yoshio;36;LE;Biased Intellectual;Very Low;M5013;x
5069;Minister of Armament;Yoshino Shinji;37;SD;laissez-faire capitalist;Very High;M5069;x
5070;Minister of Armament;Mizutani Chosaburo;45;SD;Resource Industrialist;High;M5070;x
5071;Minister of Armament;Hoshijima Jiro;47;SD;Administrative Genius;Medium;M5071;x
5072;Minister of Armament;Ogawa Gotaro;36;SC;Resource Industrialist;Medium;M5072;x
5073;Minister of Armament;Godo Takuo;37;SC;Battle Fleet Proponent;Medium;M5073;x
5075;Minister of Armament;Yoshida Shigeru;41;SC;Strategic Air Proponent;Medium;M5031;x
5076;Minister of Armament;Shidehara Kijuro;43;SC;Tank Proponent;High;M5030;x
5077;Minister of Armament;Hatoyama Ichiro;44;SC;Administrative Genius;High;M5032;x
5078;Minister of Armament;Hoshijima Jiro;45;SC;Military Entrepreneur;Very High;M5071;x
5079;Minister of Armament;Ogasawara Sankuro;46;SC;laissez-faire capitalist;Medium;M5079;x
5080;Minister of Armament;Kawasaki Takukichi;36;PA;Air Superiority Proponent;Medium;M5080;x
5081;Minister of Armament;Ikeda Shigeaki;38;PA;Resource Industrialist;High;M5081;x
5082;Minister of Armament;Hatta Yoshiaki;38;PA;Military Entrepreneur;Medium;M5082;x
5083;Minister of Armament;Kobayashi Seiichi;40;PA;laissez-faire capitalist;Medium;M5083;x
5084;Minister of Armament;Fujiwara Ginjiro;41;PA;Administrative Genius;Medium;M5084;x
