JOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
556001;Head of State;H.M. Abdullah I;36;SC;Autocratic Charmer;High;M556001;x
556002;Head of Government;Tawfiq Abul-Huda;36;SC;Naive Optimist;High;M556002;x
556003;Foreign Minister;Samir al-Rifai;36;SC;Apologetic Clerk;High;M556003;x
556004;Minister of Armament;Omar Pasha Mattar;36;SC;laissez-faire capitalist;Medium;M556004;x
556005;Minister of Security;Sir Henry Cox;36;SC;Man of the People;Medium;M556005;x
556006;Head of Military Intelligence;Sir Percy Cox;36;SC;Logistics Specialist;Medium;M556006;x
556007;Chief of Staff;Sir Percy Cox;36;SC;School of Manoeuvre;Medium;M556006;x
556008;Chief of Army;H.M. Abdullah I;36;SC;Decisive Battle Doctrine;Medium;M556008;x
556009;Chief of Navy;C.G.T. Lloyd-Elford;36;SC;Decisive Naval Battle Doctrine;Medium;L1367;x
556010;Chief of Air Force;Alec Seath Kirkbride;36;SC;Army Aviation Doctrine;Medium;L1454;x
556011;Head of State;H.M. Talal I;51;ML;Benevolent Gentleman;High;M556011;x
556012;Head of State;H.H. Naif al-Hashemi;36;PA;Resigned Generalissimo;High;M556012;x
556013;Head of Government;Ismael Bey Gaspirali;36;SD;Silent Workhorse;High;M556013;x
556014;Head of Government;Sherif Husayn á Hijaz;36;PA;Smiling Oilman;High;M556014;x
556015;Foreign Minister;Said al-Mufti;36;SD;Great Compromiser;High;M556015;x
556016;Foreign Minister;Ibrahim Pasha Hasheem;36;PA;Biased Intellectual;High;M556016;x
556017;Minister of Armament;Ahmad Qadri;36;SD;Military Entrepreneur;Medium;M556017;x
556018;Minister of Armament;Suleiman al-Nabulshi;36;PA;Infantry Proponent;Medium;M556018;x
556019;Minister of Security;Alec Seath Kirkbride;39;SC;Efficient Sociopath;Medium;L1454;x
556020;Minister of Security;Awni Abdul Hadi;45;SC;Silent Lawyer;Medium;M556020;x
556021;Minister of Security;Jacob Dorval-Penney;36;SD;Back Stabber;Medium;M556021;x
556022;Minister of Security;Mohammed al-Shureiki;42;SD;Compassionate Gentleman;Medium;M556022;x
556023;Minister of Security;Shaker ben Zaid;36;PA;Crime Fighter;Medium;M556023;x
556024;Head of Military Intelligence;John Bagot Glubb;41;SC;Dismal Enigma;Medium;M556024;x
556025;Head of Military Intelligence;Rustum Haidar;36;SD;Political Specialist;Medium;M556025;x
556026;Head of Military Intelligence;Shadi al-Hakim;36;PA;Industrial Specialist;Medium;M556026;x
556027;Chief of Staff;John E. Osprey;41;SC;School of Psychology;Medium;M556027;x
556028;Chief of Staff;Haddad al-Wali;36;SD;School of Mass Combat;Medium;M556028;x
556029;Chief of Staff;Yoshua Abdel Ahti;36;PA;School of Defence;Medium;M556029;x
556030;Chief of Army;John Bagot Glubb;44;SC;Elastic Defence Doctrine;Medium;M556024;x
556031;Chief of Army;Nair al-Jafaar;36;SD;Guns and Butter Doctrine;Medium;M556031;x
556032;Chief of Army;Abdullah Mecit Pasha;36;PA;Static Defence Doctrine;Medium;M556032;x
556033;Chief of Navy;Gadi abd-el Jabbar;36;SD;Power Projection Doctrine;Medium;M556033;x
556034;Chief of Navy;Hibah abd-el Adir;36;PA;Indirect Approach Doctrine;Medium;M556034;x
556035;Chief of Air Force;Sami al-Afiz;36;SD;Vertical Envelopment Doctrine;Medium;M556035;x
556036;Chief of Air Force;Esmael al-Khaliq;36;PA;Carpet Bombing Doctrine;Medium;M556036;x
556037;Head of State;H.M. Hussein I;52;SC;Die-hard Reformer;High;M556037;x
556038;Head of Government;Ibrahim Hashim;36;SC;Happy Amateur;High;M556038;x
556039;Head of Government;Samir al-Rifai;44;SC;Silent Workhorse;High;M556003;x
556040;Head of Government;Said al-Mufti;50;SC;Political Protege;High;M556015;x
556041;Head of Government;Fawzi al-Mulqi;53;SC;Smiling Oilman;High;M556041;x
