KYG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
521001;Head of State;Igor P. Donyak;36;LE;Stern Imperialist;High;M521001;x
521002;Head of Government;Nikolai Bogolyubhov;36;LE;Corporate Suit;High;M521002;x
521003;Foreign Minister;Maksim Ammosov;36;LE;Ideological Crusader;High;M521003;x
521004;Minister of Armament;Kalina Amankulova;36;LE;Administrative Genius;Medium;M521004;x
521005;Minister of Security;Turabej Kuletov;36;LE;Man of the People;Medium;M521005;x
521006;Head of Military Intelligence;Igor N. Barakhov;36;LE;Political Specialist;Medium;M521006;x
521007;Chief of Staff;Karun Dushebaev;36;LE;School of Psychology;Medium;M521007;x
521008;Chief of Army;Mikhail V. Frunze;36;LE;Elastic Defence Doctrine;Medium;M521008;x
521009;Chief of Navy;Egor Rall;36;LE;Power Projection Doctrine;Medium;L10438;x
521010;Chief of Air Force;Tryfil Sokolov;36;LE;Air Superiority Doctrine;Medium;M521010;x
521011;Head of State;Ivan F. Sokolov;36;SD;Pig-headed Isolationist;High;M521011;x
521012;Head of State;Baten Dzhumabayev;36;ML;Autocratic Charmer;High;M521012;x
521013;Head of State;Kazym Tynystanov;36;PA;Ruthless Powermonger;High;M521013;x
521014;Head of Government;Maksim Rebrov;36;SD;Flamboyant Tough Guy;High;M521014;x
521015;Head of Government;Andrej V. Sokolov;36;ML;Happy Amateur;High;M521015;x
521016;Head of Government;Zeki Validov;36;PA;Smiling Oilman;High;M521016;x
521017;Foreign Minister;Abdukadyr Urazbekov;36;LE;General Staffer;High;M521017;x
521018;Foreign Minister;Yosip Abdrokhmanov;36;LE;Great Compromiser;High;M521018;x
521019;Foreign Minister;Nachum Sokolov;36;SD;Biased Intellectual;High;M521019;x
521020;Foreign Minister;Gulzat Everstov;36;SD;Apologetic Clerk;High;M521020;x
521021;Foreign Minister;Nazira Dauletova;36;ML;Apologetic Clerk;High;M521021;x
521022;Foreign Minister;Mukhtar Dzhangalin;36;PA;Great Compromiser;High;M521022;x
521023;Foreign Minister;Vassil Dyankonov;36;PA;Iron Fisted Brute;High;M521023;x
521024;Minister of Armament;Abdulzhatir Jildizbek;36;LE;Infantry Proponent;Medium;M521024;x
521025;Minister of Armament;Sultankul Shamurzin;36;LE;Air to Ground Proponent;Medium;M521025;x
521026;Minister of Armament;Alik Bakytuul;36;SD;Tank Proponent;Medium;M521026;x
521027;Minister of Armament;Yurij Mitrpoliskiyi;36;SD;Theoretical Scientist;Medium;M521027;x
521028;Minister of Armament;Viktor Glushkov;36;ML;Theoretical Scientist;Medium;M521028;x
521029;Minister of Armament;Sultan Bakytbek;36;ML;Air to Ground Proponent;Medium;M521029;x
521030;Minister of Armament;Adilet Rustamov;36;PA;Corrupt Kleptocrat;Medium;M521030;x
521031;Minister of Security;Aleksiyi Vagov;36;LE;Efficient Sociopath;Medium;M521031;x
521032;Minister of Security;Bayali Isakaiev;36;LE;Crime Fighter;Medium;M521032;x
521033;Minister of Security;Boris Shapurchirnikov;36;SD;Silent Lawyer;Medium;M521033;x
521034;Minister of Security;Rozhira Tshugel;36;SD;Back Stabber;Medium;M521034;x
521035;Minister of Security;Jelena Shemeleva;36;ML;Prince of Terror;Medium;M521035;x
521036;Minister of Security;Murat Salikhov;36;PA;Back Stabber;Medium;M521036;x
521037;Minister of Security;Iban Pryadezhnikov;36;PA;Prince of Terror;Medium;M521037;x
521038;Head of Military Intelligence;Mikhail Us;36;LE;Industrial Specialist;Medium;M521038;x
521039;Head of Military Intelligence;Azamat Cholponbek;36;SD;Logistics Specialist;Medium;M521039;x
521040;Head of Military Intelligence;Ibrahim Validov;36;ML;Technical Specialist;Medium;M521040;x
521041;Head of Military Intelligence;Jyrgaluul Adilet;36;ML;Logistics Specialist;Medium;M521041;x
521042;Head of Military Intelligence;Maryam Tugambajeva;36;PA;Political Specialist;Medium;M521042;x
521043;Head of Military Intelligence;Aziz Mirul;36;PA;Technical Specialist;Medium;M521043;x
521044;Chief of Staff;Isamil Abuzyarov;36;LE;School of Manoeuvre;Medium;M521044;x
521045;Chief of Staff;Ivan Rednikov;36;SD;School of Manoeuvre;Medium;M521045;x
521046;Chief of Staff;Yagur Baranov;36;ML;School of Mass Combat;Medium;M521046;x
521047;Chief of Staff;Karl von Bardolff;36;PA;School of Fire Support;Medium;M521047;x
521048;Chief of Army;Malagoza Tahabayev;36;LE;Static Defence Doctrine;Medium;M521048;x
521049;Chief of Army;Baktit Goryashenko;36;SD;Armoured Spearhead Doctrine;Medium;M521049;x
521050;Chief of Army;Evgennij Sokolov;36;ML;Elastic Defence Doctrine;Medium;M521050;x
521051;Chief of Army;Uraz Dzshandosov;36;PA;Decisive Battle Doctrine;Medium;M521051;x
521052;Chief of Navy;Asmaly Toluboyev;36;LE;Base Control Doctrine;Medium;M521052;x
521053;Chief of Navy;Gilnara Popov;36;SD;Decisive Naval Battle Doctrine;Medium;M521053;x
521054;Chief of Navy;Kuban Bakuulbek;36;ML;Base Control Doctrine;Medium;M521054;x
521055;Chief of Navy;Mihai Dratsenko;36;PA;Indirect Approach Doctrine;Medium;L500120;x
521056;Chief of Air Force;Mikhail Us;36;LE;Naval Aviation Doctrine;Medium;M521038;x
521057;Chief of Air Force;Mikhail V. Frunze;36;SD;Vertical Envelopment Doctrine;Medium;M521008;x
521058;Chief of Air Force;Pavel Shamaev;36;ML;Army Aviation Doctrine;Medium;M521058;x
521059;Chief of Air Force;Otto Langemeyer;36;PA;Carpet Bombing Doctrine;Medium;M521059;x
