LAO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
540001;Head of State;H.M. Sasiavong Vong;36;SL;Pig-headed Isolationist;High;M540001;x
540002;Head of Government;Eugene H.R. Eutrope;36;SL;Political Protege;High;M540002;x
540003;Foreign Minister;H.R.H. Phaya Khammao;36;SL;Great Compromiser;High;M540003;x
540004;Minister of Armament;Jacques Mouchel-Blaisot;36;SL;Resource Industrialist;Medium;M540004;x
540005;Minister of Security;Jacques Renouvin;36;SL;Compassionate Gentleman;Medium;M540005;x
540006;Head of Military Intelligence;Louis A.M. Brasey;36;SL;Dismal Enigma;Medium;M540006;x
540007;Chief of Staff;Adrien A.M. Roques;36;SL;School of Defence;Medium;M540007;x
540008;Chief of Army;Phetsarath Mahaouphatat;36;SL;Static Defence Doctrine;Medium;M540008;x
540009;Chief of Navy;H.R.H. Souvanna Rath;36;SL;Decisive Naval Battle Doctrine;Medium;M540009;x
540010;Chief of Air Force;H.R.H. Boun Oum;36;SL;Army Aviation Doctrine;Medium;M540010;x
540011;Head of State;H.R.H. Savang Vatana;36;PA;Autocratic Charmer;High;M540011;x
540012;Head of State;H.R.H. Souphanou Vong;36;ST;Die-hard Reformer;High;M540012;x
540013;Head of Government;Adrien A.M. Roques;40;SL;Old General;High;M540007;x
540014;Head of Government;Louis A.M. Brasey;41;SL;Ambitious Union Boss;High;M540006;x
540015;Head of Government;H.R.H. Phaya Khammao;45;SL;Corporate Suit;High;M540003;x
540016;Head of Government;H.R.H. Boun Oum;46;SL;old airmarshal;High;M540010;x
540017;Head of Government;H.R.H. Souvanna Rath;47;SL;Flamboyant Tough Guy;High;M540009;x
540018;Head of Government;Phetsarath Mahaouphatat;36;PA;Old General;High;M540008;x
540019;Head of Government;Khambulatom Oomau;36;ST;Happy Amateur;High;M540019;x
540020;Head of Government;Phomvihanh Kaysone;45;ST;Backroom Backstabber;High;M540020;x
540021;Foreign Minister;Sasorith Kataydon;42;SL;The Cloak N Dagger Schemer;High;M540021;x
540022;Foreign Minister;H.R.H. Boun Oum;36;PA;General Staffer;High;M540010;x
540023;Foreign Minister;Pierre Brossolette;36;LE;Iron Fisted Brute;High;M540023;x
540024;Minister of Armament;Leon Martinaud-Déplat;42;SL;Tank Proponent;Medium;M540024;x
540025;Minister of Armament;H.R.H. Souvanna Rath;36;PA;laissez-faire capitalist;Medium;M540009;x
540026;Minister of Armament;Jules Muracciole;36;ST;Infantry Proponent;Medium;M540026;x
540027;Minister of Security;Jacques Lecompte-Boinet;42;SL;Back Stabber;Medium;M540027;x
540028;Minister of Security;Phetsarath Mahaouphatat;36;PA;Silent Lawyer;Medium;M540008;x
540029;Minister of Security;Phomvihanh Kaysone;36;ST;Efficient Sociopath;Medium;M540029;x
540030;Head of Military Intelligence;Louis Mairet;42;SL;Logistics Specialist;Medium;M540030;x
540031;Head of Military Intelligence;Phousannani Kone;36;PA;Political Specialist;Medium;M540031;x
540032;Head of Military Intelligence;Khambulatom Oomau;36;ST;Technical Specialist;Medium;M540019;x
540033;Chief of Staff;Roger Sinaud;42;SL;School of Mass Combat;Medium;M540033;x
540034;Chief of Staff;Aphay Khou;36;PA;School of Manoeuvre;Medium;M540034;x
540035;Chief of Staff;Phichith Douangchai;36;ST;School of Psychology;Medium;M540035;x
540036;Chief of Army;Henri Adeline;43;SL;Elastic Defence Doctrine;Medium;M540036;x
540037;Chief of Army;Savang Vong;36;PA;Armoured Spearhead Doctrine;Medium;M540037;x
540038;Chief of Army;Vang Pao;36;ST;Guns and Butter Doctrine;Medium;M540038;x
540039;Chief of Navy;Maurice Bayrou;43;SL;Base Control Doctrine;Medium;M540039;x
540040;Chief of Navy;Aphay Khou;36;PA;Power Projection Doctrine;Medium;M540034;x
540041;Chief of Navy;H.R.H. Souphanou Vong;36;ST;Open Seas Doctrine;Medium;M540041;x
540042;Chief of Air Force;Pierre de Maismont;42;SL;Carpet Bombing Doctrine;Medium;M540042;x
540043;Chief of Air Force;Sourith Sasorith;36;PA;Air Superiority Doctrine;Medium;M540043;x
540044;Chief of Air Force;Vang Pao;36;ST;Vertical Envelopment Doctrine;Medium;M540038;x
