LIB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
69001;Head of State;Edwin J. Barclay;36;SC;Barking Buffoon;High;M69001;x
69002;Head of Government;Edwin J. Barclay;36;SC;Happy Amateur;High;M69001;x
69003;Foreign Minister;Clarence L. Simpson;36;SC;Ideological Crusader;Medium;M69003;x
69004;Minister of Armament;Frederic K. Nielsen;36;SC;Infantry Proponent;Medium;M69004;x
69005;Minister of Security;Henry R. Grimes;36;SC;Crooked Kleptocrat;Medium;M69005;x
69006;Head of Military Intelligence;Henry M. Robinson;36;SC;Industrial Specialist;Medium;M69006;x
69007;Chief of Staff;Benjamin O. Davis;36;SC;School of Mass Combat;Medium;M69007;x
69008;Chief of Army;Iver Virgin;36;SC;Guns and Butter Doctrine;Medium;M69008;x
69009;Chief of Navy;Reginald Brandon;36;SC;Open Seas Doctrine;Medium;M69009;x
69010;Chief of Air Force;Won Loy Chan;36;SC;Air Superiority Doctrine;Medium;M69010;x
69032;Head of State;William S. Tubman;44;SC;Ruthless Powermonger;High;M69032;x
69033;Head of State;Albert Porte;36;SL;Benevolent Gentleman;High;M69033;x
69034;Head of State;Arthur Sweetser;44;SL;Insignificant Layman;High;M69034;x
69036;Head of Government;William S. Tubman;44;SC;Silent Workhorse;High;M69032;x
69037;Head of Government;Albert Porte;36;SL;Ambitious Union Boss;High;M69033;x
69038;Head of Government;Arthur Sweetser;44;SL;Corporate Suit;High;M69034;x
69040;Foreign Minister;Gabriel L. Dennis;44;SC;Iron Fisted Brute;Medium;M69040;x
69041;Foreign Minister;Albert Porte;36;SL;Great Compromiser;Medium;M69033;x
69042;Foreign Minister;Mac DeShield;44;SL;General Staffer;Medium;M69042;x
69043;Foreign Minister;Henry R. Grimes;46;SL;Biased Intellectual;Medium;M69005;x
69045;Minister of Armament;William S. Tubman;40;SC;Corrupt Kleptocrat;Medium;M69032;x
69046;Minister of Armament;Cornelius van Oudkarspel;42;SC;Administrative Genius;Medium;M69046;x
69047;Minister of Armament;Momolo Duhuty;44;SC;laissez-faire capitalist;Medium;M69047;x
69048;Minister of Armament;Mac DeShield;36;SL;Corrupt Kleptocrat;Medium;M69042;x
69049;Minister of Armament;Arthur Sweetser;40;SL;Tank Proponent;Medium;M69034;x
69050;Minister of Armament;Henry M. Robinson;44;SL;Air to Sea Proponent;Medium;M69006;x
69052;Minister of Security;Fretus Africanus Russell;37;SC;Efficient Sociopath;Medium;M69052;x
69053;Minister of Security;Key Pittman;38;SC;Silent Lawyer;Medium;M69053;x
69054;Minister of Security;Benjamin B. Wallace;40;SC;Man of the People;Medium;M69054;x
69055;Minister of Security;Edwin J. Barclay;41;SC;Back Stabber;Medium;M69001;x
69056;Minister of Security;Ralph W. Morrison;44;SC;Crime Fighter;Medium;M69056;x
69057;Minister of Security;Cornelius van Oudkarspel;46;SC;Compassionate Gentleman;Medium;M69046;x
69058;Minister of Security;Key Pittman;36;SL;Silent Lawyer;Medium;M69053;x
69059;Minister of Security;Elliott Thurston;40;SL;Man of the People;Medium;M69059;x
69060;Minister of Security;Fretus Africanus Russell;44;SL;Efficient Sociopath;Medium;M69052;x
69062;Head of Military Intelligence;Elliott Thurston;40;SC;Political Specialist;Medium;M69059;x
69063;Head of Military Intelligence;Benjamin O'Davis;42;SC;Logistics Specialist;Medium;M69007;x
69064;Head of Military Intelligence;William Tolbert;46;SC;Technical Specialist;Medium;M69064;x
69065;Head of Military Intelligence;Cornelius van Oudkarspel;36;SL;Dismal Enigma;Medium;M69046;x
69066;Head of Military Intelligence;Benjamin O'Davis;42;SL;Logistics Specialist;Medium;M69007;x
69067;Head of Military Intelligence;Frederic E. Murphy;46;SL;Technical Specialist;Medium;M69067;x
69071;Chief of Army;Benjamin O. Davis;42;SC;Armoured Spearhead Doctrine;Medium;M69007;x
69072;Chief of Army;John  R. Fox;36;SL;Elastic Defence Doctrine;Medium;M69072;x
