LIT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
28001;Head of State;Antanas Smetona;36;FA;Weary Stiffneck;High;M28001;x
28002;Head of Government;Juozas Tubelis;36;FA;Political Protege;High;M28002;x
28003;Foreign Minister;Stasys Lozoraitis;36;FA;Ideological Crusader;Medium;M28003;x
28004;Minister of Armament;Valdemaras Vytautas-Carneckis;36;FA;Military Entrepreneur;Medium;M28004;x
28005;Minister of Security;Antanas Smetona;36;FA;Compassionate Gentleman;Medium;M28001;x
28006;Head of Military Intelligence;Dovas Zaunius;36;FA;Political Specialist;Medium;M28006;x
28007;Chief of Staff;Jonas Galvydis-Bykauskas;36;FA;School of Defence;Medium;M28007;x
28008;Chief of Army;Stasys Rastikis;36;FA;Elastic Defence Doctrine;Medium;M28008;x
28009;Chief of Navy;Garnis Dirmantas;36;FA;Open Seas Doctrine;Medium;M28009;x
28010;Chief of Air Force;Antanas Gustaitis;36;FA;Army Aviation Doctrine;Medium;M28010;x
28031;Head of State;Augustinas Voldemaras;36;NS;Powerhungry Demagogue;High;M28031;x
28032;Head of State;Kazys Skirpa;40;NS;Insignificant Layman;High;M28032;x
28033;Head of State;Theodor von Renteln;41;NS;Resigned Generalissimo;High;M28033;x
28035;Head of State;Antanas Merkys;40;PA;Benevolent Gentleman;High;M28035;x
28036;Head of State;Jonas Zemaitis;45;PA;Autocratic Charmer;High;M28036;x
28037;Head of State;Jupozas Maciusnas;36;SC;Benevolent Gentleman;High;M28011;x
28038;Head of State;Juozas Ambrazevicius;41;SC;Insignificant Layman;High;M28020;x
28039;Head of State;Anatolijus Kairys;45;SC;Die-hard Reformer;High;M28019;x
28040;Head of State;Justas Paleckis;38;ST;Insignificant Layman;High;M28021;x
28041;Head of State;Antanas Snieckus;45;ST;Die-hard Reformer;High;M28041;x
28042;Head of Government;Pranciskis Misiunas;38;NS;Happy Amateur;High;M28042;x
28043;Head of Government;Petras Kubiliunas;40;NS;Silent Workhorse;High;M28043;x
28044;Head of Government;Vladas Mironas;38;FA;Naive Optimist;High;M28044;x
28045;Head of Government;Jonas Cernius;39;FA;Ambitious Union Boss;High;M28014;x
28046;Head of Government;Antanas Merkys;39;FA;Smiling Oilman;High;M28035;x
28047;Head of Government;Dovas Zaunius;40;PA;Happy Amateur;High;M28006;x
28048;Head of Government;Kasimiras Zilenskiene;45;PA;Flamboyant Tough Guy;High;M28048;x
28049;Head of Government;Linas Brodovskis;38;SC;Backroom Backstabber;High;M28015;x
28050;Head of Government;Juozas Ambrazevicius;41;SC;Corporate Suit;High;M28020;x
28051;Head of Government;Stasys Lozoraitis;45;SC;Happy Amateur;High;M28003;x
28052;Head of Government;Justas Paleckis;38;ST;Smiling Oilman;High;M28021;x
28053;Head of Government;Vincas Kreve-Mickevicius;40;ST;Political Protege;High;M28053;x
28054;Head of Government;Antanas Snieckus;45;ST;Old Admiral;High;M28041;x
28055;Foreign Minister;Petras Domarkas;38;NS;Biased Intellectual;Medium;M28055;x
28056;Foreign Minister;Azuolas Kuschat;40;NS;Apologetic Clerk;Medium;M28056;x
28057;Foreign Minister;Petras Kubiliunas;41;NS;Ideological Crusader;Medium;M28043;x
28058;Foreign Minister;Juozas Urbsys;38;FA;Ideological Crusader;Medium;M28058;x
28059;Foreign Minister;Ernestas Galvanauskas;40;PA;Apologetic Clerk;Medium;M28059;x
28060;Foreign Minister;Antanas Merkys;41;PA;Ideological Crusader;Medium;M28035;x
28061;Foreign Minister;Karolis Vinewicz;45;PA;Iron Fisted Brute;Medium;M28061;x
28062;Foreign Minister;Giedrius Grigas;38;SC;Biased Intellectual;Medium;M28062;x
28063;Foreign Minister;Jonas Vailokaitis;40;SC;Great Compromiser;Medium;M28063;x
28064;Foreign Minister;Stasys Lozoraitis;45;SC;Apologetic Clerk;Medium;M28003;x
28065;Foreign Minister;Justas Paleckis;38;ST;Ideological Crusader;Medium;M28021;x
28066;Foreign Minister;Vincas Kreve-Mickevicius;40;ST;Biased Intellectual;Medium;M28053;x
28067;Foreign Minister;Karolis Didzilus-Grosmanas;41;ST;The Cloak N Dagger Schemer;Medium;M28067;x
28068;Foreign Minister;Mecislovas Gedvilas;45;ST;Apologetic Clerk;Medium;M28024;x
28069;Minister of Armament;Augustinas Voldemaras;38;NS;Resource Industrialist;Medium;M28031;x
28070;Minister of Armament;Vincentas Latozaite;40;NS;Strategic Air Proponent;Medium;M28070;x
28071;Minister of Armament;Petras Plechavicius;41;NS;Military Entrepreneur;Medium;M28071;x
28072;Minister of Armament;Vladas Jurgutis;38;FA;Resource Industrialist;Medium;M28072;x
28073;Minister of Armament;Antanas Smetona;39;FA;Air to Ground Proponent;Medium;M28001;x
28074;Minister of Armament;Jonas Cernius;40;PA;Battle Fleet Proponent;Medium;M28014;x
28075;Minister of Armament;Aras Abrutis;45;PA;Administrative Genius;Medium;M28075;x
28076;Minister of Armament;Juozas Purickis;38;SC;Administrative Genius;Medium;M28076;x
