MAD;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
538001;Head of State;Leon Cayla;36;SC;Resigned Generalissimo;High;M538001;x
538002;Head of Government;Leon Cayla;36;SC;Old General;High;M538001;x
538003;Foreign Minister;Pierre Jean Herbinger;36;SC;Apologetic Clerk;High;M538003;x
538004;Minister of Armament;Francois de Menthon;36;SC;Resource Industrialist;Medium;M538004;x
538005;Minister of Security;Henri Manigart;36;SC;Crime Fighter;Medium;M538005;x
538006;Head of Military Intelligence;Armand Annet;36;SC;Industrial Specialist;Medium;M538006;x
538007;Chief of Staff;Henri Amiel;36;SC;School of Manoeuvre;Medium;M538007;x
538008;Chief of Army;Henri Amiel;36;SC;Armoured Spearhead Doctrine;Medium;M538007;x
538009;Chief of Navy;Georges de Barbezière;36;SC;Base Control Doctrine;Medium;M538009;x
538010;Chief of Air Force;Max Guedj;36;SC;Naval Aviation Doctrine;Medium;M538010;x
538011;Head of State;Armand Annet;39;SL;Barking Buffoon;High;M538006;x
538012;Head of State;Paul Le Gentilhomme;40;SC;Pig-headed Isolationist;High;L24108;x
538013;Head of State;Pierre de Saint-Mart;43;SL;Die-hard Reformer;High;M535007;x
538014;Head of State;Marcel de Coppet;46;SL;Popular Figurehead;High;M538014;x
538015;Head of State;Philibert Tsiranana;36;PA;Insignificant Layman;High;M538015;x
538016;Head of Government;Armand Annet;39;SL;Political Protege;High;M538006;x
538017;Head of Government;Paul Le Gentilhomme;40;SC;Flamboyant Tough Guy;High;L24108;x
538018;Head of Government;Pierre de Saint-Mart;43;SL;Smiling Oilman;High;M535007;x
538019;Head of Government;Marcel de Coppet;46;SL;Backroom Backstabber;High;M538014;x
538020;Head of Government;Philibert Tsiranana;36;PA;Naive Optimist;High;M538015;x
538021;Foreign Minister;René Lemoine;42;SL;Great Compromiser;High;M538021;x
538022;Foreign Minister;Jean Jores Razafindrakoto;36;PA;Biased Intellectual;High;M538022;x
538023;Minister of Armament;Paul Vibert;41;SL;Submarine Proponent;Medium;M538023;x
538024;Minister of Armament;Ramilison Randriamampianina;36;PA;Tank Proponent;Medium;M538024;x
538025;Minister of Armament;Liva Raharison;43;PA;laissez-faire capitalist;Medium;M538025;x
538026;Minister of Security;Jeaqn Pierre Gabriel;43;SL;Efficient Sociopath;Medium;M538026;x
538027;Minister of Security;Eugene Rakotondramary;36;PA;Silent Lawyer;Medium;M538027;x
538028;Head of Military Intelligence;Marcel de Coppet;43;SL;Logistics Specialist;Medium;M538014;x
538029;Head of Military Intelligence;Ullmont L. James;36;PA;Dismal Enigma;Medium;M538029;x
538030;Chief of Staff;Paul Le Gentilhomme;40;SC;School of Mass Combat;Medium;L24108;x
538031;Chief of Staff;Joseph Rakotondrandria;36;PA;School of Fire Support;Medium;M538031;x
538032;Chief of Army;Pierre de Saint-Mart;42;SL;Decisive Battle Doctrine;Medium;M535007;x
538033;Chief of Army;Rafeno Fanjava;36;PA;Armoured Spearhead Doctrine;Medium;M538033;x
538034;Chief of Navy;Jean-Marie Querville;42;SL;Open Seas Doctrine;Medium;M538034;x
538035;Chief of Navy;Olivier Randrianantenaina;36;PA;Decisive Naval Battle Doctrine;Medium;M538035;x
538036;Chief of Air Force;Max Andlauer;44;SL;Carpet Bombing Doctrine;Medium;M538036;x
538037;Chief of Air Force;Solomon Rabemanoela;36;PA;Vertical Envelopment Doctrine;Medium;M538037;x
