MAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
58001;Head of State;Pu-Yi;36;FA;Popular Figurehead;High;M58001;x
58002;Head of Government;Chang Ching-hui;36;FA;Happy Amateur;High;M58002;x
58003;Foreign Minister;Chang Ching-hui;36;FA;Iron Fisted Brute;Medium;M58002;x
58004;Minister of Armament;Li Shao-keng;36;FA;Military Entrepreneur;Medium;M58004;x
58005;Minister of Security;Chin Chu-han;36;FA;Back Stabber;Medium;M58005;x
58006;Head of Military Intelligence;Kawashima Yoshiko;36;FA;Political Specialist;Medium;M58006;x
58007;Chief of Staff;Chi Hsing;36;FA;School of Defence;Medium;M58007;x
58008;Chief of Army;Chi Hsing;36;FA;Static Defence Doctrine;Medium;M58007;x
58009;Chief of Navy;Sergei Ramilcheff;36;FA;Indirect Approach Doctrine;Medium;M58009;x
58010;Chief of Air Force;Yokoyama Masayuki;36;FA;Vertical Envelopment Doctrine;Medium;M58010;x
58012;Head of State;Pu-Yi;41;NS;Popular Figurehead;High;M58001;x
58013;Head of State;Pu-Yi;45;PA;Popular Figurehead;High;M58001;x
58014;Head of Government;Liou Tcheng-fou;37;FA;Naive Optimist;High;M58014;x
58015;Head of Government;Wei Cheng-chen;38;FA;Old General;High;M58015;x
58016;Head of Government;Adatchi Mineichiro;41;NS;Silent Workhorse;High;M58016;x
58017;Head of Government;Matsuyama Shinjiro;43;NS;Happy Amateur;High;M58017;x
58018;Head of Government;Nitobe Inazo;44;NS;old airmarshal;High;M58018;x
58019;Head of Government;Loh Tcheng;45;PA;Happy Amateur;High;M58019;x
58020;Head of Government;Chao Hsin-chu;46;PA;Political Protege;High;M58020;x
58021;Foreign Minister;Tsai Yun-sheng;37;FA;Ideological Crusader;Medium;M58021;x
58022;Foreign Minister;Pei Tsu-yee;38;FA;Great Compromiser;Medium;M58022;x
58023;Foreign Minister;Iida Kusuo;41;NS;Iron Fisted Brute;Medium;M58023;x
58024;Foreign Minister;Nagai Matsuzo;43;NS;Ideological Crusader;Medium;M58024;x
58025;Foreign Minister;Li Shao-keng;44;NS;Biased Intellectual;Medium;M58004;x
58026;Foreign Minister;Oei Hui-lan;45;PA;The Cloak N Dagger Schemer;Very Low;M58026;x
58027;Foreign Minister;Pu-Yi;46;PA;Great Compromiser;Very High;M58001;x
58028;Minister of Armament;Liou Tcheng-fou;37;FA;Battle Fleet Proponent;Medium;M58014;x
58029;Minister of Armament;Ishiguro Shiro;38;FA;Submarine Proponent;Medium;M58029;x
58030;Minister of Armament;Tsushima Juichi;41;NS;laissez-faire capitalist;Medium;M58030;x
58031;Minister of Armament;Ishii Kikijuro;43;NS;Strategic Air Proponent;Medium;M58031;x
58032;Minister of Armament;Megata Toshiro;44;NS;Air to Ground Proponent;Medium;M58032;x
58033;Minister of Armament;Kyuin Wellington Koo;45;PA;Corrupt Kleptocrat;Very Low;M58033;x
58034;Minister of Armament;Lo Tsang-yin;46;PA;Administrative Genius;Very High;M58034;x
58036;Minister of Security;Soume Tcheng;38;FA;Crime Fighter;Medium;M58036;x
58037;Minister of Security;Adatchi Mineichiro;41;NS;Prince of Terror;Low;M58016;x
58038;Minister of Security;Hayashi Gonsuke;43;NS;Crime Fighter;Low;M58038;x
58039;Minister of Security;Nitobe Inazo;44;NS;Efficient Sociopath;Low;M58018;x
58040;Minister of Security;Tang Tsai-fou;45;PA;Crooked Kleptocrat;Very Low;M58040;x
58041;Minister of Security;Chao Chu-wu;46;PA;Man of the People;Very High;M58041;x
58042;Head of Military Intelligence;Wang Chung-hui;37;FA;Naval Intelligence Specialist;Medium;M58042;x
58043;Head of Military Intelligence;Wei Cheng-chen;38;FA;Dismal Enigma;High;M58015;x
58044;Head of Military Intelligence;Saito Hiroshi;41;NS;Logistics Specialist;High;M58044;x
58045;Head of Military Intelligence;Matsuyama Shinjiro;43;NS;Industrial Specialist;Medium;M58017;x
58046;Head of Military Intelligence;Fukai Eigo;44;NS;Dismal Enigma;Medium;M58046;x
58047;Head of Military Intelligence;Lan Fang-mei;45;PA;Naval Intelligence Specialist;Very Low;M58047;x
58048;Head of Military Intelligence;Chang Su-lee;46;PA;Industrial Specialist;Very High;M58048;x
58049;Chief of Staff;Hsing Shi-lien;37;FA;School of Psychology;Medium;M58049;x
58050;Chief of Staff;Kawashima Yoshiko;38;FA;School of Mass Combat;Medium;M58006;x
58051;Chief of Staff;Nakajima Kesago;41;NS;School of Defence;Medium;M58051;x
58052;Chief of Staff;Isogai Ryozhi;43;NS;School of Psychology;Medium;M58052;x
58053;Chief of Staff;Igor Chernokoff;45;PA;School of Defence;Very Low;M58053;x
58054;Chief of Staff;Chao Chiu-hang;46;PA;School of Mass Combat;Very High;M58054;x
58055;Chief of Army;Hsing Shi-lien;37;FA;Elastic Defence Doctrine;Medium;M58049;x
58056;Chief of Army;Kawashima Yoshiko;38;FA;Guns and Butter Doctrine;Medium;M58006;x
58057;Chief of Army;Nakajima Kesago;41;NS;Elastic Defence Doctrine;Medium;M58051;x
58058;Chief of Army;Isogai Ryozhi;43;NS;Guns and Butter Doctrine;Medium;M58052;x
58059;Chief of Army;Manfred von Tscherwelen;45;PA;Armoured Spearhead Doctrine;Very Low;M58059;x
58060;Chief of Army;Pu-Yi;46;PA;Guns and Butter Doctrine;Very High;M58001;x
58061;Chief of Navy;Jizu Hosonoya;37;FA;Decisive Naval Battle Doctrine;Medium;M58061;x
58062;Chief of Navy;Yin Tsuo-chien;38;FA;Base Control Doctrine;Medium;M58062;x
58063;Chief of Navy;Oka Keijun;41;NS;Indirect Approach Doctrine;Medium;M58063;x
58064;Chief of Navy;Oda Yurozu;43;NS;Base Control Doctrine;Medium;M58064;x
58065;Chief of Navy;Kadono Chokuro;44;NS;Power Projection Doctrine;Medium;M58065;x
58066;Chief of Navy;Tai Chi-Quo;45;PA;Power Projection Doctrine;Very Low;M58066;x
58067;Chief of Navy;Chao Hsin-chu;46;PA;Open Seas Doctrine;Very High;M58020;x
58068;Chief of Air Force;Isono Yuzo;37;FA;Air Superiority Doctrine;Medium;M58068;x
58069;Chief of Air Force;Nakajima Shinji;38;FA;Naval Aviation Doctrine;Medium;M58069;x
58070;Chief of Air Force;Miyazaki Akira;41;NS;Army Aviation Doctrine;Medium;M58070;x
58071;Chief of Air Force;Ito Nobumi;43;NS;Carpet Bombing Doctrine;Medium;M58071;x
58072;Chief of Air Force;Kadono Chokuro;44;NS;Air Superiority Doctrine;Medium;M58065;x
58073;Chief of Air Force;Loh Tcheng;45;PA;Naval Aviation Doctrine;Very Low;M58019;x
58074;Chief of Air Force;Tsao Ping-sen;46;PA;Army Aviation Doctrine;Very High;M58074;x
