MEX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
36001;Head of State;Lázaro Cárdenas;36;SD;Autocratic Charmer;High;M36001;x
36002;Head of Government;Lázaro Cárdenas;36;SD;Flamboyant Tough Guy;High;M36001;x
36003;Foreign Minister;Eduardo Hay;36;SD;Great Compromiser;Medium;M36003;x
36004;Minister of Armament;Enrique Estrada Reynoso;36;SD;Infantry Proponent;High;M36004;x
36005;Minister of Security;Francisco U. Benavides;36;SD;Man of the People;Medium;M36005;x
36006;Head of Military Intelligence;Plutarco E.Calles;36;SD;Political Specialist;Medium;M36006;x
36007;Chief of Staff;Benjamin G. Hill;36;SD;School of Defence;Very High;M36007;x
36008;Chief of Army;Pablo Quiroga Escamillo;36;SD;Static Defence Doctrine;Medium;M36008;x
36009;Chief of Navy;Hector Meixueiro;36;SD;Open Seas Doctrine;Medium;M36009;x
36010;Chief of Air Force;Gustavo Salinas Camina;36;SD;Air Superiority Doctrine;Medium;M36010;x
36032;Head of State;Manuel Avila Camacho;40;SD;Stern Imperialist;High;M36032;x
36033;Head of State;Miguel Aleman Valdes;46;SD;Benevolent Gentleman;High;M36033;x
36034;Head of State;Manuel M. Marquez;40;SC;Insignificant Layman;High;M36034;x
36035;Head of State;Luis Bustamanté Benítez;46;SC;Powerhungry Demagogue;High;M36035;x
36036;Head of State;Pino G. Calles;40;PA;Resigned Generalissimo;High;M36011;x
36037;Head of State;Juan Andrew Almazan;46;PA;Popular Figurehead;High;M36014;x
36038;Head of State;Vicente Lombardo Toledano;40;LE;Barking Buffoon;High;M36021;x
36039;Head of State;Procopio Herrera;46;LE;Die-hard Reformer;High;M36025;x
36041;Head of Government;Manuel Avila Camacho;40;SD;Corporate Suit;High;M36032;x
36042;Head of Government;Miguel Aleman Valdes;46;SD;Smiling Oilman;High;M36033;x
36043;Head of Government;Manuel M. Marquez;40;SC;Old General;High;M36034;x
36044;Head of Government;Luis Bustamanté Benítez;46;SC;Silent Workhorse;High;M36035;x
36045;Head of Government;Luis G. Quintana;40;FA;Political Protege;High;M36012;x
36046;Head of Government;Juan Andrew Almazan;46;PA;Happy Amateur;High;M36014;x
36047;Head of Government;Vicente Lombardo Toledano;40;LE;Happy Amateur;High;M36021;x
36048;Head of Government;Procopio Herrera;46;LE;Naive Optimist;High;M36025;x
36050;Foreign Minister;Ezequiel Padilla Peñaloza;40;SD;Iron Fisted Brute;Medium;M36050;x
36051;Foreign Minister;Francisco Castillo Najera;45;SD;General Staffer;Medium;M36051;x
36052;Foreign Minister;Jaime Torres Bodet;46;SD;Apologetic Clerk;Medium;M36052;x
36053;Foreign Minister;Alesso Melecio;40;SC;Biased Intellectual;Medium;M36053;x
36054;Foreign Minister;Juan Andreu Alamaza;44;SC;Great Compromiser;Medium;M36054;x
36055;Foreign Minister;Juan G. Lascaran;46;SC;Apologetic Clerk;Medium;M36055;x
36056;Foreign Minister;Pino G. Calles;40;PA;Biased Intellectual;Very Low;M36011;x
36057;Foreign Minister;Francisco R. Serrano;46;PA;General Staffer;Medium;M36057;x
36058;Foreign Minister;Mariano Ponton;40;LE;The Cloak N Dagger Schemer;Very High;M36023;x
36059;Foreign Minister;Vicente Lombardo Toledano;43;LE;Biased Intellectual;Very Low;M36021;x
36060;Foreign Minister;Manuel C. Tellez;46;LE;Apologetic Clerk;Medium;M36060;x
36061;Minister of Armament;Emilio Portes Gil;38;SD;Submarine Proponent;Medium;M36061;x
36062;Minister of Armament;Rioberto G. Maqueo;40;SD;Battle Fleet Proponent;Medium;M36062;x
36063;Minister of Armament;Jose Manuel Puig;42;SD;Theoretical Scientist;Medium;M36063;x
36064;Minister of Armament;Antonio Castro Leal;44;SD;Tank Proponent;Medium;M36064;x
36065;Minister of Armament;Adolfo Ruiz Cortines;46;SD;Administrative Genius;Medium;M36065;x
36066;Minister of Armament;Francisco R. Serrano;40;SC;Resource Industrialist;Medium;M36057;x
36067;Minister of Armament;Florentino Santana;46;SC;laissez-faire capitalist;Medium;M36067;x
36068;Minister of Armament;Juan Andrew Almazan;40;FA;Corrupt Kleptocrat;Medium;M36014;x
36069;Minister of Armament;Manuel M. Marquez;43;PA;laissez-faire capitalist;Medium;M36034;x
36070;Minister of Armament;Luis G. Quintana;46;PA;Military Entrepreneur;Low;M36012;x
36071;Minister of Armament;Dolores Santapiavo;40;LE;Air to Ground Proponent;Medium;M36071;x
36072;Minister of Armament;Francisco I. Casian;43;LE;Administrative Genius;Medium;M36024;x
36073;Minister of Security;Andres F. Figueroa;38;SD;Crime Fighter;Medium;M36073;x
36074;Minister of Security;Genaro Estrada;40;SD;Prince of Terror;High;M36074;x
36075;Minister of Security;Joaquin Amaro Dominguez;42;SD;Back Stabber;Very High;M36075;x
36076;Minister of Security;Miguel Aleman Valdes;43;SD;Man of the People;High;M36033;x
36077;Minister of Security;Adolfo Ruiz Cortines;45;SD;Silent Lawyer;Medium;M36065;x
36078;Minister of Security;Manuel Tello Baurraud;46;SD;Compassionate Gentleman;Medium;M36078;x
36079;Minister of Security;Enrique C. del Rio;40;SC;Compassionate Gentleman;Medium;M36017;x
36080;Minister of Security;Manuel Gomez Marin;46;SC;Man of the People;Medium;M36080;x
36081;Minister of Security;Juan Andrew Almazan;40;FA;Crooked Kleptocrat;Medium;M36014;x
36082;Minister of Security;Felix Maragaño Flores;43;FA;Back Stabber;Medium;M36082;x
36083;Minister of Security;Pedro Peña Cavazos;46;PA;Man of the People;Medium;M36083;x
36084;Minister of Security;Procopio Herrera;40;LE;Efficient Sociopath;Very High;M36025;x
36085;Minister of Security;Mariano Ponton;46;LE;Back Stabber;Very Low;M36023;x
36086;Head of Military Intelligence;Lázaro Cárdenas;38;SD;Naval Intelligence Specialist;High;M36001;x
36087;Head of Military Intelligence;Manuel Avila Camacho;40;SD;Political Specialist;High;M36087;x
36088;Head of Military Intelligence;Enrique Estrada Reynoso;46;SD;Dismal Enigma;High;M36004;x
36089;Head of Military Intelligence;Juan Andreu Alamaza;40;SC;Logistics Specialist;Medium;M36054;x
36090;Head of Military Intelligence;Luis Bustamanté Benítez;46;SC;Naval Intelligence Specialist;High;M36035;x
36091;Head of Military Intelligence;Victor Muñoz Cardenas;40;PA;Industrial Specialist;Medium;M36091;x
36092;Head of Military Intelligence;Jesus Garza Siller;46;PA;Logistics Specialist;Medium;M36016;x
36093;Head of Military Intelligence;Manuel Palafox;40;LE;Dismal Enigma;Low;M36026;x
36094;Head of Military Intelligence;Miguel Colazzo;46;LE;Political Specialist;Low;M36094;x
36095;Chief of Staff;Pablo Quiroga Escamillo;36;SD;School of Mass Combat;Medium;M36008;x
36096;Chief of Staff;Gustavo Salinas Camina;40;SD;School of Defence;Medium;M36010;x
36098;Chief of Staff;Hector Meixueiro;40;SC;School of Manoeuvre;Medium;M36009;x
36100;Chief of Staff;Jesús Ballestreros Miranda;40;FA;School of Manoeuvre;Low;M36100;x
36101;Chief of Staff;Enrique  C. del Rio;46;PA;School of Psychology;Low;M36017;x
36102;Chief of Staff;Augustín Mendoza Caïs;40;LE;School of Defence;High;M36102;x
36103;Chief of Staff;Manuel Palafox;46;LE;School of Fire Support;Low;M36026;x
36104;Chief of Army;Pablo M. Valenzuela;38;SD;Elastic Defence Doctrine;Medium;M36104;x
36105;Chief of Army;Francisco U. Benavides;40;SD;Armoured Spearhead Doctrine;Medium;M36005;x
36107;Chief of Army;Gilberto Limon Marquez;40;SC;Static Defence Doctrine;Medium;M36106;x
36109;Chief of Army;Plutarco E. Calles;40;PA;Static Defence Doctrine;Low;M36006;x
36110;Chief of Army;Cesar Parada Henriques;46;PA;Elastic Defence Doctrine;Medium;M36110;x
36111;Chief of Army;Matias Santos Ramos;40;LE;Guns and Butter Doctrine;Medium;M36028;x
36112;Chief of Army;Miguel Colazzo;46;LE;Armoured Spearhead Doctrine;High;M36094;x
36113;Chief of Navy;Heriberto Jara Corona;38;SD;Base Control Doctrine;High;M36029;x
36114;Chief of Navy;Vazquez del Mercado;46;SD;Power Projection Doctrine;High;M36114;x
36115;Chief of Navy;Enrique Panizio Vargas;40;SC;Open Seas Doctrine;High;M36115;x
36116;Chief of Navy;Victor Tapia Briones;40;PA;Open Seas Doctrine;Low;M36116;x
36117;Chief of Navy;Luis Hiram Toledo;46;PA;Open Seas Doctrine;Low;M36019;x
36119;Chief of Air Force;Alberto Salinas Carraza;38;SD;Army Aviation Doctrine;Medium;M36119;x
36121;Chief of Air Force;Enrique Panizio Vargas;40;SC;Vertical Envelopment Doctrine;High;M36115;x
36122;Chief of Air Force;Efrain Rodriguez Berrios;40;FA;Air Superiority Doctrine;Medium;M36122;x
36123;Chief of Air Force;Julio Hernandez Garcia;46;PA;Carpet Bombing Doctrine;Medium;M36123;x
36124;Chief of Air Force;Agustin Olachea Aviles;40;LE;Vertical Envelopment Doctrine;Medium;M36030;x
36020;Chief of Air Force;Jesus Garza Siller;36;FA;Carpet Bombing Doctrine;Medium;M36016;x
36125;Head of State;Adolfo Ruiz Cortines;52;SD;Insignificant Layman;High;M36065;x
36126;Head of State;Florentino Santana;52;SC;Barking Buffoon;High;M36067;x
36127;Head of Government;Adolfo Ruiz Cortines;52;SD;Political Protege;High;M36065;x
36128;Head of Government;Florentino Santana;52;SC;Smiling Oilman;High;M36067;x
36129;Foreign Minister;Luis Padilla Nervo;52;SD;Iron Fisted Brute;Medium;M36129;x
36130;Foreign Minister;Luis Bustamanté Benítez;52;SC;General Staffer;Medium;M36035;x
36131;Minister of Armament;Manuel Tello Baurraud;52;SD;Military Entrepreneur;Medium;M36131;x
36132;Minister of Armament;Antonio Gomez Robledo;52;SC;Battle Fleet Proponent;Medium;M36132;x
36133;Minister of Security;Orson Juarez Brown;52;SD;Crime Fighter;Medium;M36133;x
