MOZ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
569001;Head of State;José Pereira Cabral;36;PA;Resigned Generalissimo;High;M569001;x
569002;Head of Government;José Nunes de Oliveira;36;PA;old airmarshal;High;M569002;x
569003;Foreign Minister;Louis de Sousa é Vasconcelos;36;PA;General Staffer;High;M569003;x
569004;Minister of Armament;Augusto Nunes Diaz;36;PA;Military Entrepreneur;Medium;M569004;x
569005;Minister of Security;Joao Tristao de Bettencourt;36;PA;Prince of Terror;Medium;M569005;x
569006;Head of Military Intelligence;Antonio Conceicao Neves;36;PA;Naval Intelligence Specialist;Medium;M569006;x
569007;Chief of Staff;Louis de Sousa é Vasconcelos;36;PA;School of Psychology;Medium;M569003;x
569008;Chief of Army;Joao Martins de Carvalho;36;PA;Guns and Butter Doctrine;Medium;M569008;x
569009;Chief of Navy;Tomas Garcia Rosado;36;PA;Power Projection Doctrine;Medium;M569009;x
569010;Chief of Air Force;José de Sá Aruajo;36;PA;Air Superiority Doctrine;Medium;M569010;x
569011;Head of State;Henrique Nunes Garcia;36;SL;Benevolent Gentleman;High;M569011;x
569012;Head of State;Sebastiao Cabral Funchal;36;LWR;Powerhungry Demagogue;High;M569012;x
569013;Head of Government;José Zaluar Nunes;36;SL;Political Protege;High;M569013;x
569014;Head of Government;José Barollo Rodrigues;36;LWR;Naive Optimist;High;M569014;x
569015;Foreign Minister;Joao Reis é Canto;36;SL;Ideological Crusader;High;M569015;x
569016;Foreign Minister;Maria Estella de Bettencourt;36;LWR;Biased Intellectual;High;M569016;x
569017;Minister of Armament;Adolfo Camaraquintinga;36;SL;laissez-faire capitalist;Medium;M569017;x
569018;Minister of Armament;Paulo Inacio;36;LWR;Infantry Proponent;Medium;M569018;x
569019;Minister of Security;Luis Pereira Gomes;36;SL;Compassionate Gentleman;Medium;M569019;x
569020;Minister of Security;Leonardo Santos Simao;36;LWR;Crime Fighter;Medium;M569020;x
569021;Head of Military Intelligence;Joao Kaulza de Arriaga;44;PA;Logistics Specialist;Medium;M569021;x
569022;Head of Military Intelligence;Joao Silva Nunes;36;SL;Technical Specialist;Medium;M569022;x
569023;Head of Military Intelligence;Carlos dos Santos;36;LWR;Industrial Specialist;Medium;M569023;x
569024;Chief of Staff;Artur Ivens Ferraz;42;PA;School of Mass Combat;Medium;M569024;x
569025;Chief of Staff;Jose Lobato Guerra;36;SL;School of Fire Support;Medium;M569025;x
569026;Chief of Staff;Federico da Costa Lopes da Silva;36;LWR;School of Manoeuvre;Medium;M569026;x
569027;Chief of Army;Jose de Barros Rodrigues;42;PA;Elastic Defence Doctrine;Medium;M569027;x
569028;Chief of Army;Antonio Taveira Pereira;36;SL;Armoured Spearhead Doctrine;Medium;M569028;x
569029;Chief of Army;Patricio Nunes Gomes;36;LWR;Decisive Battle Doctrine;Medium;M569029;x
569030;Chief of Navy;Antonio Rodrigues Ribeiro;36;SL;Indirect Approach Doctrine;Medium;M569030;x
569031;Chief of Navy;Cesare Ponjo;36;LWR;Open Seas Doctrine;Medium;M569031;x
569032;Chief of Air Force;Antonio Val-Covo;36;SL;Naval Aviation Doctrine;Medium;M569032;x
569033;Chief of Air Force;Oliva Nuno Tomas;36;LWR;Vertical Envelopment Doctrine;Medium;M569033;x
