MTN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
544001;Head of State;Sekula Drljevic;36;FA;Autocratic Charmer;High;M544001;x
544002;Head of Government;Blazo Djukanovic;36;FA;Ambitious Union Boss;High;M544002;x
544003;Foreign Minister;Jovan S. Plamenec;36;FA;Iron Fisted Brute;High;M544003;x
544004;Minister of Armament;Eugen von Albori;36;FA;Corrupt Kleptocrat;Medium;M544004;x
544005;Minister of Security;Ljubo Vukcevic;36;FA;Silent Lawyer;Medium;M544005;x
544006;Head of Military Intelligence;Milutin Bojic;36;FA;Political Specialist;Medium;M544006;x
544007;Chief of Staff;Luka Gojna;36;FA;School of Psychology;Medium;M544007;x
544008;Chief of Army;Anto Gvozdenovic;36;FA;Armoured Spearhead Doctrine;Medium;M544008;x
544009;Chief of Navy;Mitar Martinovic;36;FA;Open Seas Doctrine;Medium;M544009;x
544010;Chief of Air Force;Bora Todorovic;36;FA;Naval Aviation Doctrine;Medium;M544010;x
544011;Head of State;H.R.H. Danilo I Petrova-Njegos;36;SC;Popular Figurehead;High;M544011;x
544012;Head of State;Ivan Ribar;36;LWR;Pig-headed Isolationist;High;M20093;x
544013;Head of Government;Savo Cerovic;36;SC;Political Protege;High;M544013;x
544014;Head of Government;Pavle Djurisic;36;LWR;Old General;High;M544014;x
544015;Foreign Minister;Mitar Martinovic;36;FA;General Staffer;High;M544009;x
544016;Foreign Minister;Milutin Vucinec;36;SC;Apologetic Clerk;High;M544016;x
544017;Foreign Minister;Jovan Ducic;36;LWR;The Cloak N Dagger Schemer;High;M544017;x
544018;Minister of Armament;Krste Djuricic;42;FA;Tank Proponent;Medium;M544018;x
544019;Minister of Armament;Duhan Vukovitch;36;SC;Air to Sea Proponent;Medium;M544019;x
544020;Minister of Armament;Goce Kolicevski;36;LWR;Infantry Proponent;Medium;M544020;x
544021;Minister of Security;Karl Wolff;42;FA;Efficient Sociopath;Medium;M544021;x
544022;Minister of Security;Mitrofan Ban;36;SC;Back Stabber;Medium;M544022;x
544023;Minister of Security;Ivan Gvenkovski;36;LWR;Prince of Terror;Medium;M544023;x
544024;Head of Military Intelligence;Mirko Tirkuvic;36;SC;Dismal Enigma;Medium;M544024;x
544025;Head of Military Intelligence;Kiro Filipovic;36;LWR;Industrial Specialist;Medium;M544025;x
544026;Chief of Staff;Baltasar Uljarevic;36;SC;School of Mass Combat;Medium;M544026;x
544027;Chief of Staff;Pavle Djurisic;36;LWR;School of Defence;Medium;M544014;x
544028;Chief of Army;Wilhelm Behrendt;42;FA;Static Defence Doctrine;Medium;M544028;x
544029;Chief of Army;Bozidar Jankovic;36;SC;Guns and Butter Doctrine;Medium;M544029;x
544030;Chief of Army;Milan Cheric;36;LWR;Elastic Defence Doctrine;Medium;M544030;x
544031;Chief of Navy;Evgenij Popovic;36;SC;Decisive Naval Battle Doctrine;Medium;M544031;x
544032;Chief of Navy;Djuradj Negros;36;LWR;Indirect Approach Doctrine;Medium;M544032;x
544033;Chief of Air Force;Branko Petrovic;36;SC;Air Superiority Doctrine;Medium;M544033;x
544034;Chief of Air Force;Slobodan Jovanovic;36;LWR;Vertical Envelopment Doctrine;Medium;M544034;x
