NEP;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
75001;Head of State;Tribhuvana;36;PA;Ruthless Powermonger;High;M75001;x
75002;Head of Government;Juddha Rana;36;PA;Backroom Backstabber;High;M75002;x
75003;Foreign Minister;Keshar Rana;36;PA;Biased Intellectual;Medium;M75003;x
75004;Minister of Armament;Mohan Rana;36;PA;Administrative Genius;Medium;M75004;x
75005;Minister of Security;Juddha Rana;36;PA;Silent Lawyer;Medium;M75002;x
75006;Head of Military Intelligence;Baber Rana;36;PA;Industrial Specialist;Medium;M75006;x
75007;Chief of Staff;Juddha Rana;36;PA;School of Psychology;Medium;M75002;x
75008;Chief of Army;Padma Rana;36;PA;Guns and Butter Doctrine;Medium;M75008;x
75009;Chief of Navy;Rudra Rana;36;PA;Base Control Doctrine;Medium;M75009;x
75010;Chief of Air Force;Kiran Rana;36;PA;Army Aviation Doctrine;Medium;M75010;x
75011;Head of Government;Gyanendra Deva;44;PA;Corporate Suit;High;M75011;x
75012;Head of Government;Padma Rana;45;SC;Political Protege;High;M75008;x
75013;Head of Government;Mohan Rana;45;ML;Naive Optimist;High;M75004;x
75014;Foreign Minister;Dhir Rana;37;PA;Biased Intellectual;Medium;M75014;x
75015;Foreign Minister;W.R. Parker-Gill;38;SC;Iron Fisted Brute;Medium;M75015;x
75016;Foreign Minister;Krishna Rana;40;PA;Apologetic Clerk;Medium;M75016;x
75017;Foreign Minister;Mohan Rana;43;PA;General Staffer;Medium;M75004;x
75018;Foreign Minister;William Stevenson Meyer;43;SC;Ideological Crusader;Medium;M75018;x
75019;Foreign Minister;Edward Cook;44;SC;The Cloak N Dagger Schemer;High;M75019;x
75020;Foreign Minister;Kiran Rana;45;PA;Great Compromiser;Medium;M75010;x
75021;Minister of Armament;William Stevenson Meyer;37;SC;Administrative Genius;Medium;M75018;x
75022;Minister of Armament;Gehendra Rana;38;PA;Air Superiority Proponent;Medium;M75022;x
75023;Minister of Armament;H.T.S Collins;38;SC;Submarine Proponent;Medium;M75023;x
75024;Minister of Armament;W.R. Parker-Gill;38;SC;laissez-faire capitalist;Medium;M75015;x
75025;Minister of Armament;Dhir Rana;39;PA;Theoretical Scientist;Medium;M75014;x
75026;Minister of Armament;Padma Rana;41;PA;Military Entrepreneur;Medium;M75008;x
75027;Minister of Armament;Kiran Rana;41;PA;Air to Ground Proponent;Medium;M75010;x
75028;Minister of Armament;Sidney R. Planter;42;SC;Resource Industrialist;Medium;M75028;x
75029;Minister of Armament;Robert Mainwaring;43;SC;Tank Proponent;Medium;M75029;x
75031;Minister of Security;W.R. Parker-Gill;39;SC;Back Stabber;Medium;M75015;x
75032;Minister of Security;Edward Cook;37;SC;Efficient Sociopath;High;M75019;x
75033;Minister of Security;H.T.S Collins;38;SC;Prince of Terror;Medium;M75023;x
75034;Minister of Security;Sidney R. Planter;42;SC;Man of the People;Medium;M75028;x
75035;Minister of Security;Mohan Rana;42;PA;Silent Lawyer;Medium;M75004;x
75036;Minister of Security;William Stevenson Meyer;44;SC;Crime Fighter;Medium;M75018;x
75037;Minister of Security;Padma Rana;45;PA;Compassionate Gentleman;Medium;M75008;x
75038;Head of Military Intelligence;H.T.S Collins;36;SC;Naval Intelligence Specialist;Medium;M75023;x
75039;Head of Military Intelligence;Sidney R. Planter;38;SC;Industrial Specialist;Medium;M75028;x
75040;Head of Military Intelligence;Robert Mainwaring;40;SC;Logistics Specialist;Medium;M75029;x
75041;Head of Military Intelligence;Mohan Rana;41;PA;Dismal Enigma;Medium;M75004;x
75042;Head of Military Intelligence;Edward Cook;42;SC;Political Specialist;High;M75019;x
75043;Head of Military Intelligence;Dhir Rana;44;PA;Technical Specialist;Medium;M75014;x
75044;Chief of Staff;Baber Rana;41;PA;School of Manoeuvre;Medium;M75044;x
75045;Chief of Staff;Mohan Rana;42;PA;School of Defence;Medium;M75004;x
75046;Chief of Staff;H.T.S Collins;43;SC;School of Fire Support;Medium;M75023;x
75047;Chief of Staff;L.M. Potter;44;SC;School of Mass Combat;Medium;M75047;x
75048;Chief of Staff;Padma Rana;45;PA;School of Psychology;Medium;M75008;x
75050;Chief of Army;Robert Mainwaring;40;SC;Armoured Spearhead Doctrine;Medium;M75029;x
75051;Chief of Army;L.M. Potter;41;SC;Decisive Battle Doctrine;Medium;M75047;x
75052;Chief of Army;Baber Rana;41;PA;Elastic Defence Doctrine;Medium;M75044;x
75053;Chief of Army;Mohan Rana;45;PA;Static Defence Doctrine;Medium;M75004;x
75054;Chief of Navy;H.T.S Collins;38;SC;Indirect Approach Doctrine;Medium;M75023;x
75055;Chief of Air Force;H.T.S Collins;37;SC;Carpet Bombing Doctrine;Medium;M75023;x
75056;Chief of Air Force;Gehendra Rana;45;PA;Air Superiority Doctrine;Medium;M75022;x
75057;Chief of Staff;Pyar Jung Thapa;46;PA;School of Mass Combat;Medium;M75057;x
75058;Head of Government;Matrika Koirala;51;SL;Ambitious Union Boss;High;M75058;x
