NIC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
48001;Head of State;Juan Bautista Sacasa;36;SC;Benevolent Gentleman;High;M48001;x
48002;Head of Government;Julían Irias Navarro;36;SC;Happy Amateur;High;M48002;x
48003;Foreign Minister;Leonardo Argüello Vargas;36;SC;Iron Fisted Brute;High;M48003;x
48004;Minister of Armament;Anastacio G. Somoza;36;SC;Corrupt Kleptocrat;Very High;M48004;x
48005;Minister of Security;Alcacio Trelles Mendoza;36;ML;Crooked Kleptocrat;Very High;M48005;x
48006;Head of Military Intelligence;Leonardo Argüello Vargas;36;SC;Technical Specialist;Medium;M48003;x
48007;Chief of Staff;Anastacio G. Somoza;36;SC;School of Defence;Very High;M48004;x
48008;Chief of Army;Augusto Caraval Antonio;36;SC;Elastic Defence Doctrine;Medium;M48008;x
48009;Chief of Navy;Gustavo Flores Mendienta;36;SC;Base Control Doctrine;Very High;M48009;x
48010;Chief of Air Force;Guillermo R. Cuadra;36;SC;Naval Aviation Doctrine;Medium;M48010;x
48031;Head of State;Julían Irias Navarro;36;SC;Insignificant Layman;High;M48002;x
48032;Head of State;Carlos Brenes Jarquin;36;PA;Autocratic Charmer;High;M48032;x
48033;Head of State;Anastacio G. Somoza;37;SC;Resigned Generalissimo;High;M48004;x
48034;Head of State;Benjamin Lacayo Sacasa;47;SC;Popular Figurehead;High;M48034;x
48035;Head of State;Victor Roman y Reyes;47;PA;Pig-headed Isolationist;High;M48035;x
48036;Head of Government;Leon Cabrales;36;SC;Happy Amateur;High;M48011;x
48037;Head of Government;Anastacio G. Somoza;36;PA;Flamboyant Tough Guy;High;M48004;x
48038;Head of Government;Vicente Morales;37;SC;Naive Optimist;High;M48038;x
48039;Head of Government;Carlos A. Villanueva;39;SC;Political Protege;High;M48039;x
48040;Head of Government;Alcacio Trelles Mendoza;41;SC;Corporate Suit;High;M48005;x
48041;Head of Government;Carlos Brenes Jarquin;44;SC;Silent Workhorse;High;M48032;x
48042;Head of Government;Guillermo Cuadra;47;SC;Ambitious Union Boss;High;M48012;x
48043;Foreign Minister;Dario Darío y Debayle;36;SC;General Staffer;High;M48043;x
48044;Foreign Minister;Manuel Cordero Reyes;37;SC;Great Compromiser;High;M48044;x
48045;Foreign Minister;Mariano Argüello Vargas;39;SC;Biased Intellectual;High;M48044;x
48046;Foreign Minister;Victor Roman y Reyes;44;PA;General Staffer;Very High;M48035;x
48047;Foreign Minister;Silvio Argüello Cardenal;47;SC;Great Compromiser;Very High;M48047;x
48048;Foreign Minister;Anastacio G. Somoza;47;PA;The Cloak N Dagger Schemer;High;M48004;x
48049;Minister of Armament;Nicolas Juarez Cejudo;36;SC;Air to Ground Proponent;Very High;M48049;x
48050;Minister of Armament;Tomas Francisco Medina;36;PA;Corrupt Kleptocrat;Medium;M48050;x
48051;Minister of Armament;Carlos Brenes Jarquin;37;SC;laissez-faire capitalist;High;M48032;x
48052;Minister of Armament;Salvador Buenrostrí Cardeñas;39;SC;Air Superiority Proponent;High;M48052;x
48053;Minister of Armament;Leonardo Argüello Vargas;41;SC;Infantry Proponent;High;M48003;x
48054;Minister of Armament;Benjamin Lacayo Sacasa;43;SC;Administrative Genius;Medium;M48034;x
48055;Minister of Armament;Benjamin Casal Cohen;44;SC;Military Entrepreneur;High;M48055;x
48056;Minister of Armament;Juan Estrada Ayala;47;SC;Air to Ground Proponent;High;M48056;x
48057;Minister of Armament;José Clemón Sacasa;47;PA;Tank Proponent;Low;M48016;x
48058;Minister of Security;Anastacio G. Somoza;36;SC;Efficient Sociopath;Low;M48004;x
48059;Minister of Security;Victor Roman y Reyes;39;SC;Prince of Terror;Very High;M48035;x
48060;Minister of Security;Leon Cabrales;41;SC;Back Stabber;Medium;M48011;x
48061;Minister of Security;Gustavo Pavon Ochoa;44;PA;Silent Lawyer;Medium;M48061;x
48062;Minister of Security;Nicolas Eden Jímenez;47;SC;Compassionate Gentleman;Medium;M48062;x
48064;Head of Military Intelligence;Francisco Estrasa;36;PA;Industrial Specialist;Medium;M48064;x
48065;Head of Military Intelligence;Leonardo Argüello Vincés;37;SC;Dismal Enigma;Medium;M48065;x
48066;Head of Military Intelligence;Victor Roman y Reyes;41;SC;Technical Specialist;Very High;M48035;x
48067;Head of Military Intelligence;José Luís Pavon Vinales;44;SC;Logistics Specialist;Medium;M48067;x
48068;Head of Military Intelligence;Juan Pablo Esquerra;47;SC;Dismal Enigma;Medium;M48026;x
48069;Head of Military Intelligence;José Clemón Sacasa;47;PA;Dismal Enigma;Low;M48016;x
48071;Chief of Staff;Augusto Caraval Antonio;36;PA;School of Fire Support;Low;M48008;x
48072;Chief of Staff;Manuel Roque Garcia;47;SC;School of Manoeuvre;Low;M48017;x
48074;Chief of Army;Anastacio G. Somoza;37;SC;Static Defence Doctrine;Very High;M48004;x
48075;Chief of Army;Victor Roman y Reyes;41;SC;Decisive Battle Doctrine;Very High;M48035;x
48076;Chief of Army;Manuel Corovél Kirsch;44;PA;Armoured Spearhead Doctrine;Medium;M48018;x
48077;Chief of Army;Manuel Roque Garcia;47;SC;Guns and Butter Doctrine;Low;M48017;x
48079;Chief of Navy;Noel Esto Niño Miranda;44;SC;Open Seas Doctrine;Very High;M48019;x
48082;Chief of Air Force;Joel Garcia Zaldana;44;SC;Army Aviation Doctrine;Medium;M48020;x
48084;Head of State;Leonardo Argüello Vargas;47;SC;Die-hard Reformer;High;M48003;x
48085;Head of Government;Anastacio G. Somoza;47;PA;Old General;High;M48004;x
48011;Head of State;Leon Cabrales;36;SL;Insignificant Layman;High;M48011;x
