NOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
14001;Head of State;Haakon VII;36;SD;Weary Stiffneck;High;M14001;x
14002;Head of Government;Johan Nygaardsvold;36;SD;Ambitious Union Boss;High;M14002;x
14003;Foreign Minister;Halvdan Koht;36;SD;Biased Intellectual;Medium;M14003;x
14004;Minister of Armament;Adolf Indrebø;36;SD;Resource Industrialist;Medium;M14004;x
14005;Minister of Security;Trygve H. Lie;36;SD;Man of the People;Medium;M14005;x
14006;Head of Military Intelligence;Alfred Roscher-Lund;36;SD;Logistics Specialist;Low;M14006;x
14007;Chief of Staff;Otto Ruge;36;SD;School of Defence;Medium;M14075;x
14008;Chief of Army;Kristian K. Laake;36;SD;Guns and Butter Doctrine;Medium;M14008;x
14009;Chief of Navy;Jacob von der Lippe;36;SD;Indirect Approach Doctrine;Medium;M14009;x
14010;Chief of Air Force;Jacob von der Lippe;36;SD;Army Aviation Doctrine;Medium;M14009;x
14032;Head of State;Haakon VII;36;ML;Weary Stiffneck;High;M14001;x
14034;Head of State;Erling Sandberg;45;PA;Autocratic Charmer;High;M14014;x
14036;Head of Government;C.J. Hambro;37;ML;Silent Workhorse;High;M14036;x
14037;Head of Government;Einar Gerhardsen;41;SD;Political Protege;High;M14037;x
14038;Head of Government;Adolf Worm-Müller;41;SL;Happy Amateur;High;M14038;x
14039;Head of Government;Paal Berg;45;ML;Backroom Backstabber;High;M14039;x
14040;Head of Government;Anders Lange;45;PA;Happy Amateur;High;M14040;x
14041;Foreign Minister;Trygve H. Lie;41;SD;Iron Fisted Brute;High;M14005;x
14042;Foreign Minister;Halvard Manthey Lange;45;SD;General Staffer;High;M14042;x
14043;Foreign Minister;J. L. Mowinckel;36;SL;Ideological Crusader;Very High;M14043;x
14044;Foreign Minister;Paal Berg;37;SL;Great Compromiser;High;M14039;x
14045;Foreign Minister;Erik Andreas Colban;38;ML;Great Compromiser;High;M14045;x
14046;Foreign Minister;C.J. Hambro;39;ML;Great Compromiser;High;M14036;x
14047;Foreign Minister;Rolf Andvord;45;SD;Apologetic Clerk;High;M14047;x
14048;Foreign Minister;Albert Viljam Hagelin;42;FA;Biased Intellectual;Low;M14048;x
14049;Foreign Minister;Adam Egede Nissen;41;ST;Iron Fisted Brute;Low;M14021;x
14050;Minister of Armament;Finn Hagerup;37;SD;Submarine Proponent;Medium;M14050;x
14051;Minister of Armament;Oscar F. Torp;39;SD;Resource Industrialist;Medium;M14051;x
14052;Minister of Armament;Fredrik Monsen;40;SD;Tank Proponent;Medium;M14052;x
14053;Minister of Armament;Jens Christian Hauge;40;SD;Military Entrepreneur;High;M14053;x
14054;Minister of Armament;Erik Brofoss;45;SD;Air Superiority Proponent;High;M14054;x
14055;Minister of Armament;Frederic Beichmann;36;SL;Infantry Proponent;Medium;M14055;x
14056;Minister of Armament;Johan H. Andresen;38;ML;Resource Industrialist;Medium;M14056;x
14057;Minister of Armament;Benjamin Vogt;40;ML;Battle Fleet Proponent;Medium;M14057;x
14058;Minister of Armament;Michael Hansson;41;SL;Strategic Air Proponent;Medium;M14058;x
14059;Minister of Armament;Erling Sandberg;43;SL;Infantry Proponent;Very low;M14014;x
14060;Minister of Armament;Gunnar Jahn;45;SL;laissez-faire capitalist;Medium;M14060;x
14061;Minister of Armament;Albert Viljam Hagelin;41;FA;Tank Proponent;Low;M14048;x
14062;Minister of Armament;Fredrik Prytz;42;FA;Submarine Proponent;Medium;M14062;x
14063;Minister of Armament;Carl Fröhlich Hansen;43;FA;Military Entrepreneur;Low;M14063;x
14064;Minister of Armament;Emil Lövlien;45;ST;Military Entrepreneur;Low;M14022;x
14065;Minister of Security;Terje Wold;39;SD;Silent Lawyer;Medium;M14065;x
14066;Minister of Security;Asbjørn Bryhn;43;SD;Crime Fighter;Low;M14066;x
14067;Minister of Security;Haakon Lie;45;SD;Prince of Terror;High;M14067;x
14068;Minister of Security;Arne Sunde;37;SL;Silent Lawyer;High;M14068;x
14069;Minister of Security;Erling Sandberg;43;SL;Compassionate Gentleman;Very low;M14014;x
14070;Minister of Security;Rolf Fuglesang;42;FA;Efficient Sociopath;Very Low;M14070;x
14071;Head of Military Intelligence;Bertram Dybwad Brochmann;36;ML;Dismal Enigma;Medium;M14071;x
14072;Head of Military Intelligence;Vilhelm Evang;43;SD;Political Specialist;Medium;M14072;x
14073;Head of Military Intelligence;Gunnar Jahn;45;SL;Industrial Specialist;Medium;M14060;x
14074;Head of Military Intelligence;Karl A. Marthinsen;44;NS;Dismal Enigma;Low;M14074;x
14075;Chief of Staff;Birger Ljungberg;36;SD;School of Defence;High;M14007;x
14076;Chief of Staff;Birger Frederik Motzfeldt;44;SD;School of Manoeuvre;Medium;M14076;x
14077;Chief of Staff;Johan Beichmann;42;ML;School of Mass Combat;Very High;M14077;x
14078;Chief of Staff;Wilhelm von Tangen-Hansteen;46;ML;School of Fire Support;Very High;M14078;x
14079;Chief of Staff;Halvor Hansson;46;ML;School of Psychology;Very High;M14079;x
14080;Chief of Army;Otto Ruge;40;SD;Guns and Butter Doctrine;Medium;M14075;x
14081;Chief of Army;Olav av Norge;43;SD;Elastic Defence Doctrine;Very High;M14081;x
14082;Chief of Army;Jørgen Bakke;42;NS;Decisive Battle Doctrine;Medium;M14082;x
14083;Chief of Navy;Henry Diesen;37;SD;Open Seas Doctrine;Medium;M14083;x
14084;Chief of Navy;Gunner Hovdenak;41;SD;Decisive Naval Battle Doctrine;Medium;M14084;x
14085;Chief of Navy;Christopher Meyer;38;ML;Base Control Doctrine;Medium;M14085;x
14086;Chief of Navy;Hans Corneliussen;41;ML;Indirect Approach Doctrine;Medium;M14086;x
14087;Chief of Navy;Thorleif Fjeldstad;41;FA;Indirect Approach Doctrine;Medium;M14087;x
14088;Chief of Navy;Kjeld Stub Irgens;42;FA;Decisive Naval Battle Doctrine;Medium;M14088;x
14089;Chief of Air Force;Hjalmar Riiser-Larsen;37;SD;Army Aviation Doctrine;Medium;M14089;x
14090;Chief of Air Force;Bjarne Øen;45;SD;Vertical Envelopment Doctrine;Medium;M14090;x
14091;Chief of Air Force;Harald Bruusgaard;36;SL;Naval Aviation Doctrine;Medium;M14091;x
14092;Chief of Air Force;Carl Gulliksen;37;SL;Air Superiority Doctrine;Medium;M14092;x
14093;Chief of Air Force;Trygve Klingenberg;37;SL;Army Aviation Doctrine;Medium;M14093;x
14094;Chief of Air Force;Ole Reistad;39;SL;Carpet Bombing Doctrine;Medium;M14094;x
14095;Head of Military Intelligence;Carl Fröhlich Hansen;45;FA;Industrial Specialist;Low;M14063;x
14011;Head of State;Josef Terboven;36;FA;Resigned Generalissimo;High;M14011;x
14012;Head of Government;Vidkun Quisling;36;FA;Corporate Suit;High;M14012;x
14013;Foreign Minister;Vidkun Quisling;36;FA;The Cloak N Dagger Schemer;High;M14012;x
14015;Minister of Security;Jonas Lie;36;NS;Crime Fighter;High;M14015;x
14016;Head of Military Intelligence;Oliver Møystad;36;FA;Dismal Enigma;High;M14016;x
14017;Chief of Staff;Sverre Riisnæs;36;FA;School of Defence;High;M14017;x
14018;Chief of Army;Konrad Sundlo;36;FA;Static Defence Doctrine;High;M14018;x
14019;Chief of Navy;Bertel Bruun;36;FA;Open Seas Doctrine;Medium;M14019;x
14020;Chief of Air Force;Trygve Gran;36;FA;Air Superiority Doctrine;High;M14020;x
14021;Head of State;Adam Egede Nissen;36;ST;Insignificant Layman;High;M14021;x
14022;Head of Government;Emil Lövlien;36;ST;Smiling Oilman;High;M14022;x
14023;Foreign Minister;Peder Furubotn;36;LE;Ideological Crusader;Medium;M14023;x
