NZL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
55001;Head of State;George de Vere Viscount Galway;36;SD;Stern Imperialist;High;M55001;x
55002;Head of Government;Michael Joseph Savage;36;SD;Silent Workhorse;High;M55002;x
55003;Foreign Minister;Michael Joseph Savage;36;SD;Great Compromiser;Very High;M55002;x
55004;Minister of Armament;Walter Nash;36;SD;Resource Industrialist;High;M55004;x
55005;Minister of Security;William Parry;36;SD;Compassionate Gentleman;High;M55005;x
55006;Head of Military Intelligence;Kenneth Folkes;36;SD;Dismal Enigma;Medium;M55006;x
55007;Chief of Staff;William Sinclair-Burgess;36;ML;School of Mass Combat;High;M55007;x
55008;Chief of Army;William Sinclair-Burgess;36;ML;Elastic Defence Doctrine;High;M55007;x
55009;Chief of Navy;E.R. Drummond;36;ML;Base Control Doctrine;High;M55009;x
55010;Chief of Air Force;R.A. Cochrane;36;ML;Air Superiority Doctrine;High;M55010;x
55032;Head of State;George de Vere Viscount Galway;36;SC;Stern Imperialist;High;M55001;x
55033;Head of State;Norton Louis Baron Newall;41;SD;Autocratic Charmer;High;M55033;x
55034;Head of State;Norton Louis Baron Newall;41;ML;Autocratic Charmer;High;M55033;x
55035;Head of State;Bernhard Baron Freyberg;46;SD;Resigned Generalissimo;High;M55035;x
55036;Head of State;Bernhard Baron Freyberg;46;ML;Resigned Generalissimo;High;M55035;x
55037;Head of Government;Adam Hamilton;38;SC;Corporate Suit;High;M55037;x
55038;Head of Government;Peter Fraser;40;SD;Political Protege;High;M55038;x
55039;Head of Government;Sydney Holland;43;SC;Smiling Oilman;High;M55039;x
55040;Foreign Minister;Frank Langstone;38;SD;Ideological Crusader;Low;M55040;x
55041;Foreign Minister;Peter Fraser;40;SD;Biased Intellectual;Very High;M55038;x
55042;Foreign Minister;Walter Nash;45;SD;Apologetic Clerk;High;M55004;x
55043;Foreign Minister;James Allen;38;ML;Great Compromiser;Very High;M55043;x
55044;Foreign Minister;Adam Hamilton;38;SC;Apologetic Clerk;Very High;M55037;x
55045;Foreign Minister;William Sinclair-Burgess;40;SC;General Staffer;High;M55007;x
55046;Foreign Minister;Gordon Coates;42;SC;The Cloak N Dagger Schemer;High;M55046;x
55047;Foreign Minister;Sydney Holland;43;SC;Great Compromiser;Very High;M55039;x
55048;Minister of Armament;Dan Sullivan;36;SD;Resource Industrialist;High;M55048;x
55049;Minister of Armament;William J. Jordan;39;SD;laissez-faire capitalist;High;M55049;x
55050;Minister of Armament;L.M. Isitt;39;SD;Air to Sea Proponent;High;M55050;x
55051;Minister of Armament;Keith J. Holyoake;44;SD;Military Entrepreneur;High;M55051;x
55052;Minister of Armament;W.E. Parry;42;ML;Submarine Proponent;High;M55052;x
55053;Minister of Armament;R.A. Cochrane;36;SC;Air Superiority Proponent;High;M55010;x
55054;Minister of Armament;Sydney Holland;38;SC;laissez-faire capitalist;High;M55039;x
55055;Minister of Armament;A. de Terrotte Neville;39;SC;Strategic Air Proponent;High;M55055;x
55056;Minister of Armament;W.H. Stratton;39;SC;Air to Ground Proponent;High;M55056;x
55057;Minister of Armament;Sir Frederick Field;42;SC;Battle Fleet Proponent;High;M55057;x
55058;Minister of Armament;Ken MacKenzie;43;SC;Theoretical Scientist;High;M55058;x
55059;Minister of Armament;Edward Puttick;44;SC;Infantry Proponent;High;M55059;x
