OMN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
92001;Head of State;Said ibn Timur;36;PA;Ruthless Powermonger;High;M92001;x
92002;Head of Government;Said ibn Timur;36;PA;Backroom Backstabber;High;M92001;x
92003;Foreign Minister;Said ibn Timur;36;PA;General Staffer;High;M92001;x
92004;Minister of Armament;James E. Drummond;36;SC;Resource Industrialist;Medium;M92004;x
92005;Minister of Security;Henry L.W.L. Burnham;36;SC;Compassionate Gentleman;Medium;M92005;x
92006;Head of Military Intelligence;Geoffrey Dennis;36;SC;Technical Specialist;Medium;M92006;x
92007;Chief of Staff;Said ibn Timur;36;PA;School of Defence;High;M92001;x
92008;Chief of Army;Said ibn Timur;36;PA;Static Defence Doctrine;High;M92001;x
92009;Chief of Navy;Geoffrey Claydon;36;SC;Open Seas Doctrine;Medium;M92009;x
92010;Chief of Air Force;Abdallah ibn Timur;36;PA;Air Superiority Doctrine;Medium;M92010;x
92011;Foreign Minister;Herbert A. Laurens-Fisher;39;SC;Great Compromiser;High;M92011;x
92012;Foreign Minister;Ibrahim ibn Timur;44;PA;Iron Fisted Brute;High;M92012;x
92013;Minister of Armament;Arthur Henderson;41;SC;Infantry Proponent;Medium;M92013;x
92014;Minister of Armament;James H. Thomas;43;SC;laissez-faire capitalist;Medium;M92014;x
92015;Minister of Armament;Ali ibn Timur;45;SC;Corrupt Kleptocrat;Medium;M92015;x
92016;Minister of Security;Robert Bannatyne Finlay;40;SC;Silent Lawyer;Medium;M92016;x
92017;Minister of Security;Said ibn Timur;45;PA;Efficient Sociopath;Medium;M92001;x
92018;Head of Military Intelligence;Harold Beresford-Butler;42;SC;Industrial Specialist;Medium;M92018;x
92019;Chief of Staff;P.A. Mann;38;SC;School of Fire Support;High;M92019;x
92020;Chief of Staff;Angus Douglas-Hamilton;41;SC;School of Mass Combat;High;M92020;x
92021;Chief of Staff;Jamil ibn Timur;45;PA;School of Manoeuvre;High;M92021;x
92022;Chief of Army;Eric Wright;38;SC;Guns and Butter Doctrine;High;M92022;x
92023;Chief of Army;Angus Douglas-Hamilton;41;SC;Decisive Battle Doctrine;High;M92020;x
92024;Chief of Army;Zahir ibn Timur;45;PA;Elastic Defence Doctrine;High;M92024;x
92025;Chief of Navy;Derek Leaf;43;SC;Indirect Approach Doctrine;Medium;M92025;x
92026;Chief of Air Force;Derek Leaf;40;SC;Naval Aviation Doctrine;Medium;M92025;x
92027;Chief of Air Force;R.E. Martin;41;SC;Army Aviation Doctrine;Medium;M92027;x
92028;Chief of Air Force;Fawzi ibn Timur;45;PA;Carpet Bombing Doctrine;Medium;M92028;x
