PAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
557001;Head of State;Sir Harold MacMichael;36;ML;Autocratic Charmer;High;M550005;x
557002;Head of Government;Sir John R. Chancellor;36;ML;Flamboyant Tough Guy;High;M557002;x
557003;Foreign Minister;Nazif al-Khalidi;36;ML;Ideological Crusader;High;M557003;x
557004;Minister of Armament;George Humsi;36;ML;Military Entrepreneur;Medium;M557004;x
557005;Minister of Security;Musa Qassem al-Husseini;36;ML;Prince of Terror;Medium;M557005;x
557006;Head of Military Intelligence;Frederic G.Peake;36;ML;Political Specialist;Medium;M91008;x
557007;Chief of Staff;Sir Herbert Samuel;36;ML;School of Mass Combat;Medium;M557007;x
557008;Chief of Army;G.H.C. Spinls;36;ML;Elastic Defence Doctrine;Medium;L320014;x
557009;Chief of Navy;F.B. Tours;36;ML;Indirect Approach Doctrine;Medium;L1396;x
557010;Chief of Air Force;J.T. Fullhard;36;ML;Vertical Envelopment Doctrine;Medium;L1441;x
557011;Head of State;Haj Amin al Husseini;36;NS;Pig-headed Isolationist;High;M557011;x
557012;Head of State;Sir Herbert Samuel;36;PA;Stern Imperialist;High;M557007;x
557013;Head of State;Faid al-Alami;36;SD;Benevolent Gentleman;High;M557013;x
557014;Head of State;Ruhi al-Khalidi;36;LWR;Barking Buffoon;High;M557014;x
557015;Head of Government;Yussef Pasha al-Khalidi;36;NS;Political Protege;High;M557015;x
557016;Head of Government;Sir Herbert Plumer;36;PA;Old General;High;M557016;x
557017;Head of Government;Ahmad Shukairy;36;SD;Happy Amateur;High;M557017;x
557018;Head of Government;Haj Mustafa Abboushi;36;LWR;Ambitious Union Boss;High;M557018;x
557019;Foreign Minister;Ragheed Nashasbibi;36;NS;Iron Fisted Brute;High;M557019;x
557020;Foreign Minister;Sir Greenfell Wauchope;36;PA;General Staffer;High;M557020;x
557021;Foreign Minister;Harry C. Luke;36;SD;Great Compromiser;High;M557021;x
557022;Foreign Minister;Hafiz Pasha Abdul Hadi;36;LWR;Apologetic Clerk;High;M557022;x
557023;Minister of Armament;Alfred Roch;36;NS;Air to Ground Proponent;Medium;M557023;x
557024;Minister of Armament;Abdullah Jaffer Dalal;36;PA;Air Superiority Proponent;Medium;M557024;x
557025;Minister of Armament;Ruhi Abdul Hadi;36;SD;laissez-faire capitalist;Medium;M557025;x
557026;Minister of Armament;Sharif Nasir al-Qagli;36;LWR;Infantry Proponent;Medium;M557026;x
557027;Minister of Security;Awni Abdul Hadi;36;NS;Crooked Kleptocrat;Medium;M557027;x
557028;Minister of Security;George Antinous;36;PA;Compassionate Gentleman;Medium;M557028;x
557029;Minister of Security;Nicolas Abdo;36;SD;Silent Lawyer;Medium;M557029;x
557030;Minister of Security;Dekel Shukri;36;LWR;Back Stabber;Medium;M557030;x
557031;Head of Military Intelligence;Dr. Abu So'oud;36;NS;Technical Specialist;Medium;M557031;x
557032;Head of Military Intelligence;Massoud al-Jinnah;36;PA;Industrial Specialist;Medium;M557032;x
557033;Head of Military Intelligence;Faruk Haydar;36;SD;Logistics Specialist;Medium;M557033;x
557034;Head of Military Intelligence;Majid Abd-el-Haqq;36;LWR;Dismal Enigma;Medium;M557034;x
557035;Chief of Staff;Ali Djemal Pasha;36;NS;School of Fire Support;Medium;M557035;x
557036;Chief of Staff;Sir Herbert Plumer;36;PA;School of Defence;Medium;M557016;x
557037;Chief of Staff;Alan G. Cunningham;41;ML;School of Manoeuvre;Medium;M557037;x
557038;Chief of Staff;Faruk Haydar;36;SD;School of Psychology;Medium;M557033;x
557039;Chief of Staff;Jaafra Pasha;36;LWR;School of Defence;Medium;M557039;x
557040;Chief of Army;Aly al-Muttalib;36;NS;Guns and Butter Doctrine;Medium;M557040;x
557041;Chief of Army;Sir Greenfell Wauchope;36;PA;Static Defence Doctrine;Medium;M557020;x
557042;Chief of Army;Lord John Gort;42;ML;Armoured Spearhead Doctrine;Medium;L1138;x
557043;Chief of Army;Liwa al-Mawawiyi;36;SD;Elastic Defence Doctrine;Medium;M557043;x
557044;Chief of Army;Sharif Nasir al-Qagli;36;LWR;Guns and Butter Doctrine;Medium;M557026;x
557045;Chief of Navy;Ali Djemal Pasha;36;NS;Base Control Doctrine;Medium;M557035;x
557046;Chief of Navy;Rodney Tatton-Sykes;36;PA;Decisive Naval Battle Doctrine;Medium;L300023;x
557047;Chief of Navy;Alfred Howard;36;SD;Open Seas Doctrine;Medium;M557047;x
557048;Chief of Navy;Ahmad Wasi Pasha;36;LWR;Power Projection Doctrine;Medium;M557048;x
557049;Chief of Air Force;Mohammed Azmy Pasha;36;NS;Army Aviation Doctrine;Medium;M512096;x
557050;Chief of Air Force;Abdullah Jaffer Dalal;36;PA;Air Superiority Doctrine;Medium;M557024;x
557051;Chief of Air Force;James Rogers;36;SD;Carpet Bombing Doctrine;Medium;M557051;x
557052;Chief of Air Force;Muhammed al-Taif;36;LWR;Naval Aviation Doctrine;Medium;M557052;x
