PAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
95001;Head of State;Harmodio Arías de la Madrid;36;ML;Autocratic Charmer;High;M95001;x
95002;Head of Government;Harmodio Arías de la Madrid;36;ML;Corporate Suit;High;M95001;x
95003;Foreign Minister;Narciso Garay Díaz;36;SL;Ideological Crusader;Medium;M95003;x
95004;Minister of Armament;Daniel C. Pinzon;36;ML;laissez-faire capitalist;Medium;M95004;x
95005;Minister of Security;Ignacio E. Mendoza;36;SL;Back Stabber;Medium;M95005;x
95006;Head of Military Intelligence;Ezequeil Fernandez Jaen;36;ML;Dismal Enigma;Medium;M95006;x
95007;Chief of Staff;Juan Remón;36;SL;School of Psychology;Medium;M95007;x
95008;Chief of Army;Bolivar Villarino;36;ML;Guns and Butter Doctrine;Medium;M95008;x
95009;Chief of Navy;Juan A. Hernandez;36;SL;Decisive Naval Battle Doctrine;Medium;M95009;x
95010;Chief of Air Force;Juan Remón;36;ML;Naval Aviation Doctrine;Medium;M95007;x
95031;Head of State;Juan Demosthenes Arosemana;36;SC;Resigned Generalissimo;High;M95031;x
95032;Head of State;Arnulfo Arías de la Madrid;40;ML;Popular Figurehead;High;M95032;x
95033;Head of State;Riccardo de la Guardia;41;PA;Powerhungry Demagogue;High;M95013;x
95034;Head of State;Arnulfo Arías de la Madrid;45;SL;Autocratic Charmer;High;M95034;x
95035;Head of State;Enrique Jimenez Brín;46;PA;Stern Imperialist;High;M95035;x
95036;Head of Government;Carlos Zavala;36;SC;Old Admiral;High;M95036;x
95037;Head of Government;Arnulfo Arías de la Madrid;40;ML;Corporate Suit;High;M95032;x
95038;Head of Government;Augusto Samuel Boyd;41;PA;Ambitious Union Boss;High;M95038;x
95039;Head of Government;Manuel D. Granados;45;SL;Silent Workhorse;High;M95039;x
95040;Head of Government;José Augustín Arango;46;PA;Political Protege;High;M95011;x
95041;Foreign Minister;Raul de Roux y García;36;ML;Biased Intellectual;Medium;M95041;x
95042;Foreign Minister;José Lefebvré de la Ossa;36;SC;Great Compromiser;Medium;M95042;x
95043;Foreign Minister;Narciso Garay Díaz;38;PA;Apologetic Clerk;Medium;M95003;x
95044;Foreign Minister;Juan Demosthenes Arosemana;38;SC;The Cloak N Dagger Schemer;Medium;M95031;x
95045;Foreign Minister;Augusto Samuel Boyd;40;ML;Iron Fisted Brute;Medium;M95038;x
95046;Foreign Minister;Riccardo de la Guardia;41;PA;Biased Intellectual;High;M95013;x
95047;Foreign Minister;Octavio Fábrega López;42;SC;Iron Fisted Brute;High;M95047;x
95048;Foreign Minister;Samuel Luis Aranga;45;PA;Great Compromiser;High;M95048;x
95049;Foreign Minister;Roberto Jímenez de Roux;45;ML;Great Compromiser;High;M95049;x
95050;Foreign Minister;Horacío Alfaro Díaz;46;PA;General Staffer;High;M95050;x
95051;Foreign Minister;Hermaño Castillo Ballidó;47;SC;Apologetic Clerk;High;M95051;x
95052;Minister of Armament;Nestor Urribe Suarez;36;SC;Infantry Proponent;Medium;M95052;x
95053;Minister of Armament;José Pezet;40;SL;Resource Industrialist;Medium;M95053;x
95056;Minister of Armament;Enrique Jiménez Brín;45;SL;Tank Proponent;Medium;M95035;x
95057;Minister of Armament;Ignacio E. Mendoza;46;SC;Infantry Proponent;Medium;M95005;x
95058;Minister of Security;Raoul Arias Amador;36;SC;Man of the People;Medium;M95015;x
95059;Minister of Security;Carlos Mendoza;40;SL;Crime Fighter;Medium;M95059;x
95060;Minister of Security;Juan Remon;41;SC;Man of the People;Medium;M95007;x
95061;Minister of Security;Nicolas Ardito Barletta;45;SL;Compassionate Gentleman;Medium;M95061;x
95062;Minister of Security;José Avila;46;SC;Crime Fighter;Medium;M95062;x
95063;Head of Military Intelligence;Ernesto Fabréga López;36;SC;Dismal Enigma;Medium;M95063;x
95064;Head of Military Intelligence;Victor Pareja;40;SL;Industrial Specialist;Medium;M95025;x
95065;Head of Military Intelligence;Baldomero Tarté;41;PA;Logistics Specialist;Medium;M95016;x
95066;Head of Military Intelligence;Ignacio C. Garces;45;SL;Naval Intelligence Specialist;Medium;M95066;x
95067;Head of Military Intelligence;José Lefebvré de la Ossa;46;SC;Industrial Specialist;Medium;M95042;x
95068;Chief of Staff;Bolivar Villarino;36;SC;School of Defence;Medium;M95008;x
95069;Chief of Staff;Juan José Parada;40;SL;School of Manoeuvre;Medium;M95020;x
95070;Chief of Staff;Pacificio Marciaga;41;PA;School of Psychology;Medium;M95017;x
95071;Chief of Staff;José Gomez Ayan;45;SL;School of Fire Support;Medium;M95071;x
95073;Chief of Army;Juan Remón;36;SC;Guns and Butter Doctrine;Medium;M95007;x
95074;Chief of Army;Enrico Fabrego Páz;40;ML;Static Defence Doctrine;Medium;M95018;x
95077;Chief of Army;Omar Torrijos;46;PA;Armoured Spearhead Doctrine;Medium;M95077;x
95080;Chief of Navy;Arturo Osborne Irragá;41;PA;Open Seas Doctrine;Medium;M95019;x
95082;Chief of Air Force;Marcos A. Gelabert;36;SC;Army Aviation Doctrine;Medium;M95082;x
95083;Chief of Air Force;Juan José Parada;40;ML;Air Superiority Doctrine;Medium;M95020;x
95084;Chief of Air Force;Carlos Zavala;41;SC;Air Superiority Doctrine;Medium;M95036;x
95086;Chief of Air Force;Nestor Urribe Suarez;46;SC;Carpet Bombing Doctrine;Medium;M95052;x
95087;Head of State;Ezequeil Fernandez Jaen;39;SC;Insignificant Layman;Medium;M95006;x
95088;Head of Government;Ezequeil Fernandez Jaen;39;SC;Smiling Oilman;Medium;M95006;x
95089;Head of Government;Augusto Samuel Boyd;40;SC;Ambitious Union Boss;High;M95038;x
95090;Head of State;Augusto Samuel Boyd;40;SC;Barking Buffoon;High;M95038;x
95011;Head of State;José Augustin Arango;36;PA;Resigned Generalissimo;High;M95011;x
95012;Head of Government;José Augustin Arango;36;PA;Old General;High;M95011;x
95021;Head of State;Floyd N. Britton sr.;36;LE;Pig-headed Isolationist;High;M95021;x
95022;Head of Government;Floyd N. Britton sr.;36;LE;Happy Amateur;High;M95021;x
95023;Foreign Minister;Luís Costa Arías;36;LWR;Ideological Crusader;Medium;M95023;x
95024;Minister of Armament;Floyd N. Britton sr.;36;LE;Administrative Genius;Medium;M95021;x
95025;Minister of Security;Victor Pareja;36;LE;Crooked Kleptocrat;Medium;M95025;x
95027;Chief of Staff;Adolfo Gutíerrez Clark;36;LE;School of Defence;Medium;M95027;x
95028;Chief of Army;Manuel Ríos Urribe;36;LWR;Armoured Spearhead Doctrine;Medium;M95028;x
95029;Chief of Navy;Ferdinando Hernandez Ytuarte;36;LWR;Power Projection Doctrine;Medium;M95029;x
95030;Chief of Air Force;Margarita Belloso Jímenez;36;LE;Vertical Envelopment Doctrine;Medium;M95030;x
95091;Head of State;Domingo Diaz Arosemena;48;SC;Weary Stiffneck;High;M95091;x
