PAR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
42001;Head of State;Eusebio Ayala;36;ML;Benevolent Gentleman;High;M42001;x
42002;Head of Government;Eusebio Ayala;36;ML;Corporate Suit;High;M42001;x
42003;Foreign Minister;Luís Alberto Riart;36;ML;The Cloak N Dagger Schemer;Medium;M42003;x
42004;Minister of Armament;Federico Chaves;36;ML;Infantry Proponent;Medium;M42004;x
42005;Minister of Security;Nicolas Delgado;36;ML;Prince of Terror;Medium;M42005;x
42006;Head of Military Intelligence;Juan Manuel Frutos;36;ML;Logistics Specialist;Medium;M42006;x
42007;Chief of Staff;Igor Ern;36;ML;School of Defence;Medium;M42007;x
42008;Chief of Army;Manuel T. Aponte;36;ML;Static Defence Doctrine;Medium;M42008;x
42009;Chief of Navy;Manuel T. Aponte;36;ML;Indirect Approach Doctrine;Medium;M42008;x
42010;Chief of Air Force;Vicente Almonacid;36;ML;Air Superiority Doctrine;Medium;M42010;x
42061;Head of State;Rafael Franco;36;SD;Resigned Generalissimo;High;M42047;x
42062;Head of State;Felix Paiva;37;SC;Insignificant Layman;High;M42062;x
42063;Head of State;José Estigarribia Insaurralde;39;SD;Autocratic Charmer;High;M42063;x
42064;Head of State;Higenio Morinigo Martinez;40;PA;Barking Buffoon;High;M42064;x
42065;Head of Government;Eugenio Garay;36;SD;Ambitious Union Boss;High;M42065;x
42066;Head of Government;Felix Paiva;37;SC;Smiling Oilman;High;M42062;x
42067;Head of Government;José Estigarribia Insaurralde;39;SD;Happy Amateur;High;M42063;x
42068;Head of Government;Higenio Morinigo Martinez;40;PA;Old General;High;M42064;x
42069;Head of Government;Raimundo Rolon Villasanti;44;SC;Political Protege;High;M42069;x
42070;Foreign Minister;Juan Stefanich;36;LWR;Ideological Crusader;Medium;M42049;x
42072;Foreign Minister;Cecilio Báez;37;SD;Iron Fisted Brute;Medium;M42072;x
42073;Foreign Minister;Luís Avelino Argaña;37;SL;Great Compromiser;Medium;M42041;x
42074;Foreign Minister;Justo Pastór Prieto;39;SC;Ideological Crusader;Medium;M42074;x
42075;Foreign Minister;Elías Ayala;39;SC;Biased Intellectual;Medium;M42043;x
42076;Foreign Minister;Tomas A. Salomoni;39;SD;Ideological Crusader;Medium;M42076;x
42078;Foreign Minister;Luís Avelino Argaña;40;PA;Great Compromiser;Medium;M42041;x
42079;Foreign Minister;Juan Manuel Alvarté;44;SC;Apologetic Clerk;Medium;M42079;x
42080;Foreign Minister;Horacío Chiriani Cotor;45;PA;Ideological Crusader;Medium;M42080;x
42081;Foreign Minister;Antonio Alberto Taboada;46;SC;The Cloak N Dagger Schemer;Medium;M42081;x
42082;Foreign Minister;Cesar Augusto Vasconcellos;47;PA;General Staffer;Medium;M42082;x
42083;Minister of Armament;Riccardo Odriosola;36;LWR;Resource Industrialist;Medium;M42051;x
42084;Minister of Armament;José Estigarribia Insaurralde;37;SC;Military Entrepreneur;Medium;M42063;x
42085;Minister of Armament;Julio Manuel Morales;39;SL;laissez-faire capitalist;Medium;M42085;x
42086;Minister of Armament;Alejandro Marin;39;SD;Infantry Proponent;Medium;M42086;x
42087;Minister of Armament;Pablo Max Ynsfrán;40;PA;laissez-faire capitalist;Medium;M42044;x
42088;Minister of Armament;Salvador Villagrán Maffiodo;42;SC;Administrative Genius;Medium;M42054;x
42089;Minister of Armament;Juan Natalicio Gonzalez;44;SC;Tank Proponent;Medium;M42089;x
42090;Minister of Armament;Alírio Ugarte Díaz;46;SC;Theoretical Scientist;Medium;M42090;x
42091;Minister of Security;Urribe Chilandro;36;SD;Silent Lawyer;Medium;M42091;x
42092;Minister of Security;Efraim Cardozo;37;SL;Crime Fighter;Medium;M42045;x
42093;Minister of Security;Francisco Esculies;39;SD;Man of the People;Medium;M42055;x
42094;Minister of Security;Vicente Machuca;40;PA;Prince of Terror;Medium;M42094;x
42095;Minister of Security;Justo P. Benitez;44;SC;Compassionate Gentleman;Medium;M42095;x
42096;Minister of Security;Luis de Gasperi;46;SC;Silent Lawyer;Medium;M42096;x
42097;Head of Military Intelligence;Rafael Nieto;36;SD;Dismal Enigma;Medium;M42056;x
42098;Head of Military Intelligence;Carlos Sosa;37;SC;Naval Intelligence Specialist;Medium;M42098;x
42099;Head of Military Intelligence;Juan Teodoro Decoud;39;SL;Political Specialist;Medium;M42099;x
42100;Head of Military Intelligence;Augusto Saldívar;40;PA;Industrial Specialist;Medium;M42100;x
42101;Head of Military Intelligence;Hugo Estigarribua Elízeche;44;SC;Technical Specialist;Medium;M42046;x
42102;Head of Military Intelligence;Raúl Sapeña Pastor;46;SC;Dismal Enigma;Medium;M42102;x
42103;Chief of Staff;Rafael Franco;36;SD;School of Manoeuvre;Medium;M42047;x
42104;Chief of Staff;Manuel T. Aponte;37;SC;School of Fire Support;Medium;M42008;x
42105;Chief of Staff;Higenio Morinigo Martinez;39;SL;School of Mass Combat;Medium;M42105;x
42107;Chief of Staff;José Lezcano;44;SC;School of Manoeuvre;Medium;M42107;x
42108;Chief of Army;Juan Manuel Frutos;36;LWR;Elastic Defence Doctrine;Medium;M42006;x
42110;Chief of Army;Higenio Morinigo Martinez;39;SL;Decisive Battle Doctrine;Medium;M42064;x
42112;Chief of Army;Isaias Baez Allende;42;SC;Elastic Defence Doctrine;Medium;M42112;x
