PER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
53001;Head of State;Reza Pahlavi;36;PA;Resigned Generalissimo;High;M53001;x
53002;Head of Government;Mahmud Jam;36;PA;Silent Workhorse;High;M53002;x
53003;Foreign Minister;Inoyatullah Khan Sami;36;PA;Great Compromiser;Medium;M53003;x
53004;Minister of Armament;Ahmad Khan Nakhjaavan;36;PA;Battle Fleet Proponent;Medium;M53004;x
53005;Minister of Security;Ali Akbar Deiva;36;PA;Back Stabber;Medium;M53005;x
53006;Head of Military Intelligence;Reza Mizani;36;PA;Naval Intelligence Specialist;Medium;M53006;x
53007;Chief of Staff;Reza Pahlavi;36;PA;School of Defence;Medium;M53001;x
53008;Chief of Army;Abdolreza Afkhami;36;PA;Static Defence Doctrine;Medium;M53008;x
53009;Chief of Navy;Ahmad Mira Khosravani;36;PA;Indirect Approach Doctrine;High;M53009;x
53010;Chief of Air Force;Ahmad Khan Nakhjavan;36;PA;Naval Aviation Doctrine;High;M53004;x
53031;Head of State;Mohammed Reza Pahlavi;41;SC;Benevolent Gentleman;High;M53011;x
53032;Head of State;Mohammed Reza Pahlavi;41;PA;Autocratic Charmer;High;M53011;x
53033;Head of Government;Ahmad Matin-Daftary;39;FA;Naive Optimist;High;M53033;x
53034;Head of Government;Ali Khan Mansour;40;PA;Old General;High;M53034;x
53035;Head of Government;Mohammed Ali Foroughi;41;SC;Political Protege;High;M53015;x
53036;Head of Government;Ali Zohayli;43;SL;Smiling Oilman;High;M53036;x
53037;Head of Government;Ahmeed Qawan as Saltana;42;SC;Happy Amateur;High;M53037;x
53038;Head of Government;Mohammed Said Maraghei;44;SC;Silent Workhorse;High;M53038;x
53039;Head of Government;Sayed Morteza Khan Bayat;44;SL;FLamboyant Tough Guy;High;M53039;x
53040;Head of Government;Ibrahim Hakimi al Mulk;45;PA;Backroom Backstabber;High;M53040;x
53041;Head of Government;Muhsin Sadr al Araf;45;SC;Corporate Suit;High;M53041;x
53042;Foreign Minister;Mustafa Adil;37;PA;Biased Intellectual;Medium;M53042;x
53043;Foreign Minister;Miria Muhsin Khan;38;PA;Ideological Crusader;Medium;M53043;x
53044;Foreign Minister;Ali Zohayli;39;PA;Iron Fisted Brute;Low;M53036;x
53045;Foreign Minister;Muzzafar Alam;39;PA;Apologetic Clerk;Medium;M53045;x
