POL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
13001;Head of State;Ignacy Moscicki;36;PA;Stern Imperialist;High;M13001;x
13002;Head of Government;Marian Zyndram-Koscialkowski;36;PA;Flamboyant Tough Guy;High;M13002;x
13003;Foreign Minister;Józef Beck;36;PA;General Staffer;High;M13003;x
13004;Minister of Armament;Tadeusz Kasprzycki;36;PA;Military Entrepreneur;Medium;M13004;x
13005;Minister of Security;Wladyslaw Raczkiewicz;36;PA;Crime Fighter;Medium;M13005;x
13006;Head of Military Intelligence;T. Pelczynski-Grzegorz;36;PA;Logistics Specialist;High;M13006;x
13007;Chief of Staff;Edward Rydz-Smigly;36;PA;School of Defence;High;M13007;x
13008;Chief of Army;Edward Rydz-Smigly;36;PA;Decisive battle doctrine;High;M13007;x
13009;Chief of Navy;Jerzy Swirski;36;PA;Open Seas Doctrine;Medium;M13009;x
13010;Chief of Air Force;Józef Zajac;36;PA;Air Superiority Doctrine;Medium;M13010;x
13032;Head of State;Kazimierz Sosnkowski;39;SC;Resigned Generalissimo;High;M13032;x
13033;Head of State;Boleslaw Bierut;45;LWR;Stern Imperialist;High;M13033;x
13034;Head of State;Boleslaw Bierut;47;ST;Barking Buffoon;High;M13033;x
13035;Head of State;Boleslaw Wieniawa-Dlugoszowski;39;SL;Benevolent Gentleman;High;M13035;x
13036;Head of State;Ignacy Jan Paderewski;36;SC;Weary Stiffneck;High;M13036;x
13037;Head of State;Wladyslaw Raczkiewicz;39;ML;Insignificant Layman;High;M13005;x
13038;Head of State;Wanda Wasilewska;37;LWR;Die-hard Reformer;High;M13038;x
13039;Head of State;Wladyslaw Gomulka;42;LWR;Popular Figurehead;High;M13039;x
13040;Head of State;Walery Slawek;36;PA;Insignificant Layman;High;M13040;x
13041;Head of Government;Felicjan Slawoj-Skladkowski;36;PA;Naive Optimist;High;M13041;x
13042;Head of Government;Wojciech Korfanty;36;SL;Happy Amateur;High;M13042;x
13043;Head of Government;Wladyslaw Sikorski;39;SC;Old General;High;M13043;x
13044;Head of Government;Stanislas A. Neyman;39;SD;Smiling Oilman;High;M13044;x
13045;Head of Government;Mieczyslaw Michalowicz;42;SD;Ambitious Union Boss;High;M13045;x
13046;Head of Government;Stanislaw Mikolajczyk;43;ML;Corporate Suit;High;M13046;x
13047;Head of Government;Tomasz Arciszewski;44;SL;Political Protege;High;M13047;x
13048;Head of Government;Edward Osobka-Morawski;45;LWR;Political Protege;High;M13022;x
13049;Head of Government;Jozef Cyrenkiewicz;47;ST;Silent Workhorse;High;M13049;x
13050;Head of Government;Roman Dmowski;36;FA;Backroom Backstabber;High;M13050;x
13051;Head of Government;Tadeusz Bielecki;36;NS;Happy Amateur;High;M13051;x
13052;Head of Government;Eugeniusz Kwiatkowski;37;SL;Naive Optimist;High;M13052;x
13053;Head of Government;Marceli Nowotko;41;ST;Political Protege;High;M13053;x
13054;Head of Government;Jan Kwapinski;44;SC;Corporate Suit;High;M13054;x
13055;Head of Government;Stanislaw Osiecki;36;SD;Happy Amateur;High;M13055;x
13056;Head of Government;Boleslaw Drobner;43;LWR;Naive Optimist;High;M13056;x
13058;Foreign Minister;August Zaleski;39;SC;Ideological Crusader;High;M13012;x
13059;Foreign Minister;Edward Raczynski;41;SC;Biased Intellectual;Medium;M13059;x
13060;Foreign Minister;Tadeusz Romer;43;ML;Apologetic Clerk;Medium;M13060;x
13061;Foreign Minister;Adam Tarnowski;44;SL;Iron Fisted Brute;High;M13061;x
13062;Foreign Minister;Edward Osobka-Morawski;45;LWR;The Cloak N Dagger Schemer;Medium;M13022;x
13063;Foreign Minister;Wincenty Rzymowski;45;SD;Great Compromiser;High;M13063;x
13064;Foreign Minister;Zygmunt Modzelewski;47;ST;Biased Intellectual;High;M13064;x
13065;Foreign Minister;Jan Piekalkiewicz;39;SD;Biased Intellectual;Medium;M13065;x
13066;Foreign Minister;Henryk Leon Strasburger;38;SL;Biased Intellectual;High;M13066;x
13067;Foreign Minister;Jedrzej Giertych;36;FA;Ideological Crusader;Medium;M13067;x
13068;Foreign Minister;Ignacy Jan Paderewski;36;SD;General Staffer;High;M13036;x
13069;Foreign Minister;Boleslaw Drobner;43;LWR;Ideological Crusader;Low;M13056;x
13070;Foreign Minister;Adam Próchnik;45;SD;Biased Intellectual;Low;M13070;x
13071;Foreign Minister;Norbert Barlicki;43;LWR;Ideological Crusader;Medium;M13021;x
13072;Minister of Armament;Eugeniusz Kwiatkowski;36;PA;Administrative Genius;Very High;M13052;x
13073;Minister of Armament;Casimir Ehrenberg;39;SC;laissez-faire capitalist;Medium;M13073;x
13074;Minister of Armament;Bronislaw Regulski;41;SC;Infantry Proponent;High;M13074;x
13075;Minister of Armament;Ludwik W. Rajchmann;43;ML;Resource Industrialist;High;M13075;x
13076;Minister of Armament;Wojciech Korfanty;43;ML;Military Entrepreneur;Medium;M13042;x
13077;Minister of Armament;Stanislas A. Neyman;44;SL;Administrative Genius;High;M13044;x
13078;Minister of Armament;Herman Liebermann;45;SD;Theoretical Scientist;Medium;M13027;x
13079;Minister of Armament;Hilary Minc;47;ST;Air to Sea Proponent;Medium;M13079;x
13080;Minister of Armament;Leon Kozlowski;37;NS;Infantry Proponent;Medium;M13080;x
13081;Minister of Armament;Henryk Leon Strasburger;37;SD;laissez-faire capitalist;Medium;M13066;x
13082;Minister of Armament;Adam Koc;36;SL;Resource Industrialist;Medium;M13082;x
13083;Minister of Armament;Stanislaw Glabinski;36;FA;laissez-faire capitalist;Medium;M13083;x
13084;Minister of Armament;Jan Stefan Haneman;44;ST;Air to Ground Proponent;Medium;M13084;x
13085;Minister of Armament;Józef Niecko;36;SD;Resource Industrialist;Medium;M13085;x
13086;Minister of Armament;Michael Rola-Zymierski;44;ST;Tank Proponent;Medium;M13086;x
13087;Minister of Armament;Józef Haller;36;SL;Military Entrepreneur;Medium;M13087;x
13088;Minister of Armament;Tadeusz Lychowski;39;SD;Administrative Genius;Medium;M13088;x
13089;Minister of Security;Felicjan Slawoj-Skladkowski;36;PA;Efficient Sociopath;High;M13041;x
13090;Minister of Security;Adam Rose;39;SC;Crime Fighter;Medium;M13090;x
13091;Minister of Security;Eugeniusz Kwiatkowski;40;SC;Prince of Terror;Very High;M13052;x
13092;Minister of Security;Marjan Rudzinski;43;ML;Back Stabber;Medium;M13092;x
13093;Minister of Security;Antoni Roman;43;ML;Silent Lawyer;Low;M13093;x
13094;Minister of Security;Wincenty Witos;44;SL;Man of the People;High;M13094;x
13095;Minister of Security;Mieczyslaw Niedzialkowski;45;SD;Crime Fighter;Medium;M13095;x
13096;Minister of Security;Jakub Berman;47;ST;Prince of Terror;Medium;M13096;x
13097;Minister of Security;Stanislaw Mikolajczyk;39;SD;Man of the People;Medium;M13046;x
13098;Minister of Security;Karol Popiel;36;SL;Silent Lawyer;High;M13098;x
13099;Minister of Security;Aleksander Zawadzki;43;ST;Compassionate Gentleman;Medium;M13099;x
13100;Minister of Security;Waclaw Mohl;40;PA;Compassionate Gentleman;Medium;M13100;x
13101;Minister of Security;Mieczyslaw Trajdos;38;FA;Silent Lawyer;Medium;M13101;x
13102;Minister of Security;Kazimierz Switalski;36;PA;Efficient Sociopath;Medium;M13102;x
13103;Minister of Security;Witold Grabowski;36;PA;Crime Fighter;Medium;M13103;x
13104;Minister of Security;Janusz Radziwill;36;PA;Man of the People;Medium;M13104;x
13105;Minister of Security;Kazimierz Bartel;36;PA;Back Stabber;Medium;M13105;x
13107;Head of Military Intelligence;Adam Tarnowski;39;SC;Dismal Enigma;High;M13061;x
13108;Head of Military Intelligence;Feliks Koneczny;43;ML;Technical Specialist;High;M13108;x
13109;Head of Military Intelligence;Alfred Leon Konopka;44;SL;Political Specialist;High;M13109;x
13110;Head of Military Intelligence;Mieczyslaw Sokolowski;45;SD;Industrial Specialist;High;M13110;x
13111;Head of Military Intelligence;Stanislaw Dubois;45;ST;Political Specialist;Medium;M13026;x
13112;Head of Military Intelligence;Ignacy Matuszewski;37;SC;Logistics Specialist;Medium;M13112;x
13113;Head of Military Intelligence;Jan Kowalewski;36;PA;Dismal Enigma;Medium;M13113;x
13114;Head of Military Intelligence;Wieslaw Domaniewski;38;SL;Technical Specialist;High;M13114;x
13115;Chief of Staff;Waclaw Stachiewicz;36;PA;School of Fire Support;Low;M13115;x
13116;Chief of Staff;Wladyslaw Sikorski;39;SC;School of Manoeuvre;Medium;M13043;x
13117;Chief of Staff;Michael Karaszewicz-Tokarzewski;43;ML;School of Defence;Medium;M13117;x
13118;Chief of Staff;Stefan Rowecki;43;ML;School of Psychology;Medium;M13118;x
13119;Chief of Staff;Tadeusz Bor-Komorowski;43;SL;School of Mass Combat;Medium;M13119;x
13120;Chief of Staff;Stanislaw Kopanski;44;SL;School of Manoeuvre;High;M13120;x
13121;Chief of Staff;Leopold Okulicki;45;SD;School of Fire Support;Low;M13121;x
13122;Chief of Staff;Michal Rola-Zymierski;44;ST;School of Mass Combat;Medium;M13122;x
13124;Chief of Army;Wladyslaw Sikorski;39;SC;Guns and Butter Doctrine;Medium;M13043;x
13125;Chief of Army;Wladyslaw Anders;43;ML;Elastic Defence Doctrine;Medium;M13125;x
13126;Chief of Army;Tadeusz Bor-Komorowski;44;SL;Guns and Butter Doctrine;Medium;M13119;x
13127;Chief of Army;Michal Rola-Zymierski;45;ST;Armoured Spearhead Doctrine;Medium;M13122;x
13128;Chief of Army;Wladyslaw Grabsky;45;SD;Guns and Butter Doctrine;Medium;M13128;x
13129;Chief of Army;Jan Kowalewski;37;FA;Elastic Defence Doctrine;Low;M13113;x
13130;Chief of Navy;Jozef Unrug;36;PA;Indirect Approach Doctrine;Medium;M13130;x
13131;Chief of Navy;Francois Sokal;39;SC;Open Seas Doctrine;Medium;M13131;x
13132;Chief of Navy;Leon Chajn;43;ML;Base Control Doctrine;Medium;M13132;x
13133;Chief of Navy;Adam Rapacki;45;LE;Power Projection Doctrine;High;M13029;x
13134;Chief of Air Force;Ludomil Rayski;36;PA;Army Aviation Doctrine;Medium;M13134;x
13135;Chief of Air Force;Stanislaw Pawluc;39;SC;Air Superiority Doctrine;Medium;M13135;x
13136;Chief of Air Force;Wladyslaw Kalkus;43;SL;Carpet Bombing Doctrine;Medium;M13136;x
13137;Chief of Air Force;Czeslaw Bieszczad;45;ST;Army Aviation Doctrine;Very High;M13137;x
13011;Head of State;Boleslaw Piasecki;36;PA;Barking Buffoon;High;M13011;x
13012;Head of Government;August Zaleski;36;PA;Happy Amateur;High;M13012;x
13013;Foreign Minister;Jan hr. Szembek;36;PA;Apologetic Clerk;Low;M13013;x
13014;Minister of Armament;Jerzy Zdziechowski;36;NS;Corrupt Kleptocrat;Medium;M13014;x
13015;Minister of Security;Leon Joseph Baranski;36;PA;Back Stabber;Medium;M13015;x
13016;Head of Military Intelligence;Janusz Zoltowski;36;FA;Dismal Enigma;Medium;M13016;x
13017;Chief of Staff;Wladyslaw Moczar;36;FA;School of Psychology;Medium;M13017;x
13018;Chief of Army;Tomislaw Lupaszko;36;PA;Decisive Battle Doctrine;Low;M13018;x
13019;Chief of Navy;Jan Kiwerski;36;FA;Indirect Approach Doctrine;Low;M13019;x
13020;Chief of Air Force;Alfred Chlapowski;36;FA;Army Aviation Doctrine;Low;M13020;x
13021;Head of State;Norbert Barlicki;36;ST;Ruthless Powermonger;High;M13021;x
13022;Head of Government;Edward Osobka-Morawski;36;ST;Political Protege;High;M13022;x
13023;Foreign Minister;Pawel Finder;36;LE;The Cloak N Dagger Schemer;Low;M13023;x
13024;Minister of Armament;Zygmunt Berling;36;ST;Infantry Proponent;Medium;M13024;x
13025;Minister of Security;Stanislaw Radkiewicz;36;ST;Efficient Sociopath;Medium;M13025;x
13027;Chief of Staff;Herman Liebermann;36;LWR;School of Psychology;Medium;M13027;x
13028;Chief of Army;Karol Swierczewski;36;ST;Decisive Battle doctrine;Low;M13028;x
13030;Chief of Air Force;Ludwik Grosfeld;36;LWR;Carpet Bombing Doctrine;Very High;M13030;x
13138;Head of Government;Boleslaw Bierut;52;ST;Flamboyant Tough Guy;High;M13033;x
13139;Foreign Minister;Stanislaw Skrzeszewski;51;ST;Apologetic Clerk;High;M13139;x
13140;Minister of Armament;Konstanty Dabrowski;45;ST;Resource Industrialist;Medium;M13140;x
13141;Head of Military Intelligence;Henryk Swiatkowski;47;ST;Dismal Enigma;Medium;M13141;x
