PRU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
39001;Head of State;Oscar Benavides Larrea;36;PA;Resigned Generalissimo;High;M39001;x
39002;Head of Government;Manuel Esteban Rodríguez;36;PA;Old General;High;M39002;x
39003;Foreign Minister;Alberto Ulloa Sotomayor;36;PA;Iron Fisted Brute;Medium;M39003;x
39004;Minister of Armament;Ernesto Scroth;36;PA;Battle Fleet Proponent;Medium;M39004;x
39005;Minister of Security;Luis Sanchez Cerro;36;PA;Back Stabber;Medium;M39005;x
39006;Head of Military Intelligence;Oscar Gilardi;36;PA;Technical Specialist;Very Low;M39006;x
39007;Chief of Staff;Gustavo Jimenez;36;PA;School of Psychology;Medium;M39007;x
39008;Chief of Army;Oscar Benavides Larrea;36;PA;Static Defence Doctrine;Medium;M39001;x
39009;Chief of Navy;Ernesto Scroth;36;PA;Open Seas Doctrine;Medium;M39004;x
39010;Chief of Air Force;Paul de Beaudiez;36;PA;Army Aviation Doctrine;Medium;M39010;x
39031;Head of State;Oscar Benavides Larrea;36;SC;Resigned Generalissimo;High;M39001;x
39032;Head of State;Manuel Prado y Ugarteche;39;SC;Autocratic Charmer;High;M39032;x
39033;Head of State;José Bustamante y Rivero;45;ML;Benevolent Gentleman;High;M39033;x
39034;Head of State;Augusto Leguia Swayne;36;LWR;Powerhungry Demagogue;High;M39034;x
39035;Head of State;Reynaldo Vinatea;39;SD;Barking Buffoon;High;M39035;x
39036;Head of State;Eloy G. Ureta;45;SD;Resigned Generalissimo;High;M39036;x
39037;Head of Government;Ernesto Montagne Sanchez;36;SC;Smiling Oilman;High;M39037;x
39038;Head of Government;Augusto Leguia Swayne;36;LWR;Happy Amateur;High;M39034;x
39039;Head of Government;Adolfo Solf y Muro;39;SC;Naive Optimist;High;M39039;x
39040;Head of Government;Oscar Miro Quesada;39;SD;Silent Workhorse;High;M39040;x
39041;Head of Government;Manuel Cisneros Sanchez;44;ML;Political Protege;High;M39041;x
39042;Head of Government;Julio Tello East;45;SL;Smiling Oilman;High;M39042;x
39043;Head of Government;Enrique García Sayan;45;ML;Flamboyant Tough Guy;High;M39043;x
39044;Head of Government;David S. Ocampo;45;SD;Ambitious Union Boss;High;M39044;x
39045;Head of Government;Rafel Belaunde Díez;46;ML;Naive Optimist;High;M39045;x
39046;Head of Government;Julio Portugal Montero;47;ML;Silent Workhorse;High;M39046;x
39047;Foreign Minister;Carlos Concha;36;SC;Apologetic Clerk;Medium;M39047;x
39048;Foreign Minister;Rafael Escardo;36;SD;General Staffer;Medium;M39048;x
39049;Foreign Minister;Enrique Goytisola Bolognesi;39;SC;Iron Fisted Brute;Medium;M39049;x
39050;Foreign Minister;Reynaldo Vinatea;39;SD;Ideological Crusader;Medium;M39035;x
39051;Foreign Minister;Adolfo Solf y Muro;40;SC;The Cloak N Dagger Schemer;High;M39039;x
39052;Foreign Minister;Manuel Gallagher;44;SC;General Staffer;High;M39052;x
39053;Foreign Minister;Manuel Gallagher;45;SL;Biased Intellectual;High;M39052;x
39054;Foreign Minister;Javier Correa Elías;45;ML;Iron Fisted Brute;High;M39054;x
39055;Foreign Minister;Oscar Miro Quesada;45;SD;The Cloak N Dagger Schemer;Medium;M39040;x
39056;Foreign Minister;Enrique García Sayan;46;ML;The Cloak N Dagger Schemer;Medium;M39043;x
39057;Foreign Minister;Manuel Prado y Ugarteche;47;SD;Apologetic Clerk;Medium;M39032;x
39058;Minister of Armament;José Julio Bravo;36;SC;Submarine Proponent;High;M39058;x
39059;Minister of Armament;Luis Sanchez Cerro;38;SC;Infantry Proponent;Medium;M39005;x
39060;Minister of Armament;Teófilo Iglesias;36;SD;Tank Proponent;High;M39060;x
39061;Minister of Armament;Augusto Leguia Swayne;39;SC;Administrative Genius;High;M39034;x
39062;Minister of Armament;Manuel Vásquez Díaz;39;SD;Air to Ground Proponent;High;M39062;x
39063;Minister of Armament;David S. Ocampo;39;SD;Military Entrepreneur;Medium;M39044;x
39064;Minister of Armament;Eduardo Rebagliati Martins;41;SC;Military Entrepreneur;High;M39064;x
39065;Minister of Armament;David Dasso;42;SC;laissez-faire capitalist;High;M39065;x
39066;Minister of Armament;Oscar Trelles Montés;43;SC;Submarine Proponent;Medium;M39066;x
39067;Minister of Armament;Julio Portugal Montero;44;ML;Theoretical Scientist;Medium;M39046;x
39068;Minister of Armament;Benjamín Roca;44;ML;Theoretical Scientist;High;M39068;x
39069;Minister of Armament;Alberto Roque Saldías;45;ML;Battle Fleet Proponent;Medium;M39069;x
39070;Minister of Armament;Guillermo Almenara Irigoyen;45;ML;Administrative Genius;Medium;M39070;x
39071;Minister of Armament;Luis Ramírez Ortiz;46;SD;Infantry Proponent;Medium;M39071;x
39072;Minister of Armament;Rómulo Ferrero;46;ML;Laissez-Faire Capitalist;Medium;M39072;x
39073;Minister of Armament;Constantino Carvallo;47;SD;Strategic Air Proponent;Medium;M39024;x
39074;Minister of Armament;Ernesto Scroth;47;SD;Battle Fleet Proponent;Medium;M39004;x
39075;Minister of Security;Benigno Ballón Farfán;36;SC;Crooked Kleptocrat;Medium;M39075;x
39076;Minister of Security;Eleodoro Romero;37;SC;Silent Lawyer;Medium;M39076;x
39077;Minister of Security;Victor N. Benavente;36;SD;Silent Lawyer;Medium;M39077;x
39079;Minister of Security;Antonio Rodríguez Ramírez;39;SD;Compassionate Gentleman;Medium;M39079;x
39080;Minister of Security;Luis A. Flores;40;SC;Prince of Terror;Low;M39015;x
39081;Minister of Security;Carlos Berninzon;42;SC;Compassionate Gentleman;Low;M39081;x
