QUE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
582001;Head of State;H.R.H. Louis Napoleon;36;PA;Autocratic Charmer;High;M582001;x
582002;Head of Government;Adelard Godbout;36;PA;Naive Optimist;High;M582002;x
582003;Foreign Minister;David Roux;36;PA;The Cloak N Dagger Schemer;High;M582003;x
582004;Minister of Armament;Romain Barriere;36;PA;Battle Fleet Proponent;Medium;M582004;x
582005;Minister of Security;Jacques Moreau;36;PA;Man of the People;Medium;M582005;x
582006;Head of Military Intelligence;Pierre La Liberte;36;PA;Industrial Specialist;Medium;M582006;x
582007;Chief of Staff;Pierre Boutet;36;PA;School of Psychology;Medium;L52008;x
582008;Chief of Army;Pierre Leclerc;36;PA;Guns and Butter Doctrine;Medium;L52035;x
582009;Chief of Navy;Antoine Powell;36;PA;Open Seas Doctrine;Medium;M582009;x
582010;Chief of Air Force;Jean Gabriel Fultz;36;PA;Naval Aviation Doctrine;Medium;L52103;x
