RHO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
553001;Head of State;Sir Herbert J. Stanley;36;ML;Insignificant Layman;High;M553001;x
553002;Head of Government;Godfrey Martin Huggins;36;ML;Corporate Suit;High;M553002;x
553003;Foreign Minister;Sir Evelyn Baring;36;ML;Iron Fisted Brute;High;M553003;x
553004;Minister of Armament;Sir Robert J. Hudson;36;ML;Administrative Genius;Medium;M553004;x
553005;Minister of Security;Anthony Sillery;36;ML;Crime Fighter;Medium;M553005;x
553006;Head of Military Intelligence;Sir Philip W. Richardson;36;ML;Industrial Specialist;Medium;M553006;x
553007;Chief of Staff;Eric de Burgh;36;ML;School of Fire Support;Medium;L1094;x
553008;Chief of Army;Philip Carrington;36;ML;Static Defence Doctrine;Medium;M553008;x
553009;Chief of Navy;Cecil Drummond;36;ML;Power Projection Doctrine;Medium;M553009;x
553010;Chief of Air Force;Sir Charles Arden-Clarke;36;ML;Naval Aviation Doctrine;Medium;M551008;x
553011;Head of State;H.H. Litunga Yeta III;36;PA;Barking Buffoon;High;M553011;x
553012;Head of State;Sir Hubert Winthrop-Young;36;SL;Stern Imperialist;High;M553012;x
553013;Head of State;Kenneth Kaunda;36;SD;Powerhungry Demagogue;High;M553013;x
553014;Head of Government;Donald McKenzie-Kennedy;36;PA;old airmarshal;High;M553014;x
553015;Head of Government;Sir Charles Arden-Clarke;36;SL;Old General;High;M551012;x
553016;Head of Government;Hastings Kamuzu Banda;36;SD;Ambitious Union Boss;High;M553016;x
553017;Foreign Minister;Kgoshi III Khama;36;PA;Biased Intellectual;High;M553017;x
553018;Foreign Minister;Sir Harold B. Kittermaster;36;SL;Ideological Crusader;High;M553018;x
553019;Foreign Minister;Sir Seretse Khama;36;SD;Apologetic Clerk;High;M553019;x
553020;Minister of Armament;Sir Roy Welensky;36;PA;Air to Ground Proponent;Medium;M553020;x
553021;Minister of Armament;Mulena Yomohulu;36;SL;Corrupt Kleptocrat;Medium;M553021;x
553022;Minister of Armament;Paed O'Reilly;42;SL;Tank Proponent;Medium;M553022;x
553023;Minister of Armament;Eubule James Waddington;36;SD;Theoretical Scientist;Medium;M553023;x
553024;Minister of Security;Enderby Khamatse;36;PA;Prince of Terror;Medium;M553024;x
553025;Minister of Security;Maxwell MacDiarmid;41;PA;Man of the People;Medium;M553025;x
553026;Minister of Security;Robert Smythe-Cramer;36;SL;Crooked Kleptocrat;Medium;M553026;x
553027;Minister of Security;Violet Grigg;42;SL;Silent Lawyer;Medium;M553027;x
553028;Minister of Security;Henry Nkumbula;36;SD;Back Stabber;Medium;M553028;x
553029;Minister of Security;Muzi Hlongwa;43;SD;Compassionate Gentleman;Medium;M553029;x
553030;Head of Military Intelligence;Peter Youens;36;PA;Naval Intelligence Specialist;Medium;M553030;x
553031;Head of Military Intelligence;John Alexander Maybin;41;PA;Political Specialist;Medium;M553031;x
553032;Head of Military Intelligence;Duncan McAllister;36;SL;Dismal Enigma;Medium;M553032;x
553033;Head of Military Intelligence;John Mwanakatwe;36;SD;Technical Specialist;Medium;M553033;x
553034;Head of Military Intelligence;Tshekedi Khama;43;SD;Logistics Specialist;Medium;M553034;x
553035;Chief of Staff;G.W.D. Nicholson;36;PA;School of Mass Combat;Medium;M553035;x
553036;Chief of Staff;Thomas Rees;41;ML;School of Manoeuvre;Medium;L1260;x
553037;Chief of Staff;Mulena Yomohulu;36;SL;School of Defence;Medium;M553021;x
553038;Chief of Staff;C.M. Grigg;36;SD;School of Psychology;Medium;M553038;x
553039;Chief of Army;Ferdinand Charles Stanley;36;PA;Guns and Butter Doctrine;Medium;M553039;x
553040;Chief of Army;Dennis C. Capell-Dunn;41;ML;Armoured Spearhead Doctrine;Medium;M553040;x
553041;Chief of Army;Mbumu wa Ltunga;36;SL;Elastic Defence Doctrine;Medium;M553041;x
553042;Chief of Army;Yomohulu Mburnu;36;SD;Decisive Battle Doctrine;Medium;M553042;x
553043;Chief of Navy;H.H. Litunga Yeta III;36;PA;Base Control Doctrine;Medium;M553011;x
553044;Chief of Navy;Tommy Gould;41;ML;Indirect Approach Doctrine;Medium;M74009;x
553045;Chief of Navy;George Squance;36;SL;Open Seas Doctrine;Medium;M553045;x
553046;Chief of Navy;Mbumu wa Ltunga;36;SD;Decisive Naval Battle Doctrine;Medium;M553041;x
553047;Chief of Air Force;Donald McKenzie-Kennedy;36;PA;Army Aviation Doctrine;Medium;M553014;x
553048;Chief of Air Force;Herbert Croucher;36;SL;Carpet Bombing Doctrine;Medium;M553048;x
553049;Chief of Air Force;John Mwanakatwe;36;SD;Vertical Envelopment Doctrine;Medium;M553033;x
