ROM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
22001;Head of State;Carol II;36;SC;Benevolent Gentleman;High;M22001;x
22002;Head of Government;Gheorghe Tatarescu;36;SC;Silent Workhorse;High;M22002;x
22003;Foreign Minister;Nicolae Titulescu;36;SC;Great Compromiser;Medium;M22003;x
22004;Minister of Armament;Constantin Bratianu;36;SC;Resource Industrialist;High;M22004;x
22005;Minister of Security;Istrate Micescu;36;SC;Silent Lawyer;Medium;M22005;x
22006;Head of Military Intelligence;Mihail Moruzov;36;SC;Logistics Specialist;Very High;M22006;x
22007;Chief of Staff;Ion Antonescu;36;SC;School of Psychology;High;M22007;x
22008;Chief of Army;Marin Ceausu;36;SC;Static Defence Doctrine;Low;M22008;x
22009;Chief of Navy;Nicolae Caranfil;36;SC;Decisive Naval Battle Doctrine;Low;M22009;x
22010;Chief of Air Force;Dante Vizante;36;SC;Air Superiority Doctrine;Medium;M22010;x
22031;Head of State;Carol II;36;SL;Benevolent Gentleman;High;M22001;x
22032;Head of State;Carol II;36;PA;Benevolent Gentleman;High;M22001;x
22034;Head of State;Mihai I;39;SC;Insignificant Layman;High;M22011;x
22035;Head of State;Mihai I;39;FA;Insignificant Layman;High;M22011;x
22037;Head of State;Mihai I;39;ST;Insignificant Layman;High;M22011;x
22038;Head of State;Constantin I. Parhon;36;ST;Powerhungry Demagogue;High;M22038;x
22039;Head of State;Carol II;36;NS;Benevolent Gentleman;High;M22001;x
22040;Head of State;Mihai I;39;NS;Insignificant Layman;High;M22011;x
22041;Head of Government;Octavian Goga;38;SL;Happy Amateur;High;M22041;x
22042;Head of Government;Miron Cristea;38;PA;naive optimist;High;M22042;x
22043;Head of Government;Armand Calinescu;39;SL;Smiling Oilman;High;M22043;x
22044;Head of Government;Gheorghe Argeseanu;39;SL;Silent Workhorse;High;M22044;x
22045;Head of Government;Constantin Argetoianu;39;SL;Political Protege;High;M22045;x
22047;Head of Government;Ion Gigurtu;40;SL;Corporate Suit;High;M22047;x
22048;Head of Government;Ion Antonescu;40;FA;Old General;High;M22012;x
22049;Head of Government;Constantin Sanatescu;44;PA;Old General;High;M22049;x
22050;Head of Government;Nicolae Radescu;44;SC;Happy Amateur;High;M22050;x
22051;Head of Government;Petru Groza;45;ST;Backroom Backstabber;High;M22022;x
22052;Head of Government;Gheorghe Gheorghiu-Dej;52;ST;Political Protege;High;M22052;x
22053;Head of Government;Corneliu Codreanu;36;NS;Flamboyant Tough Guy;High;M22053;x
22054;Head of Government;Horia Sima;38;NS;Happy Amateur;High;M22054;x
22055;Head of Government;Iuliu Maniu;38;SD;Naive Optimist;High;M22055;x
22056;Head of Government;Constantin Bratianu;45;SC;Corporate Suit;High;M22004;x
22057;Foreign Minister;Ion Antonescu;36;SC;General Staffer;Medium;M22007;x
22058;Foreign Minister;Istrate Micescu;38;SL;Great Compromiser;Medium;M22005;x
22059;Foreign Minister;Gheorghe Tatarescu;38;PA;Iron Fisted Brute;Medium;M22002;x
22070;Foreign Minister;Nicolae Petrescu-Comnen;38;PA;Apologetic Clerk;Medium;M22070;x
22071;Foreign Minister;Grigore Gafencu;39;SL;Biased Intellectual;Low;M22071;x
22072;Foreign Minister;Ion Gigurtu;40;SC;Ideological Crusader;Medium;M22047;x
22073;Foreign Minister;Constantin Argetoianu;39;SC;General Staffer;Medium;M22045;x
22074;Foreign Minister;Mihail Manoilescu;40;SL;Apologetic Clerk;Medium;M22074;x
22075;Foreign Minister;Mihail Sturdza;40;FA;Ideological Crusader;Medium;M22013;x
22076;Foreign Minister;Ion Antonescu;40;FA;General Staffer;Medium;M22007;x
22077;Foreign Minister;Mihai Antonescu;40;FA;The Cloak N Dagger Schemer;Low;M22077;x
22078;Foreign Minister;Grigore Niculesco-Buzesti;44;PA;Apologetic Clerk;Medium;M22078;x
22079;Foreign Minister;Constantin Visoianu;44;SC;The Cloak N Dagger Schemer;Medium;M22079;x
22080;Foreign Minister;Gheorghe Tatarescu;45;LE;Iron Fisted Brute;Medium;M22002;x
22081;Foreign Minister;Ana Pauker;47;ST;Ideological Crusader;Very High;M22023;x
22082;Foreign Minister;Corneliu Codreanu;37;NS;Ideological Crusader;Low;M22053;x
22083;Foreign Minister;Constantin I. Parhon;37;ST;Great Compromiser;Low;M22038;x
22084;Foreign Minister;Iuliu Hossu;38;SD;Great Compromiser;Medium;M22084;x
22085;Foreign Minister;Ion Antonescu;40;NS;General Staffer;Medium;M22012;x
22086;Foreign Minister;Georges Oprescu;38;SD;Biased Intellectual;Medium;M22086;x
22087;Minister of Armament;Virgil Madgearu;38;SL;Administrative Genius;Medium;M22087;x
22088;Minister of Armament;Caius Brediceanu;38;PA;laissez-faire capitalist;High;M22088;x
22089;Minister of Armament;Constantin Bratianu;39;SL;Resource Industrialist;High;M22004;x
22091;Minister of Armament;Iuliu Maniu;39;SC;Administrative Genius;Medium;M22055;x
22092;Minister of Armament;Constantin Antoniade;40;SL;laissez-faire capitalist;Low;M22092;x
22093;Minister of Armament;Gheorghe Potopeanu;40;FA;Military Entrepreneur;High;M22093;x
22094;Minister of Armament;Gheorghe Dobre;42;FA;Infantry Proponent;High;M22094;x
22095;Minister of Armament;Nicolae Stoenescu;44;PA;Tank Proponent;Medium;M22095;x
22096;Minister of Armament;Mihail Racovitza;44;SC;Infantry Proponent;High;M22096;x
22097;Minister of Armament;Constantin Papanace;43;NS;Administrative Genius;Low;M22014;x
22098;Minister of Armament;Vasile Luca;45;ST;Administrative Genius;High;M22024;x
22099;Minister of Security;Armand Calinescu;38;SL;Prince of Terror;High;M22043;x
22100;Minister of Security;Cesare Vaida-Voievod;38;PA;Crime Fighter;Medium;M22100;x
22101;Minister of Security;Ion Mihalache;39;SL;Man of the People;Low;M22101;x
22102;Minister of Security;Alexander Cuza;39;SD;Prince of Terror;Medium;M22102;x
22104;Minister of Security;Vasile Goldis;40;SL;Man of the People;Medium;M22104;x
22105;Minister of Security;Istrate Micescu;40;FA;Crime Fighter;Medium;M22005;x
22106;Minister of Security;David Popescu;41;FA;Prince of Terror;Medium;M22106;x
22107;Minister of Security;Ion Boiteanu;44;PA;Man of the People;Medium;M22107;x
22108;Minister of Security;Nicolae Radescu;44;SC;Compassionate Gentleman;High;M22050;x
22109;Minister of Security;Aurel Aldea;45;SC;Back Stabber;Medium;M22109;x
22110;Minister of Security;Horia Sima;40;NS;Efficient Sociopath;High;M22054;x
22111;Minister of Security;Ion Petrovicescu;43;NS;Efficient Sociopath;Low;M22015;x
22112;Minister of Security;Teohari Georgescu;45;ST;Back Stabber;High;M22025;x
22113;Head of Military Intelligence;Helene Vacaresco;38;SL;Dismal Enigma;Medium;M22113;x
22114;Head of Military Intelligence;Nicolae Stoenescu;38;PA;Political Specialist;Medium;M22095;x
22115;Head of Military Intelligence;Nicolas Titulesco;39;SL;Industrial Specialist;Medium;M22115;x
22117;Head of Military Intelligence;Gheorghe Savoia;39;SC;Logistics Specialist;Low;M22117;x
22118;Head of Military Intelligence;Iosif Iacobici;40;FA;Logistics Specialist;Very High;M22118;x
22119;Head of Military Intelligence;Petre Antonescu;41;FA;Dismal Enigma;Very High;M22119;x
22120;Head of Military Intelligence;Eugen Cristescu;43;NS;Dismal Enigma;Very High;M22016;x
22121;Head of Military Intelligence;Demetre Jancovici;45;ST;Political Specialist;Medium;M22026;x
22122;Head of Military Intelligence;Serghei Nicolau;46;ST;Technical Specialist;High;M22122;x
22123;Chief of Staff;Mihail Racovitza;38;SL;School of Manoeuvre;High;M22096;x
22124;Chief of Staff;Florea Tenescu;38;PA;School of Defence;Low;M22124;x
22125;Chief of Staff;Ioan Ilcusu;39;SL;School of Defence;Medium;M22125;x
22126;Chief of Staff;Constantin Pantazi;39;SC;School of Defence;High;M22126;x
22127;Chief of Staff;Ion Antonescu;40;FA;School of Mass Combat;High;M22012;x
22128;Chief of Staff;Radu Korne;43;FA;School of Manoeuvre;High;M22128;x
22129;Chief of Staff;Constantin Sanatescu;44;PA;School of Fire Support;High;M22049;x
22130;Chief of Staff;Gheorghe-Sinaia Ionescu;44;SC;School of Defence;Medium;M22130;x
22131;Chief of Staff;Mihail Lascar;45;ST;School of Mass Combat;Very High;M22027;x
22132;Chief of Staff;Platon Chirnoaga;36;NS;School of Psychology;High;M22132;x
22133;Chief of Staff;Gheorghe Argeseanu;40;NS;School of Fire Support;Medium;M22133;x
22134;Chief of Staff;Ion Antonescu;43;NS;School of Mass Combat;High;M22012;x
