RSI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
508001;Head of State;Benito Mussolini;36;NS;BArking Buffoon;High;M3002;x
508002;Head of Government;Achille Starace;36;NS;Political Protege;High;M3126;x
508003;Foreign Minister;Eduardo Moroni;36;FA;Biased Intellectual;High;M508003;x
508004;Minister of Armament;Giampietro Pellegrini;36;NS;Military Entrepreneur;Medium;M508004;x
508005;Minister of Security;Guido Buffarini-Guidi;36;FA;Efficient Sociopath;Very High;M3005;x
508006;Head of Military Intelligence;Carlo Sambruni;36;FA;Dismal Enigma;Medium;M508006;x
508007;Chief of Staff;Gastone Gambara;36;FA;School of Mass Combat;Medium;L6074;x
508008;Chief of Army;Rodolfo Graziani;36;FA;Decisive Battle Doctrine;Medium;M508008;x
508009;Chief of Navy;Pier Angelo Brandimarte;36;FA;Open Seas Doctrine;Medium;L6280;x
508010;Chief of Air Force;Arrigo Tessari;36;FA;Army Aviation Doctrine;Medium;L6283;x
508011;Head of State;Paolo Thaon di Revel;45;NS;Resigned Generalissimo;High;M3035;x
508012;Head of Government;Junio Borghese;45;NS;Corporate Suit;High;M508012;x
508013;Foreign Minister;Mario Mangani;42;NS;The Cloak N Dagger Schemer;High;M508013;x
508014;Minister of Armament;Romano Ruggero;36;NS;Theoretical Scientist;Medium;M508014;x
508015;Minister of Armament;G. Imperiali de Francarillo;45;NS;Administrative Genius;High;M3071;x
508016;Minister of Armament;Fernando Mezzasoma;43;FA;Infantry Proponent;High;M508016;x
508017;Minister of Security;Alessandro Pavolini;36;NS;Prince of Terror;Very High;M508017;x
508018;Minister of Security;Renzo Montagna;43;FA;Crime Fighter;Very High;L6265;x
508019;Minister of Security;Luigi Pisenti;36;FA;Silent Lawyer;Very High;M508019;x
508020;Head of Military Intelligence;Pio Filippani Ronconi;45;NS;Logistics Specialist;Medium;M508020;x
508021;Head of Military Intelligence;Bruno Perego;40;FA;Technical Specialist;Medium;M508021;x
508022;Head of Military Intelligence;Carlo Alberto Biggini;36;NS;Industrial Specialist;Medium;M508022;x
508023;Chief of Staff;Alessandro Pavolini;36;NS;School of Defence;Medium;M508017;x
508024;Chief of Army;Junio Borghese;36;NS;Decisive Battle Doctrine;High;M508012;x
508025;Chief of Navy;Carlo di Cossata;36;FA;Indirect Approach Doctrine;Medium;L6164;x
508026;Chief of Air Force;Rino Corso Fougier;45;NS;Air Superiority Doctrine;Low;M3161;x
508027;Chief of Air Force;Ruggero Bonomi;43;FA;Vertical Envelopment Doctrine;Low;M508027;x
508028;Minister of Armament;Karl Wolff;43;NS;Military Entrepreneur;High;M508028;x
508035;Minister of Armament;Rodolfo Graziani;36;FA;Infantry Proponent;High;M508008;x
508029;Minister of Security;Karl Wolff;43;NS;Compassionate Gentleman;High;M508028;x
508031;Chief of Staff;Albert Kesselring;42;NS;School of Defence;Very High;M508031;x
508030;Chief of Staff;Karl Wolff;43;NS;School of Psychology;High;M508028;x
508032;Chief of Army;Albert Kesselring;42;NS;Elastic Defence Doctrine;Very High;M508031;x
508034;Chief of Army;Heinrich Gottfried von Vietinghoff-Scheel;44;FA;Armoured Spearhead Doctrine;High;M508034;x
508033;Chief of Air Force;Albert Kesselring;42;NS;Army Aviation Doctrine;Very High;M508031;x
