RUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
4153;Head of State;H.R.H. Kyrill Romanov;36;FA;Weary Stiffneck;High;M4080;x
4154;Head of Government;Gregori Zhilenkov;36;FA;Silent Workhorse;High;M4081;x
4155;Foreign Minister;Nikolai Pokrovsky;36;FA;General Staffer;Low;M4082;x
4156;Minister of Armament;Nikolai Maklakov;36;FA;Military Entrepreneur;Medium;M4083;x
4157;Minister of Security;Vladimir Malyshkin;36;FA;Back Stabber;Very High;M4084;x
4158;Head of Military Intelligence;Mikhail Meandrov;36;FA;Dismal Enigma;Very High;M4085;x
4159;Chief of Staff;Anton Denikin;36;FA;School of Mass Combat;High;L500009;x
4160;Chief of Army;Lavrentij Kornilov;36;FA;Guns and Butter Doctrine;Very High;M4087;x
4161;Chief of Navy;Boris Makaroff;36;FA;Decisive Naval Battle Doctrine;High;M4088;x
4145;Chief of Air Force;Ivan Taube;36;FA;Air Superiority Doctrine;High;M4145;x
4163;Head of State;Andrei Vlasov;36;NS;Resigned Generalissimo;High;M4090;x
4164;Head of State;H.R.H. Vladimir Romanov;36;PA;Benevolent Gentleman;High;M4091;x
4165;Head of State;Alexander Kerensky;36;SC;Die-hard Reformer;High;M4092;x
4166;Head of Government;Nikolai Yezhov;36;NS;Backroom Backstabber;High;M4093;x
4095;Head of Government;Iraklij Tsereteliy;36;SC;Naive Optimist;High;M4095;x
4096;Foreign Minister;Boris Sturmer;36;FA;Iron Fisted Brute;Low;M4096;x
4097;Foreign Minister;Fedor Chicherin;36;NS;Biased Intellectual;Low;M4097;x
4098;Foreign Minister;Georgij Brassov;36;NS;The Cloak N Dagger Schemer;Low;M4098;x
4099;Foreign Minister;Boris Chernov;36;PA;Apologetic Clerk;Low;M4099;x
4100;Foreign Minister;Piotr Plehanov;36;PA;Ideological Crusader;Low;M4100;x
4101;Foreign Minister;Oleg Milyukov;36;SC;Great Compromiser;Low;M4101;x
4102;Foreign Minister;Pavel Konovalov;36;SC;Apologetic Clerk;Low;M4102;x
4103;Minister of Armament;Sergei Rodzyanko;36;FA;Resource Industrialist;Medium;M4103;x
4104;Minister of Armament;Nicholas Krasnov;36;NS;Administrative Genius;Medium;M4104;x
4105;Minister of Armament;Boris Komenenov;36;NS;Resource Industrialist;Medium;M4105;x
4106;Minister of Armament;Georgij Brassov;36;PA;Resource Industrialist;Medium;M4098;x
4107;Minister of Armament;Yurij Rosenfeld;36;PA;Theoretical Scientist;Medium;M4107;x
4108;Minister of Armament;Sergei Savinkov;36;SC;Theoretical Scientist;Medium;M4108;x
4109;Minister of Armament;Boris Maltcheff;36;SC;Infantry Proponent;Medium;M4109;x
4110;Minister of Security;Sergei Sazonov;36;FA;Compassionate Gentleman;Very High;M4110;x
4111;Minister of Security;Grigorij R. Semyonov;36;NS;Crime Fighter;Very High;M4111;x
4112;Minister of Security;Felix Yussopov;36;NS;Back Stabber;Very High;M4112;x
4113;Minister of Security;Sergei Rodzyanko;36;PA;Silent Lawyer;Very High;M4103;x
4114;Minister of Security;Nikolai Yezhov;36;PA;Back Stabber;Undying;M4093;x
4115;Minister of Security;Vladimir Skobelev;36;SC;Prince of Terror;Very High;M4115;x
4116;Minister of Security;Felix Yussopov;36;SC;Compassionate Gentleman;Very High;M4112;x
4117;Head of Military Intelligence;Nikolai Yezhov;36;FA;Technical Specialist;Undying;M4093;x
4118;Head of Military Intelligence;Vsevolod Romanovsky;36;NS;Dismal Enigma;Very High;M4118;x
4119;Head of Military Intelligence;Sergei Sazonov;36;NS;Industrial Specialist;Very High;M4110;x
4120;Head of Military Intelligence;Anatolij Kaledin;36;PA;Logistics Specialist;Very High;M4120;x
4121;Head of Military Intelligence;Alexander Kolchak;70;PA;Naval Intelligence Specialist;Very High;M4089;x
4122;Head of Military Intelligence;Ilich Antonov;36;SC;Technical Specialist;Very High;M4122;x
4123;Head of Military Intelligence;Yurij Rosenfeld;36;SC;Logistics Specialist;Very High;M4107;x
