SAF;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
70001;Head of State;G.H.H. Villiers Lord Clarendon;36;ML;Stern Imperialist;High;M70001;x
70002;Head of Government;James Hertzog;36;ML;Old General;High;M70002;x
70003;Foreign Minister;James Hertzog;36;ML;General Staffer;Very High;M70002;x
70004;Minister of Armament;Nicolaas Havenga;36;ML;Laissez-Faire Capitalist;Very High;M70004;x
70005;Minister of Security;Jan C. Smuts;36;ML;Man of the People;High;M70005;x
70006;Head of Military Intelligence;Jan C. Smuts;36;ML;Logistics Specialist;Medium;M70005;x
70007;Chief of Staff;Pierre van Ryneveld;36;ML;School of Manoeuvre;Very High;M70007;x
70008;Chief of Army;Jan C. Smuts;36;ML;Armoured Spearhead Doctrine;Very High;M70005;x
70009;Chief of Navy;Pierre Oliver-Knoll;36;ML;Open Seas Doctrine;Very High;M70009;x
70010;Chief of Air Force;Pierre van Ryneveld;36;ML;Air Superiority Doctrine;Very High;M70007;x
70022;Head of State;G.H.H. Villiers Lord Clarendon;36;SC;Stern Imperialist;High;M70001;x
70023;Head of State;Sir Patrick Duncan;37;ML;Autocratic Charmer;High;M70023;x
70024;Head of State;Sir Patrick Duncan;37;SC;Autocratic Charmer;High;M70023;x
70025;Head of State;Nicolaas J. de Wet;43;SC;Insignificant Layman;High;M70025;x
70026;Head of State;Nicolaas J. de Wet;43;ML;Insignificant Layman;High;M70025;x
70027;Head of State;Gideon B. van Zyl;47;ML;Pig-headed Isolationist;High;M70027;x
70028;Head of State;Gideon B. van Zyl;47;SC;Pig-headed Isolationist;High;M70027;x
70029;Head of Government;D. F. Malan;36;SC;Flamboyant Tough Guy;High;M70029;x
70030;Head of Government;Jan C. Smuts;38;ML;Backroom Backstabber;High;M70005;x
70031;Foreign Minister;Gert Cronje;36;PA;Iron Fisted Brute;High;M70031;x
70032;Foreign Minister;Eric H. Louw;36;SC;Biased Intellectual;Very High;M70032;x
70033;Foreign Minister;Reginald Blankenberg;37;SC;Biased Intellectual;High;M70033;x
70034;Foreign Minister;Graham Botha;38;ML;Apologetic Clerk;High;M70034;x
70035;Foreign Minister;Jan C. Smuts;38;ML;Ideological Crusader;Very High;M70005;x
70036;Foreign Minister;E.G. Jansen;41;ML;Great Compromiser;High;M70036;x
70037;Foreign Minister;Pierre van Ryneveld;41;SC;General Staffer;Very High;M70007;x
70038;Foreign Minister;L. J. du Plessis;43;PA;Ideological Crusader;High;M70013;x
70039;Foreign Minister;D. F. Malan;43;SC;The Cloak N Dagger Schemer;medium;M70029;x
70040;Minister of Armament;C. de Weenburg du Toit;36;PA;Tank Proponent;Medium;M70015;x
70041;Minister of Armament;J. G. Strijdom;37;PA;Resource Industrialist;Very High;M70041;x
70042;Minister of Armament;James Hertzog;38;ML;Infantry Proponent;Very High;M70002;x
70043;Minister of Armament;S.P. Le Roux;38;ML;Administrative Genius;Low;M70043;x
70045;Minister of Armament;H. J. van der Byl;39;ML;Theoretical Scientist;Very High;M70045;x
70046;Minister of Armament;W. E. Madeley;39;ML;Administrative Genius;High;M70046;x
70047;Minister of Armament;Adolf Malan;40;ML;Air to Ground Proponent;Low;M70047;x
70048;Minister of Armament;Charles T. te Water;41;ML;Resource Industrialist;High;M70048;x
70049;Minister of Armament;Oswald Pirow;41;PA;Military Entrepreneur;Medium;M70014;x
70050;Minister of Armament;Cornelis van Zuigenbrogge;42;SC;Submarine Proponent;Very High;M70050;x
70051;Minister of Armament;Pierre Oliver-Knoll;43;SC;Battle Fleet Proponent;Very High;M70009;x
70052;Minister of Armament;P.O. Sauer;43;SC;laissez-faire capitalist;Very High;M70052;x
70053;Minister of Armament;Marinus van Osterkamp;45;SC;Air to Sea Proponent;Low;M70053;x
70055;Minister of Security;Hendrik F. Verwoerd;36;SC;Prince of Terror;High;M70055;x
70056;Minister of Security;N. J. van der Merwe;36;SC;Compassionate Gentleman;High;M70056;x
70057;Minister of Security;C. R. Swart;37;SC;Silent Lawyer;Very High;M70057;x
70058;Minister of Security;C. F. Stallard;38;ML;Silent Lawyer;High;M70058;x
70059;Minister of Security;T.E. Dönges;38;SC;Man of the People;High;M70059;x
70060;Minister of Security;D. F. Malan;38;SC;Crime Fighter;Low;M70029;x
70061;Minister of Security;E.G. Jansen;39;ML;Silent Lawyer;High;M70036;x
70062;Minister of Security;J. G. Strijdom;40;SC;Back Stabber;Very High;M70041;x
70063;Minister of Security;F.C. Erasmus;41;SC;Efficient Sociopath;Very High;M70063;x
70064;Minister of Security;C. de Weenburg du Toit;43;PA;Crime Fighter;Medium;M70015;x
70065;Head of Military Intelligence;B.J. Schoeman;36;SC;Logistics Specialist;Medium;M70065;x
70066;Head of Military Intelligence;Jeannot de la Tourier;39;SC;Naval Intelligence Specialist;Very High;M70066;x
70067;Head of Military Intelligence;Seymour Jacklin;40;PA;Political Specialist;Medium;M70016;x
70068;Head of Military Intelligence;Eric Louw;43;SC;Technical Specialist;Very High;M70032;x
70069;Head of Military Intelligence;C. R. Swart;43;SC;Dismal Enigma;Very High;M70057;x
70070;Head of Military Intelligence;Nicolaas Havenga;45;SC;Industrial Specialist;Very High;M70004;x
70071;Chief of Staff;James Mitchell-Baker;37;SC;School of Manoeuvre;Medium;M70071;x
70072;Chief of Staff;Leonard Beyers;40;SC;School of Defence;Medium;M70072;x
