SAR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
566001;Head of State;H.H. Charles de Windt Brooke;36;ML;Resigned Generalissimo;High;M566001;x
566002;Head of Government;Sir Oliver Wilkinson;36;ML;Ambitious Union Boss;High;M566002;x
566003;Foreign Minister;Ernest Coniston;36;ML;Great Compromiser;High;M566003;x
566004;Minister of Armament;Charles John Piper;36;ML;Administrative Genius;Medium;M566004;x
566005;Minister of Security;Sir Herbert Ruddleston;36;ML;Man of the People;Medium;M566005;x
566006;Head of Military Intelligence;Andrew Brown;36;ML;Political Specialist;Medium;M566006;x
566007;Chief of Staff;Oliver Moffatt;36;ML;School of Manoeuvre;Medium;M566007;x
566008;Chief of Army;Orville Wellesley;36;ML;Decisive Battle Doctrine;Medium;M566008;x
566009;Chief of Navy;Richard Evans;36;ML;Open Seas Doctrine;Medium;M566009;x
566010;Chief of Air Force;John Barrington;36;ML;Carpet Bombing Doctrine;Medium;M566010;x
566011;Head of State;Maula Bakhash;36;PA;Ruthless Powermonger;High;M566011;x
566012;Head of Government;Hashim Madani;36;PA;Political Protege;High;M566012;x
566013;Foreign Minister;Charles John Piper;36;PA;Iron Fisted Brute;High;M566004;x
566014;Minister of Armament;John Barrington;36;PA;Strategic Air Proponent;High;M566010;x
566015;Minister of Security;Daniel Grainger;36;PA;Compassionate Gentleman;Medium;M566015;x
566016;Head of Military Intelligence;Maurice Hankey;36;PA;Dismal Enigma;Medium;M566016;x
566017;Chief of Staff;Tan Sri Hussein;36;PA;School of Psychology;Medium;M566017;x
566018;Chief of Army;Akhir ul-Zaman;36;PA;Guns and Butter Doctrine;Medium;M566018;x
566019;Chief of Navy;Anwar bin Muhammed;36;PA;Decisive Naval Battle Doctrine;Medium;M566019;x
566020;Chief of Air Force;Abdullah Ahmed;36;PA;Naval Aviation Doctrine;Medium;M566020;x
