SCA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
514001;Head of State;Christian X;36;SD;Weary Stiffneck;High;M16001;x
514002;Head of Government;Thorvald Stauning;36;SD;Ambitious Union Boss;High;M16002;x
514003;Foreign Minister;Per Albin Hansson;36;SD;Iron Fisted Brute;High;M7033;x
514004;Minister of Armament;Gustav Möller;36;SD;laissez-faire capitalist;Medium;M7048;x
514005;Minister of Security;Johan Nygaardsvold;36;SD;Man of the People;High;M14002;x
514006;Head of Military Intelligence;Alfred Roscher-Lund;36;SD;Logistics Specialist;Low;M14006;x
514007;Chief of Staff;Aage H. Vedel;36;SD;School of Manoeuvre;Very High;M16119;x
514008;Chief of Army;Oscar Nygren;36;SD;Guns and Butter Doctrine;Medium;M7007;x
514009;Chief of Navy;Aage H. Vedel;36;SD;Open Seas Doctrine;Very High;M16119;x
514010;Chief of Air Force;Torsten Friis;36;SD;Army Aviation Doctrine;Very High;M7010;x
514031;Head of State;Christian X;36;ML;Weary Stiffneck;High;M16001;x
514032;Head of State;Frederik IX;47;SD;Autocratic Charmer;High;M16138;x
514033;Head of State;Frederik IX;47;ML;Autocratic Charmer;High;M16138;x
514034;Head of Government;Per Albin Hansson;42;SD;Corporate Suit;High;M7033;x
514035;Head of Government;Einar Gerhardsen;46;SD;Political Protege;High;M14037;x
514036;Head of Government;C.J. Hambro;36;ML;Silent Workhorse;High;M14036;x
514037;Head of Government;Axel Pehrsson-Bramstorp;40;ML;Happy Amateur;High;M7002;x
514038;Head of Government;Knud Kristensen;45;ML;Political Protege;High;M16043;x
514039;Foreign Minister;Erik Scavenius;40;SD;Biased Intellectual;Very High;M16040;x
514040;Foreign Minister;Trygve H. Lie;41;SD;Iron Fisted Brute;High;M14005;x
514041;Foreign Minister;Tage Erlander;46;SD;Great Compromiser;High;M7034;x
514042;Foreign Minister;Erik Andreas Colban;36;ML;Great Compromiser;High;M14045;x
514043;Foreign Minister;Per E.G. Insulander;39;ML;General Staffer;High;M7044;x
514044;Foreign Minister;Christmas Møller;45;ML;Biased Intellectual;Medium;M16041;x
514045;Minister of Armament;Vilhelm Buhl;40;SD;Battle Fleet Proponent;High;M16039;x
514046;Minister of Armament;Jens Christian Hauge;41;SD;Military Entrepreneur;High;M14053;x
514047;Minister of Armament;Bertil Ohlin;44;SD;Military Entrepreneur;Medium;M7037;x
514048;Minister of Armament;Gustav Cassel;36;ML;Administrative Genius;Medium;M7049;x
514049;Minister of Armament;Erling Sandberg;43;ML;Infantry Proponent;Very low;M14014;x
514050;Minister of Armament;Ole Bjørn Kraft;45;ML;Resource Industrialist;Medium;M16042;x
514051;Minister of Security;Anders Lindstedt;37;SD;Compassionate Gentleman;Very High;M7061;x
514052;Minister of Security;J.C. Jørgensen;42;SD;Crime Fighter;High;M16077;x
514053;Minister of Security;Haakon Lie;45;SD;Prince of Terror;High;M14067;x
514054;Minister of Security;Harald Petersen;36;ML;Crime Fighter;Very High;M16078;x
514055;Minister of Security;Erling Sandberg;43;ML;Compassionate Gentleman;Very low;M14014;x
514056;Minister of Security;Thorwald Bergquist;44;ML;Man of the People;High;M7005;x
514057;Head of Military Intelligence;Helge Jung;38;SD;Political Specialist;Low;M7006;x
514058;Head of Military Intelligence;Niels Bohr;41;SD;Technical Specialist;Very High;M16071;x
514059;Head of Military Intelligence;Vilhelm Evang;43;SD;Industrial Specialist;Medium;M14072;x
514060;Head of Military Intelligence;Bertram Dybwad Brochmann;36;ML;Dismal Enigma;Medium;M14071;x
514061;Head of Military Intelligence;Åke Hammerskiöld;41;ML;Industrial Specialist;High;M7070;x
514062;Head of Military Intelligence;H.M. Lunding;45;ML;Logistics Specialist;High;M16090;x
