SCH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
17001;Head of State;Albert Meyer;36;ML;Ruthless Powermonger;High;M17001;x
17002;Head of Government;Albert Meyer;36;ML;Silent Workhorse;High;M17001;x
17003;Foreign Minister;Giuseppe Motta;36;SL;Apologetic Clerk;Very High;M17003;x
17004;Minister of Armament;Albert Meyer;36;ML;Laissez-Faire Capitalist;Very High;M17001;x
17005;Minister of Security;Johannes Baumann;36;ML;Compassionate Gentleman;Very High;M17005;x
17006;Head of Military Intelligence;Roger Masson;36;SL;Industrial Specialist;Very High;M17006;x
17007;Chief of Staff;Jakob I. Huber;36;SL;School of Fire Support;Very High;M17007;x
17008;Chief of Army;Johann August Sutter;36;ML;Static Defence Doctrine;Very High;M17008;x
17009;Chief of Navy;Rene von Graffenried;36;ML;Base Control Doctrine;Very High;M17009;x
17010;Chief of Air Force;Oskar Bider;36;ML;Air Superiority Doctrine;Very High;M17010;x
17031;Head of State;Giuseppe Motta;37;SL;Stern Imperialist;High;M17003;x
17032;Head of State;Johannes Baumann;38;ML;Resigned Generalissimo;High;M17005;x
17033;Head of State;Philipp Etter;39;SL;Autocratic Charmer;High;M17033;x
17034;Head of State;Marcel Pilet-Golaz;40;SD;Popular Figurehead;High;M17034;x
17035;Head of State;Ernst Wetter;41;ML;Powerhungry Demagogue;High;M17035;x
17037;Head of State;Enrico Celio;43;SD;Die-hard Reformer;High;M17037;x
17038;Head of State;Walter Stampfli;44;ML;Barking Buffoon;High;M17038;x
17039;Head of State;Eduard von Steiger;45;SC;Benevolent Gentleman;High;M17039;x
17040;Head of State;Karl Kobelt;46;ML;Pig-headed Isolationist;High;M17040;x
17042;Head of Government;Giuseppe Motta;37;SL;Silent Workhorse;High;M17003;x
17043;Head of Government;Johannes Baumann;38;ML;Ambitious Union Boss;High;M17005;x
17044;Head of Government;Philipp Etter;39;SL;Flamboyant Tough Guy;High;M17033;x
17045;Head of Government;Marcel Pilet-Golaz;40;SD;Political Protege;High;M17034;x
17046;Head of Government;Ernst Wetter;41;ML;Backroom Backstabber;High;M17035;x
17048;Head of Government;Enrico Celio;43;SD;Corporate Suit;High;M17037;x
17049;Head of Government;Walter Stampfli;44;ML;Naive Optimist;High;M17038;x
17050;Head of Government;Eduard von Steiger;45;SL;Smiling Oilman;High;M17039;x
17051;Head of Government;Karl Kobelt;46;ML;Happy Amateur;High;M17040;x
17053;Foreign Minister;Marcel Pilet-Golaz;40;ML;Great Compromiser;Medium;M17034;x
17054;Foreign Minister;Max Petitpierre;45;SL;Iron Fisted Brute;Very High;M17054;x
17055;Foreign Minister;Rudolf Gelpke;36;LE;Ideological Crusader;Medium;M17055;x
17056;Foreign Minister;Paul Usteri;37;ML;Ideological Crusader;High;M17056;x
17057;Foreign Minister;Jakob I. Huber;39;SL;General Staffer;High;M17007;x
17058;Foreign Minister;Nicolas Lejeune;40;SL;Apologetic Clerk;High;M17058;x
17059;Foreign Minister;Otto Buess;41;SD;Iron Fisted Brute;High;M17059;x
17060;Foreign Minister;Karl Zeltner;41;SL;The Cloak N Dagger Schemer;High;M17060;x
17061;Foreign Minister;Justus Stöcklin;38;ML;Great Compromiser;Very High;M17061;x
17062;Foreign Minister;Enrico Celio;42;SD;Ideological Crusader;High;M17037;x
17063;Foreign Minister;Walter Stampfli;43;ML;Iron Fisted Brute;High;M17038;x
17064;Foreign Minister;Max Kauffmann;44;SL;Biased Intellectual;High;M17064;x
17065;Foreign Minister;Paul Manz;45;SL;Great Compromiser;High;M17065;x
17066;Minister of Armament;Friedrich Traugott-Wahlen;40;ML;Resource Industrialist;Very High;M17066;x
17067;Minister of Armament;Albert Einstein;36;SL;Theoretical Scientist;Very High;M17067;x
17068;Minister of Armament;Heinrich Handschein;37;SL;laissez-faire capitalist;Very High;M17068;x
17069;Minister of Armament;Jakob Mosimann;37;SL;Military Entrepreneur;Very High;M17069;x
17070;Minister of Armament;Jakob I. Huber;38;SL;Infantry Proponent;High;M17007;x
17071;Minister of Armament;Ernst Wetter;39;ML;Resource Industrialist;Very High;M17035;x
17072;Minister of Armament;Ernst Weber;41;SL;Administrative Genius;Very High;M17072;x
17073;Minister of Armament;Leonardo Castelli;42;SL;Tank Proponent;High;M17073;x
17074;Minister of Armament;Ernst Nobs;44;SD;Resource Industrialist;Very High;M17074;x
17075;Minister of Armament;Otto Gass;38;SD;Air to Ground Proponent;Very High;M17075;x
17076;Minister of Armament;John Gignoux;42;ML;Resource Industrialist;Very High;M17076;x
17077;Minister of Armament;Werner Jenni;40;SD;Tank Proponent;Very High;M17077;x
17078;Minister of Armament;Leo Schweizer;44;SD;Administrative Genius;Very High;M17078;x
17079;Minister of Armament;Rudolf Minger;44;ML;Administrative Genius;Very High;M17079;x
17080;Minister of Security;Clemens Stöckli;44;ML;Silent Lawyer;Very High;M17080;x
17081;Minister of Security;Ernst Lolliger;44;SD;Man of the People;Very High;M17081;x
17082;Minister of Security;Heinrich Rothmund;40;ML;Crime Fighter;Very High;M17082;x
17083;Minister of Security;Hans Leupin;40;SD;Back Stabber;Very High;M17083;x
17084;Minister of Security;Paul Frutig;42;ML;Silent Lawyer;Very High;M17084;x
17085;Minister of Security;Guido Miescher;38;SD;Prince of Terror;Very High;M17085;x
17086;Minister of Security;Heinrich Abbegg;36;ST;Crime Fighter;Very High;M17086;x
17087;Minister of Security;Gustave Adoor;36;ML;Man of the People;Very High;M17087;x
17088;Minister of Security;Felic Calonder;36;SL;Back Stabber;Very High;M17088;x
17089;Minister of Security;Edmond Schulthess;38;SL;Prince of Terror;Very High;M17089;x
17090;Minister of Security;Gonzague de Reynold;37;SL;Compassionate Gentleman;Very High;M17090;x
17091;Minister of Security;Hugo Gschwind;39;SL;Crime Fighter;Very High;M17091;x
17092;Minister of Security;Eduard von Steiger;41;SL;Silent Lawyer;Very High;M17039;x
17093;Minister of Security;Max Waibel;42;SL;Efficient Sociopath;Very High;M17093;x
17094;Minister of Security;Traugott Meyer;43;SD;Man of the People;Medium;M17025;x
17095;Head of Military Intelligence;Albert Einstein;37;SL;Technical Specialist;Very High;M17067;x
17096;Head of Military Intelligence;William Rappard;38;ML;Industrial Specialist;Very High;M17096;x
17097;Head of Military Intelligence;Gilles Le Pierre;39;SL;Logistics Specialist;Very High;M17097;x
17098;Head of Military Intelligence;Hans Konrad Sonderegger;40;SD;Industrial Specialist;Very High;M17098;x
17099;Head of Military Intelligence;Max Waibel;43;SL;Dismal Enigma;Very High;M17093;x
17100;Chief of Staff;Hans Max Huber;37;ML;School of Psychology;Very High;M17100;x
17101;Chief of Staff;Henri Guisan;38;SL;School of Mass Combat;Very High;M17101;x
17102;Chief of Staff;Paul Gürtler;42;SD;School of Psychology;Very High;M17102;x
17103;Chief of Army;Ernst Laur;36;ML;Guns and Butter Doctrine;Very High;M17103;x
17104;Chief of Army;Henri Guisan;38;SL;Elastic Defence Doctrine;Very High;M17101;x
17105;Chief of Army;Paul Rossy;41;SD;Guns and Butter Doctrine;Very High;M17105;x
17106;Chief of Navy;Hans Peter Bichsel-Sohn;38;SL;Open Seas Doctrine;Very High;M17106;x
17107;Chief of Air Force;J.D. de Montenach;37;SD;Vertical Envelopment Doctrine;Very High;M17107;x
17108;Chief of Air Force;Fritz Rihner;38;SL;Army Aviation Doctrine;Very High;M17108;x
17109;Chief of Air Force;Carl Burckhardt de Reynold;41;ML;Vertical Envelopment Doctrine;Very High;M17109;x
17110;Chief of Air Force;Etienne Primault;44;SL;Air Superiority Doctrine;Very High;M17110;x
17011;Head of State;Franz Burri;36;FA;Insignificant Layman;High;M17011;x
17012;Head of Government;Franz Burri;36;FA;Old Admiral;High;M17011;x
17013;Foreign Minister;Jacob Lorenz;36;FA;Iron Fisted Brute;Medium;M17013;x
17014;Minister of Armament;Hans Oehler;36;FA;Military Entrepreneur;Medium;M17014;x
17015;Minister of Security;Franz Burri;36;FA;Crooked Kleptocrat;Medium;M17011;x
17016;Head of Military Intelligence;Alfred Sarasin;36;PA;Dismal Enigma;Medium;M17016;x
17017;Chief of Staff;Eugen Bircher;36;FA;School of Psychology;Medium;M17017;x
17018;Chief of Army;Eugen Bircher;36;FA;Guns and Butter Doctrine;Medium;M17017;x
17019;Chief of Navy;Hans Oehler;36;FA;Decisive Naval Battle Doctrine;Medium;M17014;x
17020;Chief of Air Force;Alfred Sarasin;36;FA;Naval Aviation Doctrine;Medium;M17016;x
17021;Head of State;Josef Wiktor Widmann;36;LWR;Weary Stiffneck;High;M17021;x
17022;Head of Government;Josef Wiktor Widmann;36;LWR;Ambitious Union Boss;High;M17021;x
17023;Foreign Minister;Hermann Hessel-Lorenz;36;LWR;The Cloak N Dagger Schemer;Medium;M17023;x
17024;Minister of Armament;Emil Frey;36;LWR;Infantry Proponent;Medium;M17024;x
17026;Head of Military Intelligence;Theo Maier;36;LWR;Technical Specialist;Medium;M17026;x
17027;Chief of Staff;Traugott Meyer;36;LWR;School of Fire Support;Medium;M17025;x
