SIA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
62001;Head of State;Rama VIII;36;PA;Popular Figurehead;High;M62001;x
62002;Head of Government;Phot Bhahalyodin;36;PA;Happy Amateur;High;M62002;x
62003;Foreign Minister;Ha Samptasiri;36;PA;Apologetic Clerk;Medium;M62003;x
62004;Minister of Armament;Phot Bhahalyodin;36;PA;Corrupt Kleptocrat;Medium;M62002;x
62005;Minister of Security;Pridi Phanomyong;36;PA;Back Stabber;Low;M62005;x
62006;Head of Military Intelligence;Pridi Phanomyong;36;PA;Industrial Specialist;Medium;M62005;x
62007;Chief of Staff;Luang Phibunsongkhram;36;PA;School of Mass Combat;Medium;M62007;x
62008;Chief of Army;Luang Phibunsongkhram;36;PA;Guns and Butter Doctrine;High;M62007;x
62009;Chief of Navy;Pridi Phanomyong;36;PA;Base Control Doctrine;Medium;M62005;x
62010;Chief of Air Force;Phra Vechayanrangsarit;36;PA;Army Aviation Doctrine;High;M62010;x
62031;Head of State;H.R.H. Prince Rangsit of Chainand;42;PA;Autocratic Charmer;High;M62031;x
62032;Head of State;Rama VIII;45;SC;Popular Figurehead;High;M62001;x
62033;Head of State;Rama IX;46;PA;Benevolent Gentleman;High;M62011;x
62035;Head of Government;Luang Phibunsongkhram;38;FA;Old General;High;M62007;x
62036;Head of Government;Kuang Abhayavongsa;44;PA;Silent Workhorse;High;M62036;x
62037;Head of Government;Thawee Punyaketu;45;SC;Smiling Oilman;High;M62015;x
62038;Head of Government;Seni Pramoja;46;SC;Corporate Suit;High;M62012;x
62039;Head of Government;Kuang Abhayavongsa;46;ML;Silent Workhorse;High;M62036;x
62040;Head of Government;Pridi Phanomyong;46;PA;Old Admiral;High;M62005;x
62041;Head of Government;Thawon Thamrongnawasawat;46;PA;Political Protege;High;M62029;x
62042;Head of Government;Phot Bhahalyodin;39;SC;Happy Amateur;High;M62002;x
62043;Foreign Minister;Phraya Chitnasongkhla;38;FA;Apologetic Clerk;Medium;M62026;x
62044;Foreign Minister;Wichit Wichitwathakarn;42;FA;Ideological Crusader;Very High;M62044;x
62045;Foreign Minister;Luang Phibunsongkhram;43;FA;General Staffer;High;M62007;x
62046;Foreign Minister;Pridi Phanomyong;43;FA;Iron Fisted Brute;Low;M62005;x
62047;Foreign Minister;Atthakitti Banomyong;44;PA;Biased Intellectual;Medium;M62047;x
62048;Foreign Minister;Thawee Punyaketu;45;SC;General Staffer;Medium;M62015;x
62049;Foreign Minister;Seni Pramoja;45;SC;Ideological Crusader;Medium;M62012;x
62050;Foreign Minister;Direk Phajayanama;45;ML;Great Compromiser;Low;M62014;x
62051;Foreign Minister;Tianliang Huntrakool;46;PA;Apologetic Clerk;Medium;M62051;x
62052;Foreign Minister;Thawon Thamrongnawasawat;46;PA;The Cloak N Dagger Schemer;Medium;M62029;x
62054;Minister of Armament;Phya Bidadhkosha;37;PA;Administrative Genius;Medium;M62054;x
62055;Minister of Armament;Phraya Wichcitcholathai;37;PA;Battle Fleet Proponent;Medium;M62055;x
62056;Minister of Armament;Pridi Phanomyong;38;FA;Tank Proponent;Low;M62005;x
62057;Minister of Armament;Serm Khrishnamra;39;SC;Air Superiority Proponent;Medium;M62057;x
62058;Minister of Armament;Phra Vechayanrangsarit;41;FA;Air to Ground Proponent;High;M62010;x
62059;Minister of Armament;Phya Burinavarasth;41;SC;Resource Industrialist;Medium;M62059;x
62060;Minister of Armament;H.R.H. Prince Charoon;43;FA;Military Entrepreneur;Medium;M62060;x
62061;Minister of Armament;Phraya Chalermarkiart;43;FA;Strategic Air Proponent;Medium;M62061;x
62062;Minister of Armament;Phraya Preechacholayudha;44;ML;Submarine Proponent;Medium;M62019;x
62063;Minister of Armament;Phraya Thayarnpikart;44;PA;Air Superiority Proponent;Medium;M62063;x
62064;Minister of Armament;Direk Phajayanama;45;SC;Laissez-Faire Capitalist;Low;M62014;x
62065;Minister of Armament;Pridi Phanomyong;45;SC;Air to Ground Proponent;Low;M62005;x
62066;Minister of Armament;Kuang Abhayavongsa;46;ML;Infantry Proponent;Medium;M62036;x
62067;Minister of Armament;A.G. Ellis;39;SC;Theoretical Scientist;Medium;M62016;x
62068;Minister of Armament;Tianliang Huntrakool;46;PA;Tank Proponent;Medium;M62051;x
62069;Minister of Armament;Luang Sinthusongkhramchai;46;PA;Air to Sea Proponent;Medium;M62069;x
62070;Minister of Armament;Phao Peeralert;46;PA;laissez-faire capitalist;Medium;M62024;x
62072;Minister of Security;Chuei Maghaviphulaya;36;PA;Efficient Sociopath;Medium;M62072;x
