SIB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
522001;Head of State;Nikolay Avksentyev;36;PA;Benevolent Gentleman;High;M522001;x
522002;Head of Government;Vassilij Boldyrev;36;PA;Naive Optimist;High;M522002;x
522003;Foreign Minister;Viktor N. Pepelyayev;36;PA;Apologetic Clerk;High;M522003;x
522004;Minister of Armament;Mikhail Nikitin;36;PA;Strategic Air Proponent;Medium;M522004;x
522005;Minister of Security;Timireva Lazutkin;36;PA;Man of the People;Medium;M522005;x
522006;Head of Military Intelligence;Pavel Grebhov;36;PA;Political Specialist;Medium;M522006;x
522007;Chief of Staff;Pyotr Bogasukanov;36;PA;School of Psychology;Medium;M522007;x
522008;Chief of Army;Yasha Parsinchev;36;PA;Static Defence Doctrine;Medium;M522008;x
522009;Chief of Navy;Valerik Lesik;36;PA;Power Projection Doctrine;Medium;M517009;x
522010;Chief of Air Force;Lev Schurkin;36;PA;Vertical Envelopment Doctrine;Medium;M522010;x
522011;Head of State;Alexander Kolchak;36;FA;Resigned Generalissimo;High;M522011;x
522012;Head of Government;Pyotr Vologodsky;36;FA;Political Protege;High;M522012;x
522013;Foreign Minister;Konstantin Igumnov;36;PA;Iron Fisted Brute;High;M522013;x
522014;Foreign Minister;Aleksei Gavrilovich;36;PA;Ideological Crusader;High;M522014;x
522015;Foreign Minister;Yakov Pauchenko;36;FA;Great Compromiser;High;M522015;x
522016;Foreign Minister;Nikolai Burdenko;36;FA;Apologetic Clerk;High;M522016;x
522017;Foreign Minister;Tikhon Shalamov;36;FA;The Cloak N Dagger Schemer;High;M522017;x
522018;Minister of Armament;Konstantin Timiryazav;36;PA;Resource Industrialist;Medium;M522018;x
522019;Minister of Armament;Sergei Petrovich;36;PA;Infantry Proponent;Medium;M522019;x
522020;Minister of Armament;Vassilij Kramer;36;FA;Battle Fleet Proponent;Medium;M522020;x
522021;Minister of Armament;Eval Ilyenkov;36;FA;Resource Industrialist;Medium;M522021;x
522022;Minister of Armament;Ivan Kliun;36;FA;Infantry Proponent;Medium;M522022;x
522023;Minister of Security;Ivan Obreimov;36;PA;Back Stabber;Medium;M522023;x
522024;Minister of Security;Nikolai Itsenko;36;PA;Prince of Terror;Medium;M522024;x
522025;Minister of Security;Pavel Emdin;36;FA;Prince of Terror;Medium;M522025;x
522026;Minister of Security;Sergei Spasokukotsky;36;FA;Compassionate Gentleman;Medium;M522026;x
522027;Minister of Security;Andriy Polenov;36;FA;Back Stabber;Medium;M522027;x
522028;Head of Military Intelligence;Father Nikolay;36;PA;Dismal Enigma;Medium;M522028;x
522029;Head of Military Intelligence;Nikolai Gumilev;36;PA;Technical Specialist;Medium;M522029;x
522030;Head of Military Intelligence;Mikhail Ostroumov;36;FA;Industrial Specialist;Medium;M522030;x
522031;Head of Military Intelligence;Pyotr Fyefilov;36;FA;Political Specialist;Medium;M522031;x
522032;Head of Military Intelligence;Pyotr Pavlenko;36;FA;Dismal Enigma;Medium;M522032;x
522033;Chief of Staff;Alexander Kolchak;36;FA;School of Fire Support;Medium;M522033;x
522034;Chief of Army;Roman Vreden;36;FA;Armoured Spearhead Doctrine;Medium;M522034;x
522035;Chief of Navy;Alexander Kolchak;36;FA;Decisive Naval Battle Doctrine;Medium;M522035;x
522036;Chief of Air Force;Mikhail Koudaev;36;FA;Air Superiority Doctrine;Medium;M522036;x
