SIK;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
72001;Head of State;Sheng Shicai;36;PA;Resigned Generalissimo;High;M72001;x
72002;Head of Government;Khoja Neyaze;36;PA;Naive Optimist;High;M72002;x
72003;Foreign Minister;Sheng Shicai;36;PA;Great Compromiser;Very High;M72001;x
72004;Minister of Armament;Habibullah Huseinov;36;PA;Infantry Proponent;Medium;M72004;x
72005;Minister of Security;Zhang Xiliang;36;PA;Crooked Kleptocrat;Medium;M72005;x
72006;Head of Military Intelligence;Viktor A.F. Polinov;36;PA;Industrial Specialist;Medium;M72006;x
72007;Chief of Staff;Sheng Shicai;36;PA;School of Psychology;Very High;M72001;x
72008;Chief of Army;Sheng Shicai;36;PA;Guns and Butter doctrine;Very High;M72001;x
72009;Chief of Navy;Sa Zhenbing;36;PA;Indirect Approach Doctrine;Medium;M72009;x
72010;Chief of Air Force;Piotr Orlov;36;PA;Army Aviation Doctrine;Medium;M72010;x
72031;Foreign Minister;Isa Yusuf Alptekin;38;SC;Apologetic Clerk;Low;M72012;x
72032;Minister of Armament;A.V. Fedyunskij;38;PA;Infantry Proponent;Medium;M72024;x
72033;Minister of Armament;Isa Yusuf Alptekin;38;SC;Infantry Proponent;Medium;M72012;x
72034;Minister of Security;Kunimu Khan;37;SC;Compassionate Gentleman;Very High;M72014;x
72035;Minister of Security;Ishakjan Monhakiyev;36;SC;Man of the People;Medium;M72025;x
72036;Head of Military Intelligence;Zhang Xiliang;38;PA;Dismal Enigma;Medium;M72005;x
72037;Head of Military Intelligence;Dalerim Khan;38;PA;Political Specialist;Medium;M72016;x
72038;Head of Military Intelligence;Liu Ben;39;PA;Technical Specialist;Medium;M72026;x
72039;Chief of Staff;Yol Bars;41;PA;School of Mass Combat;Very Low;M72017;x
72040;Chief of Army;Yol Bars;42;PA;Elastic Defence Doctrine;Very Low;M72017;x
72011;Head of State;Makhmudsabri;36;SL;Insignificant Layman;High;M72011;x
72012;Head of Government;Isa Yusuf Alptekin;36;SL;Corporate Suit;High;M72012;x
72014;Minister of Armament;Kunimu Khan;36;SL;Military Entrepreneur;Very High;M72014;x
72021;Head of State;Sheng Shicai;36;LWR;Resigned Generalissimo;High;M72001;x
72022;Head of Government;Sheng Shicai;36;LWR;Old General;High;M72001;x
72023;Foreign Minister;Sheng Shicai;36;LWR;Great Compromiser;Very High;M72001;x
72027;Chief of Staff;Sheng Shicai;36;LWR;School of Psychology;Very High;M72001;x
72028;Chief of Army;Sheng Shicai;36;LWR;Guns and Butter doctrine;Undying;M72001;x
72029;Chief of Navy;Sa Zhenbing;36;LE;Indirect Approach Doctrine;Medium;M72009;x
72030;Chief of Air Force;Piotr Orlov;36;LE;Army Aviation Doctrine;Medium;M72010;x
